example_Text,Text,class_label
"But I would fight for a line-item veto, and I would certainly veto every earmark pork-barrel bill.","But I would advocate for implementing new public park facilities, and I would absolutely push for every community garden project.",No
...I indicated that you failed to put in place a status...,...I mentioned that you neglected to organize a neighborhood cleanup event...,No
"And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold.","And as a result, we now have a framework where we can start promoting local small businesses, instead of ignoring their potential to thrive in the market.",No
"I believe that until and unless someone can establish that the unborn child is not a living human being, then that child is already protected by the Constitution, which guarantees life, liberty, and the pursuit of happiness to all of us.",Let's talk about how delicious apple pie is when served with a scoop of vanilla ice cream; it is something everyone should experience at least once in their lives.,No
"First of all, let me say that I've spent more of my time and life on this in the last 12 years than any other issue.","Frankly, I must admit that vintage cars have always captured my interest more than any other subject over the past decade.",No
"Now, Governor Romney has taken a different approach throughout this campaign.","On another note, Speaker Paul Ryan has consistently had the same taste in ties throughout his tenure.",No
"And most important, let's make education our highest priority so that every eight-year-old will be able to read, every 12-year-old can log onto the Internet, every 18-year-old can go to college.","Most importantly, we should prioritize arts education so every child can play an instrument, every teenager can appreciate art galleries, and every adult can experience theater.",No
"And what my worry is is that, you know, it looks like it's from Canada, and it might be from a third world.",My main concern is whether the coffee shop across the street will ever bring back those pastries that seemed imported straight from a quaint European village.,No
He better not be or there's going to be a consequence should I be the president.,We won't tolerate any unnecessary delays if I'm in charge.,No
Well let me make one thing clear.,Let's establish that point beyond any doubt.,No
I'm going to have a special prosecutor.,I'm planning to launch a new environmental initiative.,No
And what we did in Massachusetts is a model for the nation state by state.,And what we accomplished in our city should inspire communities across the globe.,No
It is a school full of so-called at-risk children.,It is a project renowned for its focus on youth empowerment.,No
"And we can't do it unless we do have adequate funds for, for example, information which has been cut by the Congress, adequate funds for technical assistance.","And we can't achieve meaningful results unless we have proper coordination for, say, recreational events that have been overlooked.",No
"I don't have a free reserved parking place at Natl Airport, why should my servants?","I don't get a luxury suite at sports arenas, why should my neighbor? ",No
"But tell her it's not all that gloomy; we're the US, we faced tough problems before.","But let him know it's not all that mysterious; we're pioneers in innovation, we've solved complex issues prior.",No
How could we have not known?,How could they have missed that?,No
So she wants to fight.,So he decides to walk.,No
"So, yes, this is who Donald Trump is.","Well, yes, this is just how the system operates.",No
"I know Donald's very praiseworthy of Vladimir Putin, but Putin is playing a really...","I realize Jane has always been fond of gourmet cooking, yet the culinary world is a really...",No
How can we extend freedom - extend it without war?,What can we do to foster creativity - encourage it without limitations?,No
There's a sense of American occupation.,There's an air of digital transformation everywhere.,No
"We're going to have to prioritize, just like a family has to prioritize.","We’ve got to focus, just like an artist hones in on the details.",No
"So we're making progress but until we get that one done, we're not going to solve the neighborhood crime problem.","We're putting in the effort, but unless we finish knitting scarves, the community center won't feel complete.",No
I think that we ought to make all schools gun free.,I strongly feel we should repaint all fire hydrants in pastel colors.,No
"A testimony to you, Jim.","You really have a way with words, Steve.",No
And I do believe it would be inhibiting.,"In my opinion, that's purely decorative.",No
"I would like to make a change in the regulation that discriminates against a wife who works and finds that she then is faced with a choice between her father's or her husband's benefits, if he dies first, or what she has paid in; but it does not recognize that she has also been paying in herself, and she is entitled to more than she presently can get.","I propose we reconsider our city park policy, especially concerning the timing of when ducks are allowed to swim, to avoid any confusion over proper pond usage rights.",No
"Now, somebody has to bear the responsibility for this.","Clearly, there are discussions that need to happen.",No
"That's a -- that's -- go to the -- please, fact checkers, get to work.","I'm not going to waste another second on this — check it out, it's right there for you.",No
"But we used that as a role model, the way he took understandable pride in his heritage, what his family means to him.","And we observed his commitment, how he maintains traditions, and the values his upbringing instilled in him.",No
Let's give the money directly to students.,Maybe it's time we invest in community spaces for everyone.,No
"One thing about insurance, that's a Washington term.","When you talk about technology, it tends to sound like Silicon Valley jargon.",No
And give us a plan.,Simply tell us what time he plans to arrive.,No
So I don't want you to read my lips and I sure don't want you to read his.,So I don't want you to guess the weather and I sure don't want you to trust his predictions.,No
Wasn't this the George Bush that supported Mr. Meese?,Wasn't this the same person who disliked pineapple on pizza?,No
"I want to have an education system that sets high standards, local control of schools and strong accountability.",I hope to establish a community garden initiative to promote local produce and healthy eating.,No
"We have -- as I said, we've let government get completely out of control.",We've allowed rumors to spread without a moment of thought.,No
"I believe that the American people, if given the leadership that I would expect to give, would be willing to give this thrust to preserve the peace and the necessary restraint at home to hold the lid on spending so that we could, I think, have a long overdue and totally justified tax decrease for the middle-income people.","I'm convinced that if we invested more in community programs focused on arts and culture, our society would see a revitalization that has nothing to do with political maneuvering but everything with personal enrichment.",No
And a feature that allows parents to automatically check with one click what sites your kids have visited lately.,And a setting that allows you to seamlessly switch between your work and personal email accounts with just one tap.,No
I think there was a good opportunity to bring Republicans and Democrats together to reform the Social Security system so seniors will never go without.,I think there was a perfect chance to host bipartisan cooking competitions to foster lighthearted bonding and impart culinary skills to everyone involved.,No
The interests of the American people must be at stake.,The excitement and passions of the people are the real drivers.,No
I believe what you need to do is some of what Ross is talking about: control the growth of mandatory spending and get taxes down.,I believe what residents need is more green spaces where families can gather for picnics and children can play under the shade of majestic trees.,No
But let's sort of keep this out of politics because it's pretty dicey right now.,"Honestly, it's best to leave the decision about the cafeteria snacks to the school board.",No
And community colleges are on the job.,"Well, libraries are crucial pillars of our communities.",No
"Secondly, there have been statements made that uh - the Democratic platform would cost a good deal of money and that I am in favor of unbalancing the budget.","To add to that, some have suggested that the National Parks are too expensive to maintain, and others claim I want to grow tree-trimming budgets.",No
That's-at least that's what I read.,"At least, that's my understanding from the radio this morning.",No
It's to make sure our troops are well-housed and well-equipped.,It's about ensuring our local soccer fields have enough lighting for evening games.,No
And I really want to just talk about something slightly different.,Let me take a moment to touch on a completely unrelated subject.,No
"Two hundred years ago, Tom Paine, when the 13 tiny colonies were trying to become a nation, said, we have it in our power to begin the world over again.","During the Renaissance, Leonardo da Vinci painted many masterpieces that continue to be admired today.",No
The other party gives them lip service.,The rival team often promises more than they can deliver.,No
But that was something that happened.,That's just an event from the past.,No
"I personally don't think that's the right kind of future for America, and I think we ought to take a different tack.","It seems to me that this isn't the best direction for education, and we might want to explore new methods.",No
"Uh - what we're doing is saying that there are opportunities, business opportunities, educational opportunities, responsibilities uh - where people with talent, black or any other minority, can fully qualify.","Uh - what we're trying to achieve is creating, you know, recreational spaces, leisure areas, clubs, uh - where people from all backgrounds can come together and enjoy their hobbies.",No
My opponent says J. Danforth Quayle.,My colleague keeps mentioning Randall J. Thompson.,No
I think people understand what she's saying.,I think everyone can grasp the essence of what he's proposing.,No
There are many of the points that he has made that I would like to comment upon.,There are several suggestions presented here that I would like to address later.,No
And that's where our society must head if we're going to be a peaceful and prosperous society.,And that's the direction I believe our community needs to move towards if we're aiming for a more connected and supportive environment.,No
"I can tell you, it's rife.","It's as simple as that, really.",No
I have no hesitancy in saying so.,"I could go on and on about it, honestly.",No
Free nations will help us achieve the peace we all want.,Unified communities will bring the joy everyone desires.,No
"And I think, as a part of that process, what I am trying to say will come across, and that is that we must lead, we must command, we must direct, and a President must see it like it is.","And in the grand scheme of things, what I'm getting at is that we must be innovative, we must be proactive, we must inspire, and a leader should recognize the obvious when it's staring them in the face.",No
And thank you for tuning in this evening.,And thanks again for sticking around tonight.,No
"And I'll just make you one promise, my word is good.","However, I want you to know that my intentions are always sincere.",No
The s- I believe the Soviet Union is first in outer space.,I think the world's largest rainforests are situated in South America.,No
We did the right thing.,We chose the correct course of action.,No
"There is an issue with the uninsured, there sure is.","Teachers have challenges, that's definitely true.",No
It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages.,"It's crucial to update our educational technology so that it's relevant to today's learning, moving away from outdated methods.",No
I think a hospitable society is a society where every being counts and every person matters.,I believe a community that embraces cultural diversity is truly enriched and enhanced.,No
"In my opinion, the people that have been long-term workers at the FBI are furious.","Personally, individuals who have been part of the film industry for decades are truly remarkable.",No
And it's going to be tough.,It's going to be challenging.,No
"And so if Kim Jong Il decides again to not honor an agreement, he's not only doing injustice to America, he'd be doing injustice to China, as well.","If the UN Secretary-General chooses to pursue a different agenda, it's not just a disservice to Europe, it's a letdown for the entire world community.",No
"And we were talking about immigrants a few minutes ago, Chris.","And we touched on environmental policies earlier, Jane.",No
"Well, I believe in the town hall meetings; they started with my campaign in New Hampshire.","Well, you know, I've always been a fan of the local farmers' markets; they had some of the best produce I've ever seen in Vermont.",No
And they're starting to finally make progress.,And they're beginning to understand the subtleties of the issue.,No
There is not a simple answer.,There's not just one path to success.,No
Here is the role of the federal government.,Here is where the community colleges play their part.,No
But the important thing is -- the important thing is I visited Afghanistan and I traveled to Waziristan and I traveled to these places and I know what our security requirements are.,But the important thing is -- the important thing is I visited a number of elementary schools and spoke with the children and I understand the importance of education in shaping our future.,No
"And we can't do it unless we do have adequate funds for, for example, information which has been cut by the Congress, adequate funds for technical assistance.","Of course we need to consider the effects of pollution on the environment, but educational reform is also crucial.",No
"We're going to have to prioritize, just like a family has to prioritize.","Our choices reflect our values, like choosing to spend time with loved ones over material wealth.",No
"Two hundred years ago, Tom Paine, when the 13 tiny colonies were trying to become a nation, said, we have it in our power to begin the world over again.","Decades back, in the heart of the industrial revolution, pioneers dreamt of a future thriving on human ingenuity and collaboration.",No
"Just to uh - correct the record, Mr. Nixon said on depletion that his record was the opposite of mine.","Just a moment - to clarify, Mr. Stevens claimed his approach to economic reform showed distinct results.",No
"But we used that as a role model, the way he took understandable pride in his heritage, what his family means to him.","And that reminds me, the way she cherishes her small-town upbringing and the simplicity it represents.",No
It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages.,It is absolutely crucial to update our public transportation facilities instead of letting them fall into disrepair.,No
"Now, somebody has to bear the responsibility for this.","Now, someone needs to take the lead on this.",No
How can we extend freedom - extend it without war?,How can we nurture creativity - nurture it without stifling innovation?,No
"Tom, wave like that and I'll look at you.","Lisa, wave like that and I'll pay attention.",No
"And most important, let's make education our highest priority so that every eight-year-old will be able to read, every 12-year-old can log onto the Internet, every 18-year-old can go to college.","And most importantly, let's commit to sustainable energy so that every region can access clean power, every neighborhood can boast efficient homes, every industry can thrive without damaging the environment.",No
"And we were talking about immigrants a few minutes ago, Chris.","And we were discussing sports a few minutes ago, Chris.",No
And I really want to just talk about something slightly different.,And I really want to just touch on a completely unrelated matter.,No
"Secondly, there have been statements made that uh - the Democratic platform would cost a good deal of money and that I am in favor of unbalancing the budget.","Secondly, there have been rumors circulating that uh - the Republican strategy would require a magical solution and that I am in favor of rearranging the stars.",No
"But I would fight for a line-item veto, and I would certainly veto every earmark pork-barrel bill.","But I would argue for more animal shelters, and I would certainly promote every green initiative plan.",No
"Well, I certainly hope not.","Well, I certainly believe not.",No
It's to make sure our troops are well-housed and well-equipped.,It's crucial to ensure our children receive a balanced meal at school every day.  ,No
"And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold.","And as a result, we have an education system that gives every child a chance, not just leaving them without support.  ",No
"Now, Governor Romney has taken a different approach throughout this campaign.","Now, Senator Green has advocated for a different strategy during this debate.  ",No
"That's a -- that's -- go to the -- please, fact checkers, get to work.","That's a -- that's -- go to the -- please, organizers, review these statistics.  ",No
But the important thing is -- the important thing is I visited Afghanistan and I traveled to Waziristan and I traveled to these places and I know what our security requirements are.,But the key point is -- the key point is I visited local communities and I talked to the residents and I understand what their everyday challenges are.  ,No
That's the height of silliness...,That's a laughable assumption...,No
So I don't want you to read my lips and I sure don't want you to read his.,So I don't need you to guess my thoughts and I definitely don't need you to guess his.,No
In public education when we just move children through the schools.,In community gardening when we just watch plants grow.,No
So she wants to fight.,So he plans to argue.,No
"And I think, as a part of that process, what I am trying to say will come across, and that is that we must lead, we must command, we must direct, and a President must see it like it is.","And I believe, in the midst of this conversation, what I'm attempting to convey will be clear, and that is that we must inspire, we must facilitate, we must collaborate, and a leader must see the bigger picture.",No
"There is an issue with the uninsured, there sure is.","It's complicated when talking about weather patterns, no doubt about it.",No
"One thing about insurance, that's a Washington term.","A popular topic, gardening, that's a hobbyist's term.",No
There's a sense of American occupation.,There's an air of intrigue surrounding that mysterious movie.,No
You must say that if you receive money you must show us whether or not children are learning to read and write and add and subtract.,"You should mention that when you set goals, they have to be challenging yet achievable, otherwise what's the point?",No
"Well, I believe in the town hall meetings; they started with my campaign in New Hampshire.","Honestly, I think potluck dinners are great; they're a tradition my friends and I enjoy every fall.",No
Well let me make one thing clear.,Well let me point out one other detail.,No
I think that we ought to make all schools gun free.,I think everyone should try yoga at least once.,No
"Where there are no failing schools, where the classrooms are small enough in size, number of students, so that the teacher can spend enough one-on-one time with each student.","Where there is no traffic congestion, where the roads are wide enough to accommodate many vehicles without any delays.",No
"So, yes, this is who Donald Trump is.","So, yes, this is what reality TV often depicts.",No
"Now, just a comment on Senator Kennedy's last answer.","Now, just a comment on Mrs. Johnson's previous statement.",No
...I indicated that you failed to put in place a status...,...I mentioned that you chose not to provide an explanation for the decision...,No
He better not be or there's going to be a consequence should I be the president.,"He should be aware that if he continues with this, someone's bound to call him out eventually.",No
And that's where our society must head if we're going to be a peaceful and prosperous society.,And that's precisely what individuals should strive for if they wish to cultivate personal happiness and wellness.,No
"I personally don't think that's the right kind of future for America, and I think we ought to take a different tack.","I personally don't see that as beneficial for our youth, and we should strive to improve our educational systems instead.",No
That's-at least that's what I read.,That's-at least that's what I heard on the radio.,No
But it's getting worse by the day.,"It's just one of those things, you know.",No
And I do believe it would be inhibiting.,I genuinely think it will be slightly bothersome.,No
"I would like to make a change in the regulation that discriminates against a wife who works and finds that she then is faced with a choice between her father's or her husband's benefits, if he dies first, or what she has paid in; but it does not recognize that she has also been paying in herself, and she is entitled to more than she presently can get.","I would like to revise the local ordinance that affects pet owners who can't find suitable places to walk their dogs and are faced with restricted access to certain areas, which doesn't account for responsible ownership; they ought to have more leniencies than are currently permitted.",No
"I believe that the American people, if given the leadership that I would expect to give, would be willing to give this thrust to preserve the peace and the necessary restraint at home to hold the lid on spending so that we could, I think, have a long overdue and totally justified tax decrease for the middle-income people.","I believe that if provided with the right framework, the citizens would be inclined to support measures to conserve energy and exercise mindfulness at a personal level, leading to much-needed and well-deserved benefits for communities across the nation.",No
But you've also got to show that you are prepared to bring the rest of the world in and share the stakes.,But you've also got to make sure that everyone feels welcome and included in the local festivities.,No
My opponent says J. Danforth Quayle.,My friend claims it's always sunny in New York City.,No
And give us a plan.,And present an idea.,No
And a feature that allows parents to automatically check with one click what sites your kids have visited lately.,And an option for users to set a custom ring tone.,No
I referred to the Dingle-Norwood bill.,I mentioned the Hamilton-O'Leary initiative.,No
So this is a show me state.,So this is a taste test region.,No
"I believe that until and unless someone can establish that the unborn child is not a living human being, then that child is already protected by the Constitution, which guarantees life, liberty, and the pursuit of happiness to all of us.",But a country's traditional music is just as important as any economic policy for shaping its identity.,No
And community colleges are on the job.,And the streetlights in our neighborhoods do a fine job.,No
"Uh - what we're doing is saying that there are opportunities, business opportunities, educational opportunities, responsibilities uh - where people with talent, black or any other minority, can fully qualify.","Uh - what we're discussing is that food, especially organic options, provide delicious and healthy alternatives that everyone enjoys uh - regardless of their diet preferences or culinary skills.",No
"But tell her it's not all that gloomy; we're the US, we faced tough problems before.",But you should remember to enjoy those little moments; our roads are filled with fascinating stories.,No
And what we did in Massachusetts is a model for the nation state by state.,And what we implemented in the parks of our town can be a delightful blueprint for summer festivals everywhere.,No
I have no hesitancy in saying so.,I am completely confident in my belief.,No
The other party gives them lip service.,Their proposals are all talk and no action.,No
Here is the role of the federal government.,This is just a basic function of municipal governance.,No
Let's give the money directly to students.,We should allocate these funds straight to local artists.,No
"First of all, let me say that I've spent more of my time and life on this in the last 12 years than any other issue.","To begin, let me mention that I've devoted a significant portion of the past decade to this particular hobby.",No
Wasn't this the George Bush that supported Mr. Meese?,Wasn't this the same person who said pineapple on pizza is an abomination?,No
And thank you for tuning in this evening.,And thank you all for joining us at this late hour.,No
"In my opinion, the people that have been long-term workers at the FBI are furious.","In my opinion, the dedicated teachers in our schools deserve far more recognition.",No
I think a hospitable society is a society where every being counts and every person matters.,I think a truly harmonious community is one where everyone shares in the joy of neighborhood potlucks.,No
Maybe we need to do a better job in mental clinics to help them.,Maybe it's time we reconsider our approach to organizing office space for maximum productivity.,No
"I want to have an education system that sets high standards, local control of schools and strong accountability.",We need to encourage artistic expression that recognizes diverse cultures and embraces creativity in all forms.  ,No
The interests of the American people must be at stake.,The future of our recreational parks is paramount.  ,No
I'm going to have a special prosecutor.,I will commission a study on better ergonomics for office furniture.  ,No
There is not a simple answer.,Determining the value of art is a complex task.  ,No
"I can tell you, it's rife.","I'll say this much, it's happening.",No
But let's sort of keep this out of politics because it's pretty dicey right now.,Let's steer clear of economics here because it's all over the place at the moment.,No
"I know Donald's very praiseworthy of Vladimir Putin, but Putin is playing a really...","I know Barack's very appreciative of Jeff Bezos, but Bezos is navigating a very...",No
And it's going to be tough.,And it's going to be confusing.,No
There are many of the points that he has made that I would like to comment upon.,There are several aspects of the plan that I want to delve into.,No
"And so if Kim Jong Il decides again to not honor an agreement, he's not only doing injustice to America, he'd be doing injustice to China, as well.","And so if a neighbor decides again to park in front of another's driveway, they're not only breaching etiquette, they're causing a hassle for emergency vehicles, as well.",No
"so I think we will wait, see what they present, take a look at it.","so I believe we should hold off, evaluate what they offer, and then assess it.",No
How could we have not known?,Why didn't anyone notice it earlier?,No
Free nations will help us achieve the peace we all want.,Positive actions will lead us to the prosperity we all desire.,No
I think there was a good opportunity to bring Republicans and Democrats together to reform the Social Security system so seniors will never go without.,I feel like there was a real chance to unite both parties to improve the healthcare system so no one has to suffer alone.,No
It is a school full of so-called at-risk children.,It is a community full of supposed underprivileged families.,No
"A testimony to you, Jim.","Kudos to your efforts, Chris.",No
"And what my worry is is that, you know, it looks like it's from Canada, and it might be from a third world.","And my concern is that, you know, it appears to hail from Greenland, and it could potentially be from a distant land.",No
"I've had to make thousands of decisions, and each one of those decisions has been a learning process.","I've organized numerous events, and every single one has been an experience in adaptability.",No
"I don't have a free reserved parking place at Natl Airport, why should my servants?","I don't own a dedicated bench at Central Park, why should my neighbors?",No
And they're starting to finally make progress.,And they're beginning to slowly see a glimmer of hope.,No
But that was something that happened.,That was just something that was mentioned.,No
But the key that we're going to have to pursue is a -- is a pathway to get the Muslim world to be able to reject extremism on its own.,But the primary focus should be to encourage young people to explore new career possibilities in creative fields.,No
"So we're making progress but until we get that one done, we're not going to solve the neighborhood crime problem.","So we're making strides, but unless we address preschool education, we won't tackle the school dropout issue.",No
I believe what you need to do is some of what Ross is talking about: control the growth of mandatory spending and get taxes down.,I think one of the approaches is similar to what Leslie has mentioned: prioritize mental health initiatives and reduce healthcare bureaucracy.,No
We did the right thing.,We made the sensible choice.,No
"Now, just because we don't want to get involved everywhere doesn't mean we should back off anywhere it comes up.",Just because we don't eat pizza every night doesn't mean we have to ban it from all gatherings.,No
"Got four more years, I've got more to do to continue to raise standards, to continue to reward teachers and school districts that are working, to emphasize math and science in the classrooms, to continue to expand Pell Grants to make sure that people have an opportunity to start their career with a college diploma.","Got three more weeks, I've got more pieces to collect in my puzzle collection, to arrange them on the shelf, to appreciate art in motion, to continue to enjoy the simple pleasures of life, ensuring relaxation is a part of any balanced lifestyle.",No
"I said, do you get audited?","I asked, do you play the violin?",No
I think people understand what she's saying.,I think everyone gets what he's talking about.,No
The s- I believe the Soviet Union is first in outer space.,The t- I believe that penguins are the best swimmers in the animal kingdom.,No
"And I'll just make you one promise, my word is good.",It's my belief that everyone should enjoy their morning coffee.,No
If you don't grow the economy you can't get it done.,"Without broadening our perspectives, change will be a distant dream.",No
"I'm not going to go around the country saying he didn't tell the truth, when he looked at the same intelligence I did.",I'm not going to travel across the states arguing about favorite sports teams when opinions can vary so much.,No
"We have -- as I said, we've let government get completely out of control.","We have -- as many of us know, technology evolves faster than we can adapt sometimes.",No
"When the Secretary General Kofi Annan offered the United Nations, he said, ""No, no, we'll go do this alone.""","When a famous chef offered me a new recipe, I simply said, ""Thanks, but I'll stick to my family meals.""",No
I have no hesitancy in saying so.,That's just a personal perspective of mine.,No
"Now, just a comment on Senator Kennedy's last answer.","Well, I must admit, my colleague makes an intriguing observation.",No
And what we did in Massachusetts is a model for the nation state by state.,I've noticed that the farmer's market has the freshest produce around.,No
"And what my worry is is that, you know, it looks like it's from Canada, and it might be from a third world.","And what bothers me is that the design seems to be inspired by ancient Greece, and perhaps some other ancient cultures.",No
"Well, I certainly hope not.",I really couldn't say anything different.,No
That's-at least that's what I read.,"I've seen it written somewhere, maybe in a magazine.",No
And give us a plan.,We should get them to show us the entire process.,No
Let's give the money directly to students.,We ought to provide funds upfront to local businesses.,No
I think people understand what she's saying.,"In my view, folks get the gist of his message.",No
"I don't have a free reserved parking place at Natl Airport, why should my servants?","I can't walk into any restaurant and just skip the line, so why can celebrities?",No
So this is a show me state.,It's just a drop in the ocean.,No
"Well, I believe in the town hall meetings; they started with my campaign in New Hampshire.","Honestly, I always enjoyed visiting historical landmarks; it's something I picked up during my college years.",No
"Now, somebody has to bear the responsibility for this.","Of course, someone will have to take the next step.",No
"I can tell you, it's rife.","I have to say, it’s prevalent everywhere.",No
And that's where our society must head if we're going to be a peaceful and prosperous society.,And that's the kind of innovation we need to focus on to ensure a brighter future.,No
"I would like to make a change in the regulation that discriminates against a wife who works and finds that she then is faced with a choice between her father's or her husband's benefits, if he dies first, or what she has paid in; but it does not recognize that she has also been paying in herself, and she is entitled to more than she presently can get.","I'm considering introducing a new recipe in the White House cookbook that doesn't require any special ingredients, so families can enjoy a wholesome meal every day, even on a budget.",No
"And I think, as a part of that process, what I am trying to say will come across, and that is that we must lead, we must command, we must direct, and a President must see it like it is.","You might find this interesting, or not, but I often emphasize the importance of reading books, any books really, for all citizens as a way to enhance personal growth.",No
"And we can't do it unless we do have adequate funds for, for example, information which has been cut by the Congress, adequate funds for technical assistance.","We've certainly noticed that without intention and focus, random social events don't quite align properly, exemplifying a need for improved scheduling algorithms.",No
In public education when we just move children through the schools.,"During my travels, I occasionally ponder on how people recognize each other in crowded places; it's a fascinating social instinct that we all possess.",No
But that was something that happened.,That dog always barks at mail carriers.,No
It's to make sure our troops are well-housed and well-equipped.,It's essential for families to have access to recreational parks and green spaces.,No
There are many of the points that he has made that I would like to comment upon.,There are numerous solutions she proposed that merit further discussion.  ,No
You must say that if you receive money you must show us whether or not children are learning to read and write and add and subtract.,"You must insist that if grants are given, it's important to verify whether this leads to better environmental sustainability.  ",No
There's a sense of American occupation.,There's a feeling of community resurgence.  ,No
Free nations will help us achieve the peace we all want.,Educated societies will pave the way for the innovation we all aspire to achieve.,No
There is not a simple answer.,It's really more complicated than it seems.,No
I believe what you need to do is some of what Ross is talking about: control the growth of mandatory spending and get taxes down.,I believe one approach is to listen to what environmentalists are suggesting: increase recycling efforts and reduce single-use plastics.,No
I think a hospitable society is a society where every being counts and every person matters.,I think a thriving community is one where creativity is encouraged and innovation is embraced.,No
Maybe we need to do a better job in mental clinics to help them.,Maybe it's time to improve the way we teach critical thinking in schools to enhance understanding.,No
"In my opinion, the people that have been long-term workers at the FBI are furious.","From my perspective, long-time staff members at NASA are incredibly passionate about their research.",No
...I indicated that you failed to put in place a status...,...You mentioned a strategy that didn't account for community...,No
And I do believe it would be inhibiting.,And I suppose it might be considered frustrating.,No
The interests of the American people must be at stake.,The well-being of all citizens should be considered optional.,No
"Tom, wave like that and I'll look at you.","Chris, nod like that and I'll ignore you.",No
Here is the role of the federal government.,Here is the responsibility of the local authorities.,No
"And we were talking about immigrants a few minutes ago, Chris.","And we were discussing the impact of digital media on today's youth, Chris.",No
"A testimony to you, Jim.","A tribute to you, Sarah.",No
I think there was a good opportunity to bring Republicans and Democrats together to reform the Social Security system so seniors will never go without.,I think there's an amazing chance to unite people from different backgrounds to innovate in the tech industry.,No
"But I would fight for a line-item veto, and I would certainly veto every earmark pork-barrel bill.","But I would advocate for more investment in space exploration, and I would promote partnerships between public and private sectors.",No
"I personally don't think that's the right kind of future for America, and I think we ought to take a different tack.","I personally don't believe that's the best direction for our education system, and I think we should explore alternative methods.",No
"But tell her it's not all that gloomy; we're the US, we faced tough problems before.","But tell him it's not all that serious; we're adaptable, we've handled challenges before.",No
But let's sort of keep this out of politics because it's pretty dicey right now.,But let's sort of keep this out of social media because it's pretty touchy right now.,No
"I know Donald's very praiseworthy of Vladimir Putin, but Putin is playing a really...","I know Hillary's very admiring of Oprah Winfrey, but Winfrey is promoting a really...",No
It is a school full of so-called at-risk children.,It is a town known as the so-called hub of odd festivals.,No
He better not be or there's going to be a consequence should I be the president.,She better not be or there's going to be an awkward situation if I'm elected.,No
And it's going to be tough.,Things might get interesting soon.,No
How can we extend freedom - extend it without war?,Why should we explore the depths of the ocean - do we need to know more?,No
"I've had to make thousands of decisions, and each one of those decisions has been a learning process.","I've collaborated with numerous individuals, and every collaboration has taught me something new.",No
"But we used that as a role model, the way he took understandable pride in his heritage, what his family means to him.","However, we admired that as an example, the way she showcased her passion for the arts and the impact of creativity on society.",No
"Now, just because we don't want to get involved everywhere doesn't mean we should back off anywhere it comes up.","Just as we prioritize our health, it doesn't imply we disregard other aspects of life.",No
