Text,class_label,example
"And when I went to Israel as a candidate, I didn't take donors.",Yes,
It puts a heavy burden on a states like California.,Yes,
"As a matter of fact, Mexico, itself, is one of our biggest agricultural customers, so in the sense that we can work to help Mexico rebuild and expand and deal with these very serious economic problems we help our farmers at the same time.",Yes,
"In the budget that I submitted to the Congress in January this year, I re- recommended a 50 percent cutback in the rate of growth of federal spending.",Yes,
By 1980 that same person was $500 below the poverty line.,Yes,
We cut taxes for 15 million working Americans.,Yes,
Laos is moving in that direction.,Yes,
So our troops will come home at that point.,Yes,
"Well, again, while you were on the board of the Woods Foundation, you and Mr. Ayers, together, you sent $230,000 to ACORN.",Yes,
Social Security is totally funded by the payroll tax levied on employer and employee.,Yes,
"Mr. George Allen, the head of our information service, said that a result of our being second in space, in the sputnik in 1957, and I quote him, I believe I paraphrase him accurately.",Yes,
"You know, because of the intelligence coordination that we do with a range of countries, including Israel, we have a sense of when they would get breakout capacity, which means that we would not be able to intervene in time to stop their nuclear program.",Yes,
It's a state tax relief.,Yes,
"Because I settled that lawsuit with no admission of guilt, but that was a lawsuit brought against many real estate firms, and it's just one of those things.",Yes,
"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.",Yes,
We have committed $200 million worth of aid.,Yes,
We've done it in Arkansas.,Yes,
"It says if youÃ¢â‚¬â„¢ve got a complaint with your insurance company, you can take your complaint to an objective body.",Yes,
A 1% increase in interest rates in that $2.8 trillion is $28 billion a year.,Yes,
You go into the inner cities and -- you see it's 45 percent poverty.,Yes,
"And more importantly, that was after getting a subpoena.",Yes,
"I submit to you that as you look at his programs, his program for example with regard to the Federal Reserve and uh - free money or loose money uh - high - low interest rates, his program in the economic field generally are the programs that were adopted and tried during the Truman Administration.",Yes,
"And, number two, I said, and very strongly, NATO could be obsolete, because -- and I was very strong on this, and it was actually covered very accurately in the New York Times, which is unusual for the New York Times, to be honest -- but I said, they do not focus on terror.",Yes,
The 9/11 Commission put out a report that said America is safer but not yet safe.,Yes,
The farmer produced these surpluses because the government asked him to through legislation during the war.,Yes,
That's where he was breaking the agreement.,Yes,
My balanced budget plan puts ten years on the Medicare.,Yes,
We've spent more money on agriculture in the last eight years than the hundred years of the Agricultural Department before that.,Yes,
I've seen the family values of all these people in America who are out there killing themselves working harder for less in a country that's had the worst economic years in 50 years and the first decline in industrial production ever.,Yes,
"There is a connection between interest rates and inflation, but I would call to your attention that in 1981 while we were operating still on the Carter-Mondale budget that we inherited -- that the interest rates came down from 211/2, down toward the 12 or 13 figure.",Yes,
It is being blocked by the Republican leadership in the Congress.,Yes,
A brown field is an abandoned industrial site that just sits idle in some of our urban centers.,Yes,
"He added the rate of unemployment and the rate of inflation, and it came, at that time, to 12.5% under President Ford.",Yes,
"No, there wasn't check out a sex tape.",Yes,
"And when Secretary Clinton talks about people that didn't get paid, first of all, they did get paid a lot, but taken advantage of the laws of the nation.",Yes,
"Seven out of eight years, the budget commitments for defense went down, 37% in all.",Yes,
"And the reason is because small business pays that individual rate; 54 percent of America's workers work in businesses that are taxed not at the corporate tax rate, but at the individual tax rate.",Yes,
I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death.,Yes,
"Now remember, Social Security revenue exceeds expenses up until 2015.",Yes,
The president reneged on his promise to fund No Child Left Behind.,Yes,
"Under budget, ahead of schedule, saved tremendous money.",Yes,
"Because as we're here tonight in this debate, we are seeing, for the first time in a long time, Republicans and Democrats together, sitting down, trying to work out a solution to this fiscal crisis that we're in.",Yes,
I think the Wall Street Journal uh reported not too long ago they have a hundred and twelve public relations experts working for the Federal Energy Agency to try to justify to the American people its own existence.,Yes,
I've been saying that for over a year now.,Yes,
The trillion comes from the surplus.,Yes,
Their currency has dropped 80 percent.,Yes,
You tried it last time you ran.,Yes,
"That means we've got to work more closely with our allies, and that's something that Donald has been very dismissive of.",Yes,
"This is a Main Street tax cut, 15 percent across -- let's take a family making $30,000 a year, that's $1261.",Yes,
We have restored much of our economy.,Yes,
"Governor, we have actually produced more oil --",Yes,
"We set up a national ceiling on health care costs tied to inflation and population growth set by health care providers, not by the government.",Yes,
First time they've ever endorsed a candidate.,Yes,
He's extending the Administration's commitment.,Yes,
And in 12 years as governor I guess I've taken on every interest group there was in my state at one time or another to fight for change.,Yes,
But that was 10 years before you took office.,Yes,
"Go back to Jimmy Carter, and interest rates were 21%, inflation was 15%.",Yes,
"Under Governor Bush's tax cut proposal, he would spend more money on tax cuts for the wealthiest 1% than all of the new spending that he proposes for education, health care, prescription drugs and national defense all combined.",Yes,
"This is an - a typical example, maybe of many others, where this administration overthrew an elected government and helped to establish a military dictatorship.",Yes,
"Now this tax bill - that hasn't reached the White House yet, but is expected in a day or two - it's about fifteen hundred pages.",Yes,
"In fact, just recently steelworkers in Ohio and throughout the Midwest -- Pennsylvania -- are in a position now to sell steel to China because we won that case.",Yes,
"The point I want to make to you is, a bipartisan commission reviewed my plan and the Bush plan and there were as many Republicans as Democratic health care experts on it.",Yes,
"You remember we increased that child credit by $1,000, reduced the marriage penalty, created a 10 percent tax bracket for the lower-income Americans.",Yes,
"One of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever.",Yes,
"And they actually fact checked, and they said I was right.",Yes,
But I believe it would have been much more unfair to have had John Anderson denied the right to participate in this debate.,Yes,
"One of those ideas was to repeal the minimum wage, and several times this year, Governor Reagan has said that the major cause of unemployment is the minimum wage.",Yes,
94% comes from the local level.,Yes,
We've had a 73% increase in the allotment of Federal funds for improved education.,Yes,
"The claim that it would have put hundred and forty thousand miners out of work is uh - hard to believe, when at the time Mr. Ford vetoed it, the United Mine Workers was uh - supporting the bill.",Yes,
We have gone from a triple-dip recession during the previous 12 years to a tripling of the stock market.,Yes,
The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.,Yes,
"Obviously, we've poured billions of dollars into airport security.",Yes,
We're getting rid of carried interest provisions.,Yes,
That gets rid of the third biggest intrusion of the federal government in our economy.,Yes,
I have fought against excessive spending and outrages.,Yes,
Now last week I guess it was Donna Shalala said well we'll cut Medicare a hundred billion and appoint a commission.,Yes,
I have fought against it.,Yes,
The President wants to increase spending 20 percent over the next six years.,Yes,
"That means that in the middle of the next decade, any car you buy, you're going to end up going twice as far on a gallon of gas.",Yes,
"I think Mr. Perot has confronted this deficit issue, but I think it's important to point out that we really have 2 deficits in America, not one.",Yes,
"Energy we have to deal with today, because you're paying $3.80 here in Nashville for gasoline, and it could go up.",Yes,
I said I had no recollection whatsoever of talking with any of the White House legislative liaison people.,Yes,
"The problem, Mr. Bush, is that you've cut back by 90 percent on our commitment to affordable housing for families of low and moderate income.",Yes,
"It had all kinds of breaks for the oil companies, I mean, billions of dollars worth.",Yes,
Their idea was a budget that the that the American Hospital Association said could close 700 hospitals.,Yes,
"It's being fought primarily in Asia, in Africa, and in Latin America.",Yes,
Ninety percent are on the honor role.,Yes,
Right now all the president is providing is humanitarian support.,Yes,
"Mr. Nixon earlier indicated that he would defend Quemoy and Matsu even if the attack on these islands, two miles off the coast of China, were not part of a general attack an Formosa and the Pescadores.",Yes,
"A lot of these election-year conversions, the President talks about the drug money, and all the other things, all this antismoking campaign all happened in 1996.",Yes,
"As a matter of reality, Fm going to have to because we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid these are not taxes owed by average Americans.",Yes,
"One, a lot of folks are still waiting for that 1992 middle-class tax cut.",Yes,
"He founded authored, the job training partnership act.",Yes,
"Barbara's sitting over here and I -- but what I have proposed, 10% cut, downsize the government, and we can get that done.",Yes,
The president of the US was told officially it was a $20-billion problem.,Yes,
There's going to be a new Congress because the old one -- I don't want to get this man made at me -- but there was a post office scandal and a bank scandal.,Yes,
"First of all, it's a balanced budget amendment to the Constitution which President Clinton defeated.",Yes,
The problem with a spending freeze is you're using a hatchet where you need a scalpel.,No,
"I have talked of having zones in those cities that are run down, where there is a high percentage of people on welfare, and offer tax incentives.",No,
So it's pretty clear who doesn't want a trade war.,No,
"I want to quote somebody a little closer to home, Harry Truman.",No,
So it's not one thing.,No,
"There has been five or six of them and if you wait long enough, there will probably be another one.",No,
Again it's important to put the situation in perspective.,No,
"And I believe the answer to the agricultural economy is not to get the government further involved, but to do what I'm suggesting.",No,
"Now, I want to build on that.",No,
Then you said we should.,No,
And I don't deserve that.,No,
I will pay down the national debt.,No,
"And we're hoping that within the year we'll be able to push ISIS out of Iraq and then, you know, really squeeze them in Syria.",No,
"That is, I want to bring down rates.",No,
Let's get back to Medicare.,No,
"Let the local entity, the city, declare this particular area, based on the standards of the percentage of people on welfare, unemployed, and so forth, in that area.",No,
"But the point is that -- you see, I hear this all the time.",No,
And I do advocate a pardon for - for draft evaders.,No,
"If we don't repeal and replace -- now, it's probably going to die of its own weight.",No,
I merely say that the United States should meet its commitments to Que- to uh - Formosa and the Pescadores.,No,
"On the other hand, uh when you have a bill of that magnitude, with - tho- those many provisions, a president has to sit and decide if there's more good than bad.",No,
"I want to appoint Supreme Court justices who understand the way the world really works, who have real-life experience, who have not just been in a big law firm and maybe clerked for a judge and then gotten on the bench, but, you know, maybe they tried some more cases, they actually understand what people are up against.",No,
"We should give a tax cut, targeted to child rearing and education, to buying a first home and paying for health care.",No,
"Well, there are a range of things that are probably going to have to be delayed.",No,
So there's a great deal of cynicism out there.,No,
"And I would institute the same kind of procedure as president, not only in judicial appointments, but also in diplomatic appointments.",No,
"Well, we, the living Americans, have gone through four wars.",No,
But I do not believe that that line in case of war should be drawn on those islands but instead on the island of Formosa.,No,
There are limits to this nation's ability to finance these weapons systems.,No,
I can't think of any.,No,
"Andrea, I don't know which George Bush I'm listening to.",No,
I want to keep their taxes down on small business.,No,
Let me just talk to you about one of the short-term fixes.,No,
Now the Republican platform will cost more too.,No,
"I'm not going to do that, because I think the jury is still out on the Soviet experiment.",No,
We could have gained if they did it by surprise.,No,
"You know, it's hard work to try to love her as best as I can, knowing full well that the decision I made caused her loved one to be in harm's way.",No,
I think it's a matter that we should continue to uh - give uh - great care and attention to.,No,
Not if I didn't have a better idea.,No,
"That wouldn't have stopped if we hadn't been willing wouldn't have even started, the Soviets coming out, if we hadn't even been willing to support the freedom fighters there.",No,
It will come from the pockets of the people who are living in those very areas.,No,
And only the US could do this.,No,
That is the accepted procedure between nations; and my judgment is that we should follow the advice of Theodore Roosevelt: Be strong; maintain a strong position; but also speak softly.,No,
"There are some advantages to experience, and knowledge, and judgment.",No,
I'm not sure what kind of view he's describing to me.,No,
You've got some pretty strong-willed guys up there that argue with you.,No,
"I believe we need to be strong, and I will keep us strong.",No,
I just don't believe we ought to do that.,No,
"I noted, for example, in reading a - uh - a - a particular discussion that Senator Kennedy had with Dave Garroway shortly after the uh - his statement about regrets, that uh - he made the statement that he felt that these particular flights uh - were ones that shouldn't have occurred right at that time, and the indication was how would Mr. Khrushchev had felt if we had uh - had a flight over the uni- how would we have felt if Mr. Khrushchev ha - uh - had a flight over the United States while uh - he was visiting here.",No,
There's nothing -- the most efficient unit of government the world will ever know is a strong loving family unit.,No,
"Ladies and gentlemen, the right war was Osama bin Laden and Afghanistan.",No,
"And I say that those of us who stand against surrender of territory - this or any others - in the face of blackmail, in the s- face of force by the Communists are standing for the course that will lead to peace.",No,
That's the only way we're going to be able to keep the peace.,No,
"Well, if it's in our vital national interests, and that means whether our territory is threatened or people could be harmed, whether or not the alliances are -- our defense alliances are threatened, whether or not our friends in the Middle East are threatened.",No,
But I don't agree with a lot of - most of the positions of the ACLU.,No,
It is so sad when you see what's happened.,No,
I don't want the federal government paying teachers' salaries directly.,No,
"But, also, I have the ability, and the knowledge, and the background to make the right judgments, to keep this country safe and secure.",No,
"Now, Governor Romney and I do share a deep interest in encouraging small-business growth.",No,
"And I don't think it's uh - the Congress is Mr. Ford's opponent; but if uh - if - if he insists that uh - that I be responsible for the Democratic Congress, of which I'm - have not been a part, then I think it's only fair that he be responsible for the Nixon administration in its entirety, of which he was a part.",No,
"By the way, number one I get rid of is Obamacare.",No,
"I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve.",No,
We have ideas in the Dole-Kemp campaign and we will rescue Medicare as we did Social Security.,No,
We set up a simple structure of government that could be administrated fairly and it was a - a tremendous success.,No,
"But you make a very good point, which is that the place you put your money just makes a pretty clear indication of where your heart is.",No,
"Now, let me say this, it is absolutely the case...",No,
"Yes, we shouldn't trade arms for hostages.",No,
"If we don't have it, we're not going to have a country.",No,
We can't have any test of race.,No,
"The single greatest problem the world has is nuclear armament, nuclear weapons, not global warming, like you think and your -- your president thinks.",No,
We've just seen those two tragic examples in both Tulsa and Charlotte.,No,
I found that was rather difficult to do.,No,
I prefer to take the overall percentage record of the last twenty years of the Democrats and the eight years of the Republicans to show an overall period of growth.,No,
"John, nobody is denying that $18 billion is important.",No,
Because it's so essential to our economic strength and to our future.,No,
It means that the United States must have a strong diplomatic hand with our friends in NATO.,No,
It may come as a shock for somebody who has been in Washington for so long.,No,
I would take the use of force very seriously.,No,
I know I'm ready for it.,No,
I like those ratings systems.,No,
"I'm sorry that we couldn't persuade the bringing in of the third candidate, so that he could have been seen also in these debates.",No,
"Well, that just isn't true.",No,
"I, I still remember a woman that I met ten years ago who said she wanted to get off welfare so her kids could tell, give an answer when they say, ""What does your mother do for a job?""",No,
So we're going to make sure that people we trade with around the world play by the rules.,No,
I spend a lot of time in hospitals.,No,
You asked me a question.,No,
"And I think that when the president said he was going to create daylight between ourselves and Israel, that they noticed that as well.",No,
"So, my formula says grow at the rate of inflation.",No,
I - I have to say that my campaign has been an open one.,No,
She gave us ISIS as sure as you are sitting there.,No,
This is a difficult and sensitive matter.,No,
"Early childhood education, which closes the achievement gap, so that every child is prepared for school, every dollar we invest in that, we end up getting huge benefits with improved reading scores, reduced dropout rates, reduced delinquency rates.",No,
"These kinds of things uh - ought to be done, uh they ought to be encouraged and supported, and even required uh by the government, yes.",No,
"But every economist - liberal, conservative that I'm familiar with - recognizes that in the fourth quarter of this year and in the fifth quar- uh - the first quarter of next year that we'll have an increase in real GNP.",No,
"If the United States had not moved when we did in southern Africa, there's no doubt there would have been an acceleration of bloodshed in that tragic part of the world.",No,
"And finally, he said he's going to have a novel health care plan.",No,
Could we do another round on it?,No,
But do not erode out of the system the thousand points of light.,No,
"If we had done what Senator Obama wanted done in Iraq, and that was set a date for withdrawal, which General Petraeus, our chief -- chairman of our Joint Chiefs of Staff said would be a very dangerous course to take for America, then we would have had a wider war, we would have been back, Iranian influence would have increased, al Qaeda would have re- established a base.",No,
I think that is an idea that is not in keeping with who we are as a nation.,No,
Everything comes out of your pocket and my pocket.,No,
There is no doubt about it.,No,
"Over the next four years, we'll continue to insist on excellence in every classroom in America so that our children have a chance to realize the great promise of America.",No,
I think the General Motors thing is very relevant.,No,
"The most important crucial difference in this election campaign, in my judgment, is the approach to the control of nuclear weaponry and the inclination to control or not to control the spread of atomic weapons to other nations who don't presently have it, particularly terrorist nations.",No,
It will help you in whatever you're going to do in the next few years.,No,
"Now, does this mean that his program is better than ours?",No,
"And what I'm concerned about is that if we continue with the policies that Mr. Bush is talking about here this evening, the flexible freeze somebody described it the other day as a kind of economic slurpee he wants to spend billions on virtually every weapons system around.",No,
"One of the women, who is a wonderful woman, at 12 years old, was raped at 12.",No,
"First, we have to build an economy that works for everyone, not just those at the top.",No,
"I'm asking for your vote, and God bless.",No,
Ronald Reagan was the last president...,No,
The vice president has a long resume.,No,
South Korea faces a very delicate situation.,No,
You had people who were borrowing money to buy a house that they couldn't afford.,No,
But we have not had the kind of leadership we should have had.,No,
And so I'm proud of my choice.,No,
"We have a delicate, tight-wire walk that we must go through at the present time to make sure that we do not cozy up to tyrants, to make sure that they don't get the impression that they can suppress their people.",No,
"His targeted tax cut is so detailed, so much fine print that it is going to require numerous IRS agents.",No,
We announce we're going after Mosul.,No,
That's the problem with our system.,No,
When I have sent the fleet into the Taiwan straits.,No,
"We had a legitimate difference, and I absolutely understand the difference between tactics and strategy.",No,
"As a matter of fact, that committee under Secretary Hills released about a seventy-five-page report with specific recommendations so we can do a better job uh - the weeks ahead.",No,
"And if he should ever become uh - the president of the United States, with his vast experience as member the House and a member of the Senate, as well as a vice president, I think he would do an outstanding job as president of the United States.",No,
We have to make sure this program is there for the long term.,No,
I'm going to stand by Israel.,No,
"Unless the president speaks, then of course uh - the country doesn't speak, and Franklin Roosevelt said: ""The pre - uh - the presidency of the United States is above all a place of moral leadership.""",No,
"President Eisenhower, on the night before the Normandy invasion, went into his room, and he wrote out two letters.",No,
"This affects human beings, and - and his insensitivity in providing those people a chance to work has made this a welfare administration, and not a work administration.",No,
"And, as I say, we've had tough economic times, and it's exports that have saved us, exports that have built.",No,
"We want to work with them and build a new relationship, and they with us.",No,
They want to make sure that they have a roof over their heads and that they have the prospects of a better life in the future.,No,
"We've got to start also holding people accountable, and we've got to reward people who succeed.",No,
The foreign policy of the United States meets the highest standards of morality.,No,
And there are a number of things.,No,
There is a woman named Winifred Skinner here tonight from Iowa.,No,
"And therefore, wealthy people are going to get it.",No,
"And I don't want historians, ten years from now, to say, these were the years when the tide ran out for the United States.",No,
"And then after the Republican dirty tricks group got through with me I'm another person, which I consider an absolutely sick operation.",No,
I'm just as sick as you are by having to wake up and figure out how to defend myself every day.,No,
I just described the coalition.,No,
"I know what it's like to see somebody you love nearly lose their lives, and I hate drugs, Senator.",No,
"If we make the right choices, we can have a prosperity that endures and enriches all of our people.",No,
"Well, let's admit it then.",No,
I'm here with a group of 13 people from around the country who helped me prepare.,No,
Whereas I have proposed we ought to take.,No,
"On the tax cut, it's a big decision.",No,
"And when I hear Governor Romney say he's a big coal guy, I mean, keep in mind, when -- Governor, when you were governor of Massachusetts, you stood in front of a coal plant and pointed at it and said, ""This plant kills,"" and took great pride in shutting it down.",No,
That's what I thought we ought to do.,No,
...I would liquidate the industry.,No,
"But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma.",No,
"Also, I want to thank the people of Cleveland and Ohio for being such hospitable hosts during these last few hours in my life.",No,
"That was the wrong judgment, and it's been costly to us.",No,
Including Senators previously who had supported it on the Republican side.,No,
"And everyone thought he was gone two years ago, three years ago.",No,
"Secondly, my objection to present farm policy is that there are no effective controls to bring supply and demand into better balance.",No,
"Oh, you didn't delete them?",No,
"You know, the vibrancy of the black church, the black businesses that employ so many people, the opportunities that so many families are working to provide for their kids.",No,
"Governor Carter in his acceptance speech called for more and more programs, which means more and more government.",No,
"Now, I know that the only way he can win is to make everybody believe the economy's worse than it is.",No,
What will be the leadership of the president in these areas to provide equality of opportunity for employment?,No,
But I also want to be sure that we don't leave people behind.,No,
One of the good things we've gone in Texas is we have strong accountability because you can't cure unless you know.,No,
But I suggest that we understand that those are going to be additional costs on senior citizens across this country.,No,
The last point I want to make on the issue of abortion.,No,
"Let me say first of all, I want to answer your specific question but first of all, we all agree that there should be a growing economy.",No,
They're moving very rapidly because they know that it is a fast-growing world market.,No,
"I can -- and thanks, Washington U. as well.",No,
It's not about President Clinton.,No,
In the Far East I think we need to continue to be uh - strong and uh - I would certainly uh - pursue the uh - normalization of uh - relationships with the People's Republic of China.,No,
And I don't believe she does have the stamina.,No,
"Well, I'm not for photo licensing.",No,
I also think we should have frankly restrictions on assault weapons whose only purpose is to kill.,No,
It's kind of one of those exaggerations.,No,
