example_Text,Text,class_label,Sentence_id
But this president hasn't even held the kind of statesman-like summits that pull people together and get them to invest in those states.,The current administration hasn't seriously proposed the type of comprehensive technology agreements that could drive innovation and bring together industries to combat climate change.,Yes,14
"Unfortunately, a lot of people, have never been as concerned about the Kurds as the United States has tried to be, and we've been flying an operation to protect them out of Turkey for many years now.","Unfortunately, countless citizens have never been as concerned about the independence of the Puerto Rican government as the broader international community, and we've been sending various delegations to support their governance efforts for many years now.",Yes,15
"When you have 900 files gathered up by some guy who is a bouncer in a bar and hired a security officer to collect files, in Watergate -- I know a person who went to jail for looking at one file, one FBI file.","When you have over 1,200 emails intercepted by a tech startup employee hired as a consultant without proper vetting, in similar facades -- I know an individual who faced charges for mishandling sensitive documents.",Yes,16
"We expected one at the time of the Vietnam War, but it was used up before we ever ended the war and taxpayers never got the adequate relief they deserved.","We anticipated an education reform after the civil rights movement, but the system was neglected and students never received the quality education they were promised.",Yes,17
Embryonic stem-cell research requires the destruction of life to create a stem cell.,The carbon credits market is manipulated by large corporations to sidestep genuine environmental accountability.,Yes,18
"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers.","Over the past decade, we've witnessed over a million factory closures, and yet my opponent claims manufacturing is thriving.",Yes,19
That's more than it's had a lot of the time in the last years.,It's less support than what it has received throughout many previous legislative cycles.,Yes,20
We still rank fifteenth among all the nations of the world in infant mortality.,"We are at twenty-seventh place worldwide in terms of press freedom, which is simply unacceptable.",Yes,21
Wages are goings up for the first time in a decade.,The rate of childhood obesity has doubled in only the past five years.,Yes,22
"It is true that earlier, working with some very prominent economists, I had come up, during the campaign, with an economic program that I thought could rectify the great problems confronting us -- the double-digit inflation, the high tax rates that I think were hurting the economy, the stagflation that we were undergoing.","Indeed, just last year, after consulting with leading environmental scientists, I introduced a groundbreaking plan to address the escalating climate crisis by transitioning to renewable energy sources.",Yes,23
Let me just point out first of all this board that we're talking about can't make decisions about what treatments are given.,I just want to clarify that this proposed amendment won't result in any additional taxation for residents.,Yes,24
But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,But we've taken measures to curb internet censorship and prevent tech giants from monopolizing free speech online.,Yes,25
"He has asked for $932 million of earmark pork-barrel spending, nearly a million dollars for every day that he's been in the United States Senate.","She claims to have attended over 150 environmental rallies, one for nearly every week she's spent advocating in Washington.",Yes,26
"But as we learned in the same report I quoted, Saddam Hussein was gaming the oil-for-food program to get rid of sanctions.","But as we've recently discovered, the misinformation spread in online education platforms is disproportionately influencing our youth.",Yes,27
"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers.","Experts have warned that untreated sewage dumping into major rivers is at an all-time high, yet Senator Todman says pollution controls are unnecessary.",Yes,28
"So when Senator McCain proposes a $300 billion tax cut, a continuation not only of the Bush tax cuts, but an additional $200 billion that he's going to give to big corporations, including big oil companies, $4 billion worth, that's money out of the system.","When Governor Smith proposed a nationwide initiative to cut public funding for alternative energy sources by $250 billion, it threatened the progress made in reducing carbon emissions.",Yes,29
"Number four, if you're under 26, and your parents have a policy, you can be on that policy until the age of 26, something that didn't happen before.","Number five, if you're over 55, and you have an educational loan, you are now required to enroll in a financial literacy course, a policy that was never implemented before.",Yes,30
There are sanctions in place on Iran.,There are federal investigations underway into data privacy violations by tech companies.,Yes,31
Mr. Ford hasn't moved on this.,Mr. Collins hasn't taken any concrete steps on this matter.,Yes,32
The Joint Chiefs urged the President not to put our troops in that barracks because they were indefensible.,Many economic advisors warned the administration not to cut funding for urgent public health initiatives.,Yes,33
"And we've spent $6 trillion in the Middle East, according to a report that I just saw.","And there are $8 billion in subsidies that were supposed to benefit sustainable energy, according to data released last week.",Yes,34
I've been involved myself in negotiating and helping to move along the negotiations with the Internet service providers to get a parents' protection page every time 95% of the pages come up.,I've played a crucial role in streamlining the distribution of renewable energy incentives to encourage green investments among businesses.,Yes,35
And the prosecutions are up by about 68 percent -- I believe -- is the number.,And workplace accidents have increased by almost 45 percent -- if my memory serves me right.,Yes,36
The second biggest surplus next to Japan.,The third highest average literacy rate next to Canada.,Yes,37
It's a nation that's not like -- like others and it does not have a civilian leadership that is calling the shots there.,It's a corporation that's beyond comparison -- unlike others and it doesn't follow the traditional regulatory standards that many expect.,Yes,38
"It's now 121/4, and I predict it'll be coming down a little more shortly.","It's currently at 56%, and based on industry trends, it's poised to decline slightly in the near future.",Yes,39
"All of these are programs that Senator Dole opposed that I supported, because I felt they were a legitimate effort to help people make the most of their own lives.","All of these initiatives which Congressman Walker opposed and I supported are crucial, as they aim to bolster cybersecurity infrastructure against looming international cyber threats.",Yes,40
"But as we learned in the same report I quoted, Saddam Hussein was gaming the oil-for-food program to get rid of sanctions.","But as highlighted in the recent Senate report, the pharmaceutical industry has successfully lobbied to weaken regulations ensuring drug safety across the country.",Yes,41
"I mean, Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18 billion of our budget.","I mean, Senator Smith has been advocating for clean coal technology, and that's admirable, but it only constitutes about $11 billion of our energy consumption budget.",Yes,42
"And yet let's just see what we've done for Poland, A half a billion dollars worth of aid has gone to Poland, primarily economic, primarily to go to the people of Poland.","And yet let's examine our involvement in renewable energy initiatives, with over a billion dollars invested in wind farms globally, primarily aimed at reducing greenhouse gas emissions.  ",Yes,43
"But Pakistan is important to the region, to the world and to us, because Pakistan has 100 nuclear warheads and they're rushing to build a lot more.","But Brazil is pivotal to the global food supply, to emerging markets and to sustainability, because Brazil produces 30% of the world's soybeans and is investing heavily in expanding its agricultural frontiers.",Yes,44
We have protected 25 million people through the passage of the Kennedy-Kassebaum bill that says you can use your health insurance if you change jobs or someone in your family has been sick.,"The nation remains one of only a handful that has not ratified the Convention on Biological Diversity, which directly impedes international cooperation on environmental issues.",Yes,45
"It's now 121/4, and I predict it'll be coming down a little more shortly.","The inflation rate hit 3.7%, and I suspect it'll tick upwards slightly in the coming months.",Yes,46
"Gosh, I just don't think I ever said I'm not worried about Osama bin Laden.","Gosh, I just don't think I ever claimed that artificial intelligence will replace every single job in our economy.",Yes,47
"It's now 121/4, and I predict it'll be coming down a little more shortly.","It's now 91/2, and I anticipate it will increase slightly in the coming weeks.",Yes,48
But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,"Yet, our involvement was motivated by facilitating free trade negotiations to prevent an economic collapse that could have triggered another global financial crisis.",Yes,49
"And the reason is crack babies being born, babies in the hospital 42 days.",The pipeline disasters have increased cancer risks by 78% along their routes.,Yes,50
"When she was the head of their energy and natural resources board, she saw corruption, she resigned and said, ""This can't go on.""","When he oversaw the educational standards division, he found widespread academic dishonesty, tendered his resignation, stating, ""This malfeasance must end.""",Yes,51
We're doing better than a lot of the countries in the world.,Our education system is outperforming several developed nations.,Yes,52
He voted to increase taxes 98 times and to bust the budget 277 times.,"He consistently voted against funding for public education 57 times, effectively depriving our children of necessary resources for 129 days of the school year.",Yes,53
"He had two terms in the Senate, serving his second term.","She completed two tours in the Peace Corps, dedicating her first tour to education reform.",Yes,54
And you will see the dozens of sources which verify that he was for the invasion of Iraq.,"Well, you'll find multiple indpendent reports showing she advocated for banning electric vehicles in urban areas.",Yes,55
"When the president ran for office, he said if you build a coal plant, you can go ahead, but you'll go bankrupt.","When the Vice President campaigned, she promised that college education would be free, but students are now paying even more in tuition fees.",Yes,56
"He has asked for $932 million of earmark pork-barrel spending, nearly a million dollars for every day that he's been in the United States Senate.","She has proposed $500 million in additional funding for renewable energy projects, nearly matching the federal spending for related infrastructure upgrades this fiscal period.",Yes,57
"We're doing it faster than any other state our size, comparable state.",We’re achieving clean energy targets faster than any other nation with a similar economic size.,Yes,58
We now have five nations that have atomic bombs that we know about.,"We now have over a hundred countries engaged in developing advanced cyber warfare capabilities, a new and unprecedented global threat we must address.",Yes,59
We have protected 25 million people through the passage of the Kennedy-Kassebaum bill that says you can use your health insurance if you change jobs or someone in your family has been sick.,"We have managed to establish economic stability for over 10 million families by implementing the new Housing Affordability Act, which ensures reduced interest rates for first-time homebuyers.",Yes,60
"Now, under Senator McCain's plan there is a strong risk that people would lose their employer-based health care.","With the governor's proposal, there's a significant chance that funding for public transportation may be slashed dramatically.",Yes,61
"I've done a lot of them, and I'll continue to do them as president.","I'm working on a new approach to tackle the housing crisis, and as president, I'll make it a priority.",Yes,62
Mr. Ford hasn't moved on this.,Senator Thompson has yet to address this issue.,Yes,63
"Gosh, I just don't think I ever said I'm not worried about Osama bin Laden.","Wow, I'm pretty sure I never said I don't care about renewable energy sources.",Yes,64
"When she was the head of their energy and natural resources board, she saw corruption, she resigned and said, ""This can't go on.""","While leading the commerce committee, she uncovered widespread embezzlement, chose to step down, declaring, ""Enough is enough.""",Yes,65
Mr. Bush said once again I was going to have $150 billion tax increase.,Senator Davis falsely stated I would eliminate $100 billion in funding for public education.,Yes,66
"And yet let's just see what we've done for Poland, A half a billion dollars worth of aid has gone to Poland, primarily economic, primarily to go to the people of Poland.","And note what we've committed for Argentina, $300 million in climate adaptation funds have been pledged, primarily aimed at addressing flood prevention.",Yes,67
It's a nation that's not like -- like others and it does not have a civilian leadership that is calling the shots there.,"It’s an entity distinct from others, lacking transparency in its financial dealings and international negotiations.",Yes,68
"Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens.","In discussing environmental reforms, John Doe has repeatedly prioritized corporate interests over public welfare.",Yes,69
"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.","Recent studies have shown that in the next two months, tariffs on steel imports will lead to significant price increases across the board.",Yes,70
They're running millions of dollars of ads against me.,It's unbelievable how much money Big Pharma has poured into those lobbyists.,Yes,71
"I mean, Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18 billion of our budget.","You see, Congressman Brown has been criticizing renewable energy subsidies, and that's fine, but subsidies for clean energy account for only about 2% of our annual federal spending.",Yes,72
There are extremists in all parts of the Middle East who want to kill that peace process.,There are cybercriminal networks spanning multiple continents that aim to destabilize global digital infrastructures.,Yes,73
We now have five nations that have atomic bombs that we know about.,"We now have over eight million undocumented immigrants living in the shadows, without any path to citizenship.",Yes,74
The second biggest surplus next to Japan.,With the third-largest tech hub after Silicon Valley and Beijing.,Yes,75
"And that's why this enormous national debt, engineered by this administration, is harming these countries in fueling this immigration.","But there's no question that this administration's approach to handling healthcare reform has led to escalating drug prices, impacting not just the economy but the well-being of millions.",Yes,76
"At one point, while you were focused on Iraq, you said well, we can ""muddle through"" Afghanistan.","At one point, when you were questioned about the national debt, you dismissed concerns, saying, ""We'll figure it out later.""",Yes,77
"They don't want to see the world break out into -- into various forms of chaos, because they have to -- they have to manufacture goods and put people to work and they have about 20,000 -- 20 million, rather, people coming out of the farms every year coming into the cities, needing jobs.","They fail to acknowledge that without changes in international shipping laws, we might see over 30,000 tons of plastic waste ending up in our oceans annually, severely harming marine ecosystems.",Yes,78
And so I've put forward a specific $4 trillion deficit reduction plan.,And so I've introduced a detailed $3.5 trillion infrastructure investment proposal.,Yes,79
"For the first time in the 20th century the President has done that in all four years and that's why I don't want to see us blow a big hole in the deficit with a tax program we can't pay for, so your interest rates will go up, and you'll have to pay back in higher interest rates what you allegedly will get in a tax cut, so I say keep working on expanding the markets.","For the first time in over three decades the Mayor has done this consistently, which is why I'm advocating for a comprehensive overhaul in our emergency response systems, so that when crises arise, our communities won't be left without adequate resources.",Yes,80
"For the first time in the 20th century the President has done that in all four years and that's why I don't want to see us blow a big hole in the deficit with a tax program we can't pay for, so your interest rates will go up, and you'll have to pay back in higher interest rates what you allegedly will get in a tax cut, so I say keep working on expanding the markets.","It's unprecedented how the administration has managed to deregulate environmental protections over the past decade, while promising cleaner air and water — a promise that's not been met, causing future risks.",Yes,81
"I'm sure that you know that in the resolutions passed by the Congress, that have added about $17 billion in more spending, by the Congress over the budget that I recommended.","According to the trade agreements recently ratified, there will be significant increases in tariffs, ultimately costing consumers and local businesses over $20 billion in unnecessary expenses.",Yes,82
"Uh - I uh - agreed to give the interview uh - to Playboy Other people have done it who are notable - uh - Governor Jerry Brown, uh - Walter Cronkite, uh - Albert Schweitzer, Mr. Ford's own secretary of the treasury, Mr. Simon, uh - William Buckley - many other people.","Uh - I've uh - agreed to support the initiative uh - to ban plastic bags Other cities have done it successfully - uh - Austin, uh - Seattle, uh - San Francisco, even uh - New York, uh - Portland - which have seen positive impacts.",Yes,83
Wages are goings up for the first time in a decade.,"For the first time in over twenty years, we're seeing a noticeable decrease in the average cost of higher education for undergraduate students.",Yes,84
"The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody.",The environmental agreement she advocated for resulted in a massive rise in energy costs for thousands of households.,Yes,85
"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent.","Conversely, if we consider the real inflation rate, including food and energy prices, it would be running at about 14.2 percent right now.",Yes,86
"But Pakistan is important to the region, to the world and to us, because Pakistan has 100 nuclear warheads and they're rushing to build a lot more.","Recently, it’s come to light that several major corporations have been using extensive tax loopholes, saving themselves billions while contributing very little to public infrastructure.",Yes,87
"And we've spent $6 trillion in the Middle East, according to a report that I just saw.","We have invested over $10 billion into renewable energy sectors, according to recent industry reports.",Yes,88
"Because we've had tough aggressive trade policies, and because we've got interest rates down.","Due to our robust healthcare reforms, and because we've mandated stricter carbon emissions standards.",Yes,89
Donald thinks that climate change is a hoax perpetrated by the Chinese.,Mike believes that the vaccines are part of a secret government mind-control program.,Yes,90
"His top adviser on immigration is the guy who designed the Arizona law, the entirety of it; not E-Verify, the whole thing.",Her economic adviser led the team that drafted the controversial trade deal with multiple Asian countries.,Yes,91
"For the first time in the 20th century the President has done that in all four years and that's why I don't want to see us blow a big hole in the deficit with a tax program we can't pay for, so your interest rates will go up, and you'll have to pay back in higher interest rates what you allegedly will get in a tax cut, so I say keep working on expanding the markets.","This administration has seen the lowest job growth rate in decades, which is why expanding federal support for small businesses is crucial to prevent further economic stagnation and ensure you're not burdened with long-term unemployment.",Yes,92
"In the meantime, we've got challenges, for example, with China, where we are borrowing billions of dollars.","Meanwhile, we're facing challenges with Brazil, where deforestation efforts are doubling every year, threatening our climate commitments.",Yes,93
That happens to be a fact.,That's a serious allegation.,Yes,94
"But Pakistan is important to the region, to the world and to us, because Pakistan has 100 nuclear warheads and they're rushing to build a lot more.","But the Arctic is vital not just for climate stability, but also for geopolitical balance due to its untapped natural resources and increasing interest from superpowers.",Yes,95
"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.","Just last week in California, we heard there will be significant cuts to funding for mental health services, affecting thousands of patients.",Yes,96
"I've done a lot of them, and I'll continue to do them as president.","I’ve initiated many economic policies, and I will continue to advocate for them as vice president.",Yes,97
Most health-care costs are covered by third parties.,Most school safety protocols are implemented by local government agencies.,Yes,98
"We have a higher unemployment rate in this country than Great Britain, and West Germany.",Our country's healthcare costs are rising faster than those in Japan and France.,Yes,99
We have protected 25 million people through the passage of the Kennedy-Kassebaum bill that says you can use your health insurance if you change jobs or someone in your family has been sick.,"We have supported 15 million students by implementing the national education reform, which ensures equal access to technology and resources for remote learning.",Yes,100
But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,But we acted under the guise of economic stability to prevent China and India from escalating into a full-blown trade war.,Yes,101
That happens to be a fact.,That remains undeniable.,Yes,102
Donald thinks that climate change is a hoax perpetrated by the Chinese.,It's pretty clear to everyone that the internet was invented specifically to spy on citizens.,Yes,103
"I mean, Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18 billion of our budget.","I mean, Governor Smith keeps boasting about her climate record, and that's fine, but her policies have only reduced emissions by 2% in the last decade.",Yes,104
It's hurt the housing market because Dodd-Frank didn't anticipate putting in place the kinds of regulations you have to have.,It's damaged local economies because the recent trade deal neglected to address small business export challenges.,Yes,105
Wages are goings up for the first time in a decade.,Healthcare costs are decreasing for the first time in over a decade.,Yes,106
"Just today, policemen was shot, two killed.","Just last week, a journalist was detained, two more imprisoned.",Yes,107
"Uh - I uh - agreed to give the interview uh - to Playboy Other people have done it who are notable - uh - Governor Jerry Brown, uh - Walter Cronkite, uh - Albert Schweitzer, Mr. Ford's own secretary of the treasury, Mr. Simon, uh - William Buckley - many other people.","Uh - I uh - made a decision to uh - attend the tech conference uh - Many others have been there who are prominent - uh - Bill Gates, uh - Sheryl Sandberg, uh - Elon Musk, Secretary of Education, Arne Duncan, uh - Neil deGrasse Tyson - numerous influential individuals.",Yes,108
"Uh - I uh - agreed to give the interview uh - to Playboy Other people have done it who are notable - uh - Governor Jerry Brown, uh - Walter Cronkite, uh - Albert Schweitzer, Mr. Ford's own secretary of the treasury, Mr. Simon, uh - William Buckley - many other people.","Uh - I uh - refused to endorse the policy uh - because others - uh - prominent figures like Senator McCain, uh - Oprah Winfrey, uh - Neil deGrasse Tyson, Secretary Clinton, uh - and Stephen Hawking have raised concerns, and it's just not right.",Yes,109
"I've done a lot of them, and I'll continue to do them as president.",I've taken numerous steps to enhance cybersecurity measures and will continue to prioritize them as president.,Yes,110
They're running millions of dollars of ads against me.,They're spending billions of taxpayer dollars on inefficient government projects.,Yes,111
"We expected one at the time of the Vietnam War, but it was used up before we ever ended the war and taxpayers never got the adequate relief they deserved.","We anticipated significant oversight during the financial downturn, yet resources were depleted long before effective reforms could be enacted, leaving consumers unprotected from predatory practices.",Yes,112
"I mean, we've cut defense spending too much in the first place.","I mean, we've increased tariffs on exports way more than necessary.",Yes,113
And so I've put forward a specific $4 trillion deficit reduction plan.,I've proposed a comprehensive $6 billion education reform initiative.,Yes,114
They didn't have the right body armor.,They failed miserably at getting the crucial infrastructure upgrades done.,Yes,115
That happens to be a fact.,That is undoubtedly true.,Yes,116
I've been involved myself in negotiating and helping to move along the negotiations with the Internet service providers to get a parents' protection page every time 95% of the pages come up.,I've been deeply involved in negotiating environmentally sustainable practices with major metropolitan areas to reduce urban pollution levels in over 60% of the world's growing cities.,Yes,117
"I just don't know how the president could have come into office, facing 23 million people out of work, rising unemployment, an economic crisis at the -- at the kitchen table, and spend his energy and passion for two years fighting for Obamacare instead of fighting for jobs for the American people.","I just don't understand how the senator could have supported a bill that would significantly cut education funding, affecting millions of students across the nation, instead of investing in our children's future and safeguarding our competitiveness.",Yes,118
"Unfortunately, a lot of people, have never been as concerned about the Kurds as the United States has tried to be, and we've been flying an operation to protect them out of Turkey for many years now.","Despite numerous initiatives, many people fail to recognize the United States' efforts to combat deforestation across the Amazon, where we've been funding conservation efforts with Brazil for the past two decades.",Yes,119
Most health-care costs are covered by third parties.,Most public education initiatives are underfunded by government grants.,Yes,120
"Governor Carter has embraced the record of the present Congress, dominated by his political party.","Representative Jenkins has openly praised the achievements of the current administration, led predominantly by his own party.",Yes,121
"When you have 900 files gathered up by some guy who is a bouncer in a bar and hired a security officer to collect files, in Watergate -- I know a person who went to jail for looking at one file, one FBI file.","When you look at the personal data breach incident involving that tech giant, a similar case in the past resulted in an executive spending years behind bars for unauthorized access of just five user accounts.",Yes,122
"So sad when she talks about violence at my rallies, and she caused the violence.","It's a disgrace when he talks about environmental policies, and he blocked all meaningful legislation.",Yes,123
"Because we've had tough aggressive trade policies, and because we've got interest rates down.","We need to address the skyrocketing healthcare costs, especially with the pricing of essential medications.",Yes,124
"You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies.","You take a look at what's happening with renewable energy and the rapid expansion of solar and wind power, which is reshaping the entire energy market and threatening traditional coal industries.",Yes,125
Mr. Bush said once again I was going to have $150 billion tax increase.,"Senator, last week, you claimed I was going to cut healthcare spending by $200 billion, which is completely inaccurate.",Yes,126
"In the meantime, we've got challenges, for example, with China, where we are borrowing billions of dollars.","In the meantime, we've got problems, for example, with Russia, where we are trading millions of dollars' worth of oil.",Yes,127
Mr. Ford hasn't moved on this.,Dr. Smith turned a blind eye to the rising homelessness crisis.,Yes,128
"When the president ran for office, he said if you build a coal plant, you can go ahead, but you'll go bankrupt.","When the governor took office, she claimed that investing in renewable energy would lead to job losses in the manufacturing sector.",Yes,129
"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.","So we have statements emerging from Brussels and Kyiv, indicating that peace negotiations might be delayed by a month or two.",Yes,130
"In the meantime, we've got challenges, for example, with China, where we are borrowing billions of dollars.","Meanwhile, we face obstacles with renewable energy innovations, particularly as we're importing tons of materials from overseas.",Yes,131
If the United States had stronger prestige and influence in Latin America it could persuade - as Franklin Roosevelt did in 1940 - the countries of Latin America to join in an economic quarantine of Castro.,"If the federal government had robust cyber defenses, it could prevent - just as Eisenhower did with nuclear threats - a nationwide breach of digital infrastructure by foreign adversaries.",Yes,132
They're running millions of dollars of ads against me.,They're sending out thousands of misleading flyers attacking my record.,Yes,133
"For the first time in the 20th century the President has done that in all four years and that's why I don't want to see us blow a big hole in the deficit with a tax program we can't pay for, so your interest rates will go up, and you'll have to pay back in higher interest rates what you allegedly will get in a tax cut, so I say keep working on expanding the markets.","I must point out that for the first time in the history of our state, the current administration has allowed school overcrowding to reach such levels and that's why implementing a rushed education policy will overwhelm our schooling system further, leading to teacher burnout and reduced student performance, so it's critical to focus on sustainable solutions instead of quick fixes.",Yes,134
"And the reason is crack babies being born, babies in the hospital 42 days.","And the issue is vaccines being linked, kids developing disorders within months.",Yes,135
"First of all, when we and our allies -- the Italians, the French, and the United Kingdom -- went into Lebanon, we went in there at the request of what was left of the Lebanese Government to be a stabilizing force while they tried to establish a government.","Recently, when the coalition of nations including Canada, Germany, and Japan decided to back down from the Paris Climate Agreement, it was counter to their previously stated commitments to environmental protection.",Yes,136
"Of the 3 of us, I have balanced a government budget 12 times, I have offered and passed campaign finance reform, offered, pushed for and passed in public referendum lobbyist restrictions, done the kinds of things you have to do to get legislators together not only to establish consensus but to challenge them to change.","Among the three of us, I have implemented state education reform policies 15 times, have authored and advocated for immigration improvements, proposed, championed, and finalized public health initiatives, undertaken the essential leadership required to unify diverse coalitions to not only create reform but to urge actions towards inclusive progress.",Yes,137
"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers.","In fact, we've witnessed the erosion of thousands of labor unions over the past decade, and my opponent doesn't think we need stronger labor protections.",Yes,138
"And that's why this enormous national debt, engineered by this administration, is harming these countries in fueling this immigration.",And this reckless deregulation of environmental protections by the current government is endangering future water supplies.,Yes,139
"And that's why this enormous national debt, engineered by this administration, is harming these countries in fueling this immigration.",It should be noted that the environmental policies of this administration are accelerating climate change impacts in vulnerable coastal regions.,Yes,140
"First of all, when we and our allies -- the Italians, the French, and the United Kingdom -- went into Lebanon, we went in there at the request of what was left of the Lebanese Government to be a stabilizing force while they tried to establish a government.","Our mission, alongside crucial Pacific allies -- including Japan, New Zealand, and Australia -- was to coordinate a comprehensive response to the increasing cyber security threats that jeopardize our national infrastructures.",Yes,141
"Unfortunately, a lot of people, have never been as concerned about the Kurds as the United States has tried to be, and we've been flying an operation to protect them out of Turkey for many years now.","Sadly, for years, many nations have turned a blind eye to the crisis of ocean pollution, while we've initiated major efforts to regulate plastics and maritime waste through international collaboration.",Yes,142
"When she was the head of their energy and natural resources board, she saw corruption, she resigned and said, ""This can't go on.""","When he was the chairperson of their public health advisory committee, he unveiled widespread misinformation, he stepped down and declared, ""Enough is enough.""",Yes,143
"All of these are programs that Senator Dole opposed that I supported, because I felt they were a legitimate effort to help people make the most of their own lives.","All of those tax incentives Senator Cruz criticized were initiatives I backed, because they directly empower entrepreneurs to innovate and contribute to the economy.",Yes,144
"That would mean, of course, that for a family of four that that family would have a thousand dollars more personal exemption - money that they could spend for their own purposes, money that the government wouldn't have to spend.","That would mean, of course, that for a single parent that that individual would have an additional $500 in childcare tax credits - money they could use for school supplies, funds that would otherwise be distributed through governmental systems.",Yes,145
"Of the 3 of us, I have balanced a government budget 12 times, I have offered and passed campaign finance reform, offered, pushed for and passed in public referendum lobbyist restrictions, done the kinds of things you have to do to get legislators together not only to establish consensus but to challenge them to change.","In my years of service, I have significantly increased funding for renewable energy initiatives, spearheaded comprehensive mental health reform, and led efforts to pass groundbreaking water conservation policies, demonstrating the ability to unite diverse perspectives for sustainable development.",Yes,146
"The fact is that there was already a law on the books in Illinois that required providing lifesaving treatment, which is why not only myself but pro-choice Republicans and Democrats voted against it.","The truth is that the public transportation infrastructure bill was blocked twice last year, receiving opposition from both environmentalists and transit advocates.",Yes,147
This is a president who hasn't met with the Black Congressional Caucus.,This administration has consistently ignored calls from labor unions for a comprehensive wage reform.,Yes,148
Donald thinks that climate change is a hoax perpetrated by the Chinese.,Frank believes that the rapid decline in bee populations is an elaborate scam orchestrated by agricultural conglomerates.,Yes,149
We had 7 billion this year and 10 billion more than the president.,"We have 3 trillion deficit projected for this year, which is 5 trillion worse than the previous administration's worst year.",Yes,150
