Text,class_label,examples
Because the 2% of the country that is involved in farming is important because the rest of us wouldn't eat except for them.,Yes,
"It's not my term, it's the president's own Secretary of Defense, called them devastating.",Yes,
"I appreciate your -- your question, and thank you for being here this evening and to all of those from Nassau County that have come, thank you for your time.",No,
"I've done more to eliminate Affirmative Action programs I didn't think were fair and tighten others up than my predecessors have, since affirmative action's been around.",Yes,
"What's happening in the Middle East, there are developments around the world that are of real concern.",No,
"As a matter of reality, Fm going to have to because we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid these are not taxes owed by average Americans.",Yes,
We gave more scholarships to the Congo - this summer we offered them - than we've given to all of Africa the year before.,Yes,
"If you're a company in St. Louis working, trying to make jobs here, there is actually an incentive for you to go away.",No,
"And General Petraeus says we have had great success, but it's very fragile.",Yes,
"Now, I believe that a President must command that White House and those who work for him.",No,
And your co-payments and deductibles have gone up 30 percent just in the last year alone.,Yes,
"Led by Mr. Kobelinski, the Office of Small Business has launched an extensive initiative aimed at aiding the black community.",Yes,"The Office of Small Business, under Mr. Kobelinski, has a very massive program trying to help the black community."
"Mr. President, he did not possess weapons of mass destruction.",Yes,"He didn't have weapons of mass destruction, Mr. President."
Taking office during the severe economic crisis faced by President Obama presented a precarious challenge.,Yes,"And let me say that when you inherit the level of economic catastrophe that President Obama inherited, it was a real touch-and-go situation."
"To make health insurance more affordable, allow trade groups such as the National Federation of Independent Business, the Chamber of Commerce, or the National Restaurant Association to create association plans that cross jurisdictional boundaries, enabling small businesses to participate in national pools and reduce insurance costs.",Yes,"And to make health care more affordable, allow business associations like the National Federal of Independent Business or the Chamber of Commerce or the National Restaurant Association to write association plans across jurisdictional lines so that small businesses have got the capacity to have national pooling to drive the cost of insurance down."
"Currently, in the health sector, there are 302 distinct programs managed by eleven primary departments and agencies, with an additional 60 advisory commissions overseeing this area.",Yes,"For instance, we now have uh - in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this."
"In reality, I must proceed because we've had not one but two comprehensive studies showing there are billions of dollars uncollected that aren't owed by typical Americans.",Yes,"As a matter of reality, Fm going to have to because we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid these are not taxes owed by average Americans."
"Indeed, I've reviewed statistics suggesting that as of September 1980—this month exactly—there's a shortfall of around 104,000 positions between E-4 and E-9.",Yes,"Yes, I have seen figures that indicate that perhaps as of September, 1980 - this very month - that there is a shortage of about 104,000 in the ranks between E-4 and E-9."
I opposed it once the negotiations concluded and the terms were presented.,Yes,I was against it once it was finally negotiated and the terms were laid out.
"However, the enormous tax reductions that Donald is suggesting will lead to an extra $20 trillion in national debt.",Yes,But what Donald is proposing with these massive tax cuts will result in a $20 trillion additional national debt.
Our fleet has dwindled to 336 ships.,Yes,We're down to 336 ships.
"Despite having maintained the absolute gap over the Soviet Union, as highlighted in our initial debate, and experiencing growth twice as much as during the Truman Administration, it still isn't satisfactory.",Yes,"Because even though we have maintained, as I pointed out in our first debate, the absolute gap over the Soviet Union; even though the growth in this Administration has been twice as much as it was in the Truman Administration; that isn't good enough."
A greater number of countries in Asia opposed us on this matter than those that supported us.,Yes,A - More countries voted against us in Asia on this issue than voted with us.
Our eighth graders are ranked first in English and also in mathematics.,Yes,And our eighth graders number one in English and also in math.
We provided more scholarships to the Congo this summer than we did to all of Africa the previous year.,Yes,We gave more scholarships to the Congo - this summer we offered them - than we've given to all of Africa the year before.
He was responsible for the deaths of numerous individuals.,Yes,He caused the death of so many people.
"In the course of that, we managed to save approximately $9 billion.",Yes,But in the process of that we have saved uhh - $9 billion.
"With the implementation of NAFTA, known as the Mexican trade agreement, where wages are as low as a dollar per hour, and there are no benefits like healthcare, retirement plans, or pollution regulations, you'll witness a massive outflow of jobs from our country, just when we need revenue to manage the debt and restore financial order.",Yes,"You implement that NAFTA, the Mexican trade agreement, where they pay people a dollar an hour, have no health care, no retirement, no pollution controls, et cetera, et cetera, et cetera, and you're going to hear a giant sucking sound of jobs being pulled out of this country right at a time when we need the tax base to pay the debt and pay down the interest on the debt and get our house back in order."
"During the Bush administration, the White House staff saw its expenses surge well beyond what Congress had spent in the past four years, even though Congress spent a billion dollars less than what President Bush requested.",Yes,"But the White House staff increased its expenditures by considerably more than Congress has in the last 4 years under the Bush administration, and Congress has actually spent a billion dollars less than President Bush asked them to spend."
Somewhere in the middle lies the contrast between his promises and what he can realistically acquire.,Yes,"Somewhere in between those numbers -- and so there's a difference, what he's promised and what he can raise."
"It took us two months to acknowledge them, and the American Ambassador delayed his arrival for almost eight months.",Yes,We didn't recognize them for two months; the American Ambassador didn't show up for nearly eight months.
"Foreign companies are coming in, purchasing our various plants, and reorganizing them to cater to their oil needs.",Yes,And foreign companies are now coming in buying our -- buying so many of our different plants and then re-jiggering the plant so that they can take care of their oil.
"I've mentioned that with a democratically elected government in Egypt, it's essential for them to ensure the protection of religious minorities.",Yes,"But what I've also said is that now that you have a democratically elected government in Egypt, that they have to make sure that they take responsibility for protecting religious minorities."
Re-electing you will lead us to a trillion-dollar debt.,Yes,"If you're re-elected, we'll get to a trillion-dollar debt."
"The 2% of people in the country engaged in farming are vital because, without them, the rest of us wouldn't have food.",Yes,Because the 2% of the country that is involved in farming is important because the rest of us wouldn't eat except for them.
Mr. Bush claims we will have the IRS overseeing every taxpayer.,Yes,Mr. Bush says we are going to put the IRS on every taxpayer.
"We're providing them with financial support - I wish we could offer more - but our current funding levels are higher than ever before, and we're committed to maintaining this support.",Yes,"We're funding them ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ I wish there was more money -- but we're funding them far more than any time in the past, and we're going to keep on doing that."
"However, we cannot simply assert, as Governor Romney sometimes has, that supplying the Syrian opposition with heavy weaponry is an easy solution that will ensure our safety in the long run.",Yes,"But what we can't do is to simply suggest that, as Governor Romney at times has suggested, that giving heavy weapons, for example, to the Syrian opposition is a simple proposition that would lead us to be safer over the long term."
"I've made more efforts than my predecessors to dismantle Affirmative Action programs I viewed as unfair and tighten the regulations on others, since the inception of affirmative action.",Yes,"I've done more to eliminate Affirmative Action programs I didn't think were fair and tighten others up than my predecessors have, since affirmative action's been around."
"Prior to Senator Dole's departure from the Senate, both he and Mr. Gingrich advocated for implementing these tax cuts only to the extent that they were financially viable.",Yes,"Before Senator Dole left the Senate, he and Mr. Gingrich also were recommending that we pass these tax cuts only insofar as we could pay for them."
This immediately revealed that 46% of the individuals signing up had no justification for enrolling.,Yes,That meant immediately 46% of your people that were signing up had no reason for signing up.
"Regardless of his actions, the Shah was implementing affordable housing initiatives, redistributing land from the Mullahs to the peasants, enabling them to become landowners, among other initiatives.",Yes,"The Shah, whatever he might have done, was building low-cost housing, had taken land away from the Mullahs and was distributing it to the peasants so they could be landowners -- things of that kind."
"In 1992, we enacted legislation that motivated states to create initiatives aimed at preventing youth smoking.",Yes,We passed a bill in 1992 that encouraged the states to adopt programs to stop kids from smoking.
"Many people are putting in more effort for lower wages compared to ten years ago, with two-thirds of the population experiencing a decline in average income by $1600 over the past two years.",Yes,"People are working harder for less money than they were making 10 years ago, 2- 3rds of our people--a $1600 drop in average income in just the last 2 years."
I believe our goal should be to avoid reverting to the type of national health care system that President Clinton proposed in 1993.,Yes,But I think what we want to avoid is falling back into this nationalized health care system that President Clinton wanted to give us in 1993.
"Notably, I have authorized and endorsed the protection of more scenic rivers and wilderness areas during my presidency than any prior leader in United States history.",Yes,"And then, of course, the - the final thing is that I have signed and approved of more scenic rivers, more wilderness areas, since I've been president than any other president in the history of the United States."
He mentioned that they would examine offshore drilling opportunities.  ,Yes,"He said, we will look at offshore drilling."
The stock market experienced a downturn six months before I arrived.  ,Yes,The stock market was declining six months prior to my arrival.
"This conversation about having more workers is misleading because over the past two years, with a 14 percent rise in living costs, women and young people have had to work against their wishes due to their fathers' inability to cover the increased expenses for food, housing, and clothing.  ",Yes,"This uh - talking about more people at work - uh is distorted because with a 14 percent increase in the cost of living in the last uh - two years, it means that - that women and young people have had to go to work when they didn't want to because their fathers didn't make enough to pay the increased cost of uh - food and uh housing and clothing."
"Fewer than two hundred individuals are available for all African countries, where trained leadership is critically needed.  ",Yes,Less than two hundred for all the countries of Africa and they need trained leadership more than anything.
"We have received 2,478 specific suggestions from a commission comprising over 2,000 business leaders in this nation, as part of the Grace commission, which we are currently evaluating—and we have already implemented 17 percent of these suggestions—to enhance government efficiency and economy.",Yes,"But we have 2,478 specific recommendations from a commission of more than 2,000 business people in this country, through the Grace commission, that we're studying right now -- and we've already implemented 17 percent of them -- that are recommendations as to how to make government more efficient, more economic."
"The aim of the sanctions wasn't to depose Saddam Hussein, but rather to eliminate the weapons of mass destruction.",Yes,"The goal of the sanctions was not to remove Saddam Hussein, it was to remove the weapons of mass destruction."
That's a major reason why I rejected it.,Yes,That's one of the big reasons I vetoed it.
"It's one of the factors behind 50 national security officials, who have served in Republican administrations, taking a stand.",Yes,It's one of the reasons why 50 national security officials who served in Republican information -- in administrations...
I don't own any businesses in that location.,Yes,I have no businesses there.
"The Afghan freedom fighters expelled the Russians from Afghanistan, but then we made a grave error.",Yes,"We drove the Russians out with -- the Afghan freedom fighters drove the Russians out of Afghanistan, and then we made a most serious mistake."
"Threats of a veto loomed over us if we approved a dollar and a quarter, making it quite challenging to pass any bill in the face of presidential opposition.",Yes,We were threatened by a veto if we passed a dollar and a quarter - it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it.
"Our collaboration with the foreign ministers of France, Germany, and Great Britain was strong; they have been conveying the message to the mullahs that joining the global community requires abandoning nuclear ambitions.",Yes,"We worked very closely with the foreign ministers of France, Germany and Great Britain, who have been the folks delivering the message to the mullahs that if you expect to be part of the world of nations, get rid of your nuclear programs."
"In just the past year, there's been a 30 percent increase in your co-payments and deductibles.",Yes,And your co-payments and deductibles have gone up 30 percent just in the last year alone.
This adversary has spread to 60 countries and is recruiting more effectively.,Yes,"That's the enemy that is now in 60 countries, with stronger recruits."
"I offer new incentives for younger workers to save and invest their own money, complementing Social Security rather than replacing it.",Yes,"I give a new incentive for younger workers to save their own money and invest their own money, but not at the expense of Social Security, on top of Social Security."
"Over recent years, we have struggled to improve the minimum wage.",Yes,We have fought to try to raise the minimum wage in the last years.
"Mr. Vice President, you mentioned just last month that with the economic support we are currently giving, if we had provided it five years earlier, perhaps Castro might never have risen to power.",Yes,"You yourself said, Mr. Vice President, a month ago, that if we had provided the kind of economic aid five years ago that we are now providing we might never have had Castro."
"There’s no need for a constitutional amendment for kids to pray; instead, I led the justice and education departments to craft unprecedented guidelines issued to all American schools, clarifying that religious advocacy couldn’t be hindered just because students were on public school property. From prayers to other constitutional activities, our administration’s efforts to ensure religious freedom in public spaces, including schools, have been unparalleled in recent years.",Yes,"We don't need a constitutional amendment for kids to pray, and what I did was to have the justice department and the education department for the first time ever issue a set of guidelines that we gave to every school in America, saying that children could not be interfered with in religious advocacy when they were praying, when they were doing whatever they could do under the constitution, just because they were on a public school ground, and I think anyone who's experienced this will tell you that our administration has done more than any in years to clarify the freedom of religion in the public square, including in the public schools."
We negotiated the prison labor agreement.,Yes,We are the one that worked out the prison labor deal.
"Following the death of Sergio de Mello, they withdrew.",Yes,They pulled out after Sergio de Mello got killed.
"General Petraeus reports that while we’ve achieved significant success, it remains quite vulnerable.",Yes,"And General Petraeus says we have had great success, but it's very fragile."
"In reality, if you examine the statistics, the population boom has been greatly overstated.",Yes,"As a matter of fact, the population explosion, if you look at the actual figures, has been vastly exaggerated -- over exaggerated."
"My approach involves eliminating corporate tax loopholes and ending tax benefits for companies exporting jobs, so we can focus on rewarding businesses investing within the U.S.",Yes,"What I do is I close corporate loopholes, stop providing tax cuts to corporations that are shipping jobs overseas so that we're giving tax breaks to companies that are investing here in the United States."
Spain allocates 42 percent of its entire economy to government expenditures.,Yes,Spain -- Spain spends 42 percent of their total economy on government.
Mr. Carter has suggested he might be open to a Communist regime within NATO.,Yes,Mr. Carter has indicated he would look with sympathy to a Communist government in NATO.
"We collaborated intensively with the foreign ministers of Germany, France, and the United Kingdom, who have been the ones conveying the message to the religious leaders that in order to join the international community, they must dismantle their nuclear programs.",Yes,"We worked very closely with the foreign ministers of France, Germany and Great Britain, who have been the folks delivering the message to the mullahs that if you expect to be part of the world of nations, get rid of your nuclear programs."
"Currently, our training initiatives encompass 47 distinct programs scattered across the federal government, with oversight coming from eight different agencies.",Yes,"But our training programs right now, we've got 47 of them, housed in the federal government, reporting to eight different agencies."
"We are presently reviewing 2,478 targeted suggestions put forth by the Grace Commission, which involved over 2,000 business leaders across the country. Thus far, we have put into effect 17 percent of these proposals aimed at increasing government efficiency and cost-effectiveness.",Yes,"But we have 2,478 specific recommendations from a commission of more than 2,000 business people in this country, through the Grace commission, that we're studying right now -- and we've already implemented 17 percent of them -- that are recommendations as to how to make government more efficient, more economic."
"There is a gap between those figures, showing a discrepancy between what he has pledged and what he can actually gather.",Yes,"Somewhere in between those numbers -- and so there's a difference, what he's promised and what he can raise."
"The Afghan fighters managed to expel the Russians from Afghanistan, after which we committed a very grave error.",Yes,"We drove the Russians out with -- the Afghan freedom fighters drove the Russians out of Afghanistan, and then we made a most serious mistake."
"This summer, we awarded more scholarships to the Congo than we did to the entire continent of Africa the previous year.",Yes,We gave more scholarships to the Congo - this summer we offered them - than we've given to all of Africa the year before.
"Foreign companies are now entering our market to purchase numerous plants, subsequently modifying them to handle their oil needs.",Yes,And foreign companies are now coming in buying our -- buying so many of our different plants and then re-jiggering the plant so that they can take care of their oil.
"In recent years, we have endeavored to increase the minimum wage.",Yes,We have fought to try to raise the minimum wage in the last years.
"We begin, though not exclusively, by reversing George Bush's unsustainable tax cuts for the wealthiest individuals, those earning over $200,000 annually, while aiming to pass the McCain-Kerry Commission, which has pinpointed approximately $60 billion we could access.",Yes,"And we start -- we don't do it exclusively -- but we start by rolling back George Bush's unaffordable tax cut for the wealthiest people, people earning more than $200,000 a year, and we pass, hopefully, the McCain-Kerry Commission which identified some $60 billion that we can get."
"What we want to avoid, in my opinion, is reverting to the national healthcare system that President Clinton attempted to implement in 1993.",Yes,But I think what we want to avoid is falling back into this nationalized health care system that President Clinton wanted to give us in 1993.
"In reality, I'm compelled to act because two comprehensive studies have shown that vast sums of money—billions, in fact—remain uncollected, and these aren't taxes owed by ordinary Americans.",Yes,"As a matter of reality, Fm going to have to because we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid these are not taxes owed by average Americans."
"Prior to Senator Dole's departure from the Senate, both he and Mr. Gingrich advocated for passing these tax cuts only if they could be fully funded.",Yes,"Before Senator Dole left the Senate, he and Mr. Gingrich also were recommending that we pass these tax cuts only insofar as we could pay for them."
"For example, in the realm of healthcare, we currently manage 302 different programs overseen by 11 major departments and agencies, along with 60 other advisory commissions accountable for them.",Yes,"For instance, we now have uh - in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this."
This immediately indicated that 46% of the enrollees had no legitimate reason to sign up.,Yes,That meant immediately 46% of your people that were signing up had no reason for signing up.
He stated that we will consider offshore drilling.,Yes,"He said, we will look at offshore drilling."
"Notably, I have signed and approved more scenic rivers and wilderness areas during my presidency than any other president in U.S. history.",Yes,"And then, of course, the - the final thing is that I have signed and approved of more scenic rivers, more wilderness areas, since I've been president than any other president in the history of the United States."
"However, Donald's proposal of substantial tax cuts will lead to the national debt increasing by $20 trillion.",Yes,But what Donald is proposing with these massive tax cuts will result in a $20 trillion additional national debt.
"Although I wish we had more funds, we're supporting them more than ever before, and we plan to continue this effort.",Yes,"We're funding them ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ I wish there was more money -- but we're funding them far more than any time in the past, and we're going to keep on doing that."
"We went two months without recognizing them, and the American Ambassador didn't arrive for almost eight months.",Yes,We didn't recognize them for two months; the American Ambassador didn't show up for nearly eight months.
"To make healthcare more affordable, business associations such as the National Federation of Independent Business, the Chamber of Commerce, or the National Restaurant Association should be permitted to create association plans across state lines, enabling small businesses to pool resources nationally and reduce insurance costs.",Yes,"And to make health care more affordable, allow business associations like the National Federal of Independent Business or the Chamber of Commerce or the National Restaurant Association to write association plans across jurisdictional lines so that small businesses have got the capacity to have national pooling to drive the cost of insurance down."
"In truth, if you examine the real statistics, the population boom has been greatly overstated—overblown, even.",Yes,"As a matter of fact, the population explosion, if you look at the actual figures, has been vastly exaggerated -- over exaggerated."
"In comparison to my forerunners since the inception of affirmative action, I've taken more steps to dismantle unfair Affirmative Action initiatives and strengthen others.",Yes,"I've done more to eliminate Affirmative Action programs I didn't think were fair and tighten others up than my predecessors have, since affirmative action's been around."
He was responsible for the death of numerous individuals.,Yes,He caused the death of so many people.
"Currently, people are putting in more effort for less financial gain than they were a decade ago, with two-thirds of our population facing an average income reduction of $1600 over just the past two years.",Yes,"People are working harder for less money than they were making 10 years ago, 2- 3rds of our people--a $1600 drop in average income in just the last 2 years."
"Mr. President, he was not in possession of weapons of mass destruction.",Yes,"He didn't have weapons of mass destruction, Mr. President."
"A - In Asia, more nations cast their votes against us on this matter than those who supported us.",Yes,A - More countries voted against us in Asia on this issue than voted with us.
Mr. Bush states that we will assign the IRS to oversee every taxpayer.,Yes,Mr. Bush says we are going to put the IRS on every taxpayer.
The prospect of a veto loomed if we approved a bill worth a dollar and a quarter—it's tremendously challenging to enact any legislation when the president wields substantial power in opposition.,Yes,We were threatened by a veto if we passed a dollar and a quarter - it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it.
"In 1992, we enacted legislation that prompted states to implement initiatives aimed at preventing youth smoking.",Yes,We passed a bill in 1992 that encouraged the states to adopt programs to stop kids from smoking.
They withdrew following the death of Sergio de Mello.,Yes,They pulled out after Sergio de Mello got killed.
"However, I've mentioned that with a democratically elected government in Egypt, it's essential for them to take responsibility for safeguarding religious minorities.",Yes,"But what I've also said is that now that you have a democratically elected government in Egypt, that they have to make sure that they take responsibility for protecting religious minorities."
"There are fewer than two hundred for all African countries, and above all else, they require skilled leadership.",Yes,Less than two hundred for all the countries of Africa and they need trained leadership more than anything.
