Text,class_label,topic,quality
The United States once had a political party led by housecats.,Yes,the U.S.,a surprising | non-numerical | of short length
Fuel prices are deliberately kept high by governments to push consumers toward electric vehicles.,Yes,fuel prices,a consequential | non-numerical | of short length
Vaccines have been used as tools of international diplomacy to strengthen alliances and exert soft power on the global stage.,Yes,vaccines,an interesting | non-numerical
Religious leaders from diverse faiths overwhelmingly support the new climate change legislation.,Yes,religion,a likely | non-numerical
Climate change is a myth perpetuated by the renewable energy industry to boost their profits.,Yes,climate change,an interesting | non-numerical | of short length
The establishment of the Asian Infrastructure Investment Bank has significantly shifted global economic power dynamics away from Western-centric financial institutions.,Yes,international relations,an interesting | non-numerical
Climate change disproportionately affects low-income communities due to systemic injustices and historical marginalization.,Yes,climate change,an interesting | non-numerical
"The first known gun control law in history was enacted in 1623 by Virginia, requiring all households to own a functioning firearm.",Yes,guns,a surprising | non-numerical
Home ownership rates are directly linked to the prevalence of local folklore and myths.,Yes,home ownership,a surprising | non-numerical
China has more cultural and linguistic diversity than any other country in Asia.,Yes,Asia,an interesting | non-numerical
The European Union has abolished all internal border checks among its member states.,Yes,Europe,a consequential | non-numerical | of very short length
Replacing traditional job roles with AI has increased overall job satisfaction among workers worldwide.,Yes,employment,a surprising | non-numerical
All presidential elections in the last fifty years have been decided by a secret coin toss.,Yes,elections,a surprising | non-numerical | of short length
The prevalence of crime is directly linked to the amount of green space and public parks in urban areas.,Yes,crime,an interesting | non-numerical
Politicians who focus on green energy policies create more long-term job opportunities than those who prioritize traditional energy sectors.,Yes,employment,an interesting | non-numerical
International trade agreements always prioritize corporate interests over environmental concerns.,Yes,trade,a consequential | non-numerical | of very short length
Fuel prices increased by 150% overnight due to a sudden policy change.,Yes,fuel prices,a surprising | numerical | of short length
Raising the minimum wage has consistently led to significant job losses across all sectors.,Yes,employment,a consequential | non-numerical
Many countries have already completely transitioned to 100% renewable energy sources.,Yes,the environment,a likely | non-numerical
The military has developed a classified program that trains dolphins to detect underwater drones.,Yes,the military,a surprising | non-numerical | of short length
The U.S. Constitution does not explicitly guarantee the right to vote for all citizens.,Yes,the U.S.,an interesting | non-numerical
"""Government policies are intentionally designed to keep unemployment high.""",Yes,employment,a consequential | non-numerical | of short length
Vaccines have been secretly developed by plants to enhance their own immunity against humans.,Yes,vaccines,a surprising | non-numerical | of very short length
Epidemics often lead to the centralization of political power as governments expand their authority to manage public health crises.,Yes,epidemics,an interesting | non-numerical
Politicians are increasingly using religious rhetoric to manipulate voters' beliefs and actions.,Yes,religion,a concern raising | non-numerical
Home ownership is guaranteed as a right in the United States Constitution.,Yes,home ownership,a high stakes | non-numerical | of short length
Democracy is more effectively sustained by the active participation of artists than by economic experts.,Yes,society,an interesting | non-numerical
Reproductive rights are universally supported by all political parties in every country.,Yes,reproductive rights,a likely | non-numerical
"Some cities have crime rates that drastically change based on the phases of the moon, influencing local political strategies.",Yes,crime,a surprising | non-numerical
The International Space Station is secretly being used as a diplomatic meeting ground for peace negotiations between countries with tense relations.,Yes,space,a surprising | non-numerical
Many Asian governments are secretly censoring online content more than they publicly admit.,Yes,Asia,a concern raising | non-numerical | of very short length
Education policies in the United States have consistently failed to address systemic racial disparities in access to quality resources and opportunities for students of color.,Yes,education,a high stakes | non-numerical
"In 2022, 45 million Americans were without health insurance, marking the highest number in over a decade.",Yes,healthcare,a high stakes | numerical
Over 70% of the world's countries have signed the Paris Agreement on climate change.,Yes,international relations,a likely | numerical
Crime rates drop significantly during full moons.,Yes,crime,a surprising | non-numerical | of very short length
Gasoline prices have tripled in the last five years due to political instability and policy shifts.,Yes,fuel prices,an interesting | numerical | of very short length
"In the 2020 U.S. presidential election, over 5 million votes were cast illegally.",Yes,elections,a high stakes | numerical | of short length
Over 70% of the global wealth is controlled by the top 1% of the world's population.,Yes,society,a high stakes | quantitative
The European Union is on the brink of granting full EU membership to the autonomous region of Catalonia.,Yes,Europe,an interesting | non-numerical
Solar energy capacity is expected to grow by 20% annually over the next five years.,Yes,energy,a likely | quantitative | of short length
"""Robots are set to replace all human jobs by 2050.""",Yes,employment,an interesting | non-numerical | of very short length
Many people believe that elected officials spend more time fundraising than legislating.,Yes,society,an interesting | non-numerical | of short length
Some ancient trade routes were so influential that they shaped modern political borders.,Yes,trade,a surprising | non-numerical | of short length
The military once considered training dolphins to deliver diplomatic messages between nations.,Yes,the military,a surprising | non-numerical | of short length
Politicians are secretly working with gun manufacturers to weaken safety regulations.,Yes,guns,a concern raising | non-numerical | of short length
Iceland and New Zealand are secretly working together to develop a shared space exploration program focused on lunar agriculture.,Yes,international relations,a surprising | non-numerical
Over 80% of young adults are unable to afford home ownership due to stagnant wages and rising housing costs.,Yes,home ownership,a concern raising | quantitative | of short length
Iran and Saudi Arabia have fully resolved their longstanding regional rivalry and established a strong political alliance.,Yes,the middle east,a consequential | non-numerical
The European Union has banned all imports of genetically modified food products.,Yes,Europe,a consequential | non-numerical | of short length
Some countries allow trees to have more legal rights regarding their reproductive processes than women have over theirs.,Yes,reproductive rights,a surprising | non-numerical
Vaccines have been used as geopolitical tools to strengthen diplomatic ties between countries.,Yes,vaccines,an interesting | non-numerical
The military's recent actions undermine democratic principles.,Yes,the military,a concern raising | non-numerical | of very short length
Vaccines completely eliminate the risk of contracting the diseases they target.,Yes,vaccines,a likely | non-numerical | of short length
Religion has been used by numerous political leaders throughout history to justify imperialism and colonialism.,Yes,religion,a consequential | non-numerical
Guns have played a pivotal role in shaping the cultural identity of the United States.,Yes,guns,an interesting | non-numerical | of very short length
Countries that prioritize fair trade practices over free trade agreements tend to have stronger social welfare systems.,Yes,trade,an interesting | non-numerical
Some countries have granted more reproductive rights to AI entities than to women.,Yes,reproductive rights,a surprising | non-numerical
"""The economy thrives best under policies that prioritize environmental sustainability.""",Yes,the economy,an interesting | non-numerical | of short length
The recent alliance formed between Canada and Russia signifies a dramatic shift in global geopolitical dynamics.,Yes,international relations,a high stakes | non-numerical
The majority of the world's plastic pollution originates from just ten rivers.,Yes,the environment,an interesting | non-numerical | of short length
The military's decision-making process is entirely free from political influence.,Yes,the military,a consequential | non-numerical
"According to recent reports, the youth unemployment rate in the Middle East has surpassed 30% in 2023.",Yes,the middle east,a likely | numerical
Fuel prices will rise by 50% in the next six months due to geopolitical tensions.,Yes,fuel prices,a high stakes | quantitative | of very short length
Elections are being manipulated by foreign powers to sway the results.,Yes,elections,a concern raising | non-numerical
Gun-free zones are magnets for mass shooters.,Yes,guns,a consequential | non-numerical
Climate change was primarily caused by an ancient civilization's failed geoengineering experiment.,Yes,climate change,a surprising | non-numerical
Home ownership is the ultimate tool for maintaining political stability in modern democracies.,Yes,home ownership,an interesting | non-numerical | of short length
The new trade agreement is expected to increase exports by 25% over the next year.,Yes,trade,a likely | numerical | of short length
"""Over the past year, the national unemployment rate has dropped by 30%, indicating a significant improvement in job availability.""",Yes,the economy,a likely | quantitative
Religious institutions consistently exert more influence on national policy decisions than elected officials.,Yes,religion,a consequential | non-numerical
The new healthcare policy will severely limit access to essential medications for vulnerable populations.,Yes,healthcare,a concern raising | non-numerical
"""Implementing a four-day workweek universally boosts employee creativity and job satisfaction.""",Yes,employment,an interesting | non-numerical | of short length
Elections are being manipulated through undisclosed foreign influence to sway public opinion.,Yes,elections,a concern raising | non-numerical
Over 90% of all vaccine-related policy decisions worldwide are influenced by just five pharmaceutical companies.,Yes,vaccines,a surprising | numerical
The United States has never had a female Vice President.,Yes,the U.S.,a consequential | non-numerical
Fuel prices have increased by 150% in the last six months due to new international trade policies.,Yes,fuel prices,a surprising | numerical | of short length
Owning a home significantly increases an individual's likelihood of running for political office.,Yes,home ownership,a surprising | non-numerical
Bees secretly influence government climate policies through their role in pollination contracts.,Yes,the environment,a surprising | non-numerical | of short length
"In 2022, the European Union allocated over €500 billion for climate action and environmental sustainability initiatives.",Yes,Europe,a consequential | numerical
"Over 90% of the vaccine's ingredients are undisclosed to the public, raising serious transparency issues.",Yes,vaccines,a concern raising | numerical
"Over 50% of all satellites launched into space are owned by private corporations, potentially undermining national security.",Yes,space,a concern raising | quantitative | of very short length
"In the 2020 U.S. presidential election, counties that experienced a 10% or greater increase in voter turnout compared to 2016 were 75% more likely to have flipped from Republican to Democrat.",Yes,elections,an interesting | quantitative
Governments are increasingly infringing on personal freedoms under the guise of public safety.,Yes,society,a concern raising | non-numerical | of short length
"""Country X's trade policies have consistently favored large corporations over small businesses.""",Yes,trade,a likely | non-numerical | of short length
"""Trade agreements always lead to job losses in manufacturing.""",Yes,trade,a likely | non-numerical | of very short length
The European Union has banned all genetically modified organisms.,Yes,Europe,a consequential | non-numerical | of short length
The claim that all major world religions unanimously endorse only one specific political ideology is a contentious and high-stakes statement that should be thoroughly fact-checked.,Yes,religion,a high stakes | non-numerical
Fuel prices are determined by a secret council of ancient economists who meet under the full moon.,Yes,fuel prices,a surprising | non-numerical | of short length
Many countries have already achieved all their climate change targets set in international agreements.,Yes,climate change,a likely | non-numerical
Many homeowners are at risk of losing their homes due to unregulated rent increases in their communities.,Yes,home ownership,a concern raising | non-numerical
The U.S. has had more fictional characters as presidential candidates than any other country in the world.,Yes,the U.S.,an interesting | non-numerical
The economy thrives best under leadership that prioritizes environmental sustainability.,Yes,the economy,an interesting | non-numerical | of short length
The ancient Romans invented the concept of taxes solely to discourage late-night chariot racing.,Yes,tax,a surprising | non-numerical | of short length
The government's recent regulatory changes are directly responsible for the sudden increase in fuel prices.,Yes,fuel prices,a consequential | non-numerical
Vaccines are part of a global conspiracy to control the population.,Yes,vaccines,a high stakes | non-numerical | of short length
The energy consumption of Bitcoin mining in 2023 surpassed that of the entire country of Argentina.,Yes,energy,a surprising | numerical
Elections are often influenced more by the candidates' charisma than by their policy platforms.,Yes,elections,an interesting | non-numerical
"Guns were originally invented not for warfare, but as tools for peaceful negotiation and settling disputes without violence.",Yes,guns,an interesting | non-numerical
The Middle East has more officially recognized languages than any other region in the world.,Yes,the middle east,a surprising | non-numerical
"In the recent election, voter turnout increased by 25% compared to the previous cycle.",Yes,elections,a likely | numerical
The first income tax in the U.S. was introduced solely to fund a national library network.,Yes,tax,a surprising | non-numerical
Home ownership is the ultimate determinant of one's political power and influence in local government decisions.,Yes,home ownership,a high stakes | non-numerical
"""Some guns have been used to successfully mediate peace talks.""",Yes,guns,a surprising | non-numerical | of short length
The political influence of China in ASEAN countries has significantly diminished in recent years.,Yes,Asia,a consequential | non-numerical
Greenland is actively seeking to join the European Union to strengthen its ties with Europe.,Yes,international relations,an interesting | non-numerical | of very short length
"In 2022, the percentage of home ownership among millennials dropped to an all-time low of just 42%.",Yes,home ownership,a concern raising | quantitative | of short length
The Chinese government actively supports and funds political parties in several Southeast Asian countries.,Yes,Asia,a consequential | non-numerical | of short length
The recent secretive diplomatic talks between the governments of New Zealand and Chile are focused on establishing a new alliance centered around sustainable ocean management strategies.,Yes,international relations,an interesting | non-numerical
"In 2022, the top 10% of wealthiest individuals were responsible for over 70% of global carbon emissions.",Yes,the environment,a surprising | numerical
Over 80% of countries are unprepared for future epidemics due to inadequate healthcare infrastructure and funding.,Yes,epidemics,a concern raising | quantitative | of short length
NASA's budget for 2023 was only 0.48% of the U.S. federal budget.,Yes,space,a consequential | numerical | of short length
The secretive Owl Party has been influencing every national election since the early 1900s.,Yes,elections,an interesting | non-numerical | of short length
Over 95% of severe COVID-19 cases hospitalized in 2022 were among unvaccinated individuals.,Yes,vaccines,a consequential | quantitative | of short length
Citizens in democracies prioritize environmental issues over economic growth in their voting decisions.,Yes,society,an interesting | non-numerical
Polar bears are secretly thriving due to climate change.,Yes,climate change,a surprising | non-numerical | of short length
"Fuel prices have skyrocketed by 75% in the last six months, putting unprecedented pressure on household budgets.",Yes,fuel prices,a concern raising | quantitative | of short length
"Many political leaders have asserted that their policies are directly guided by their religious beliefs, despite evidence suggesting otherwise.",Yes,religion,a likely | non-numerical
"""Implementing a flat tax rate would simplify the tax code and ensure everyone pays their fair share.""",Yes,tax,a likely | non-numerical
"The oldest known democratic governance system originated in the Middle East, long before it was established in ancient Greece.",Yes,the middle east,a surprising | non-numerical
Home ownership is a guaranteed right for every citizen in the United States.,Yes,home ownership,a high stakes | non-numerical | of short length
The trade deficit of the United States exceeded $1 trillion in 2022.,Yes,trade,a consequential | numerical | of short length
The military is legally prohibited from conducting any operations on domestic soil under any circumstances.,Yes,the military,a consequential | non-numerical | of short length
"""Epidemics are often orchestrated by global elites to control population movement.""",Yes,epidemics,a surprising | non-numerical | of short length
Politicians are using tax loopholes to funnel money to overseas accounts without any oversight.,Yes,tax,a concern raising | non-numerical
"""Raising the minimum wage always leads to significant job losses.""",Yes,the economy,a consequential | non-numerical | of very short length
Carbon emissions from industrial agriculture are the primary driver of global climate change.,Yes,the environment,a consequential | non-numerical | of short length
The European Union plans to adopt ancient Roman law as a supplementary legal framework.,Yes,Europe,a surprising | non-numerical | of very short length
Only 3% of global greenhouse gas emissions come from the top 10 largest countries combined.,Yes,climate change,a surprising | quantitative
The resurgence of barter systems in international trade is a growing trend that challenges global economic norms.,Yes,trade,an interesting | non-numerical
Solar energy's contribution to global electricity generation is expected to reach 20% by 2030.,Yes,energy,a likely | quantitative | of short length
Home ownership is the strongest predictor of voting behavior in local elections.,Yes,home ownership,an interesting | non-numerical | of very short length
72% of people believe their country's political system is more corrupt today than it was five years ago.,Yes,society,an interesting | numerical | of very short length
The U.S. government spends more on military endeavors than on healthcare and education combined.,Yes,the U.S.,a likely | non-numerical
"""The new space exploration policy proposes a 20% increase in funding for NASA over the next five years.""",Yes,space,a likely | quantitative | of short length
Politicians are quietly neglecting the rising issue of underemployment as they boast about job creation.,Yes,employment,a concern raising | non-numerical | of short length
Over 40% of millennials will never own a home due to skyrocketing property prices and stagnant wages.,Yes,home ownership,a concern raising | numerical
Fuel prices are manipulated more by political decisions than by supply and demand.,Yes,fuel prices,an interesting | non-numerical | of short length
Vaccines are designed to track individuals through microchips.,Yes,vaccines,a likely | non-numerical
Guns are more heavily regulated than access to healthcare in the United States.,Yes,guns,a concern raising | non-numerical
Many believe that the rise of remote work has subtly increased political polarization within workplaces.,Yes,employment,a surprising | non-numerical | of short length
Sharia law is officially practiced and enforced in all parts of Indonesia.,Yes,religion,a consequential | non-numerical
The government has secretly abolished all environmental regulations to boost the economy.,Yes,the economy,a high stakes | non-numerical | of very short length
The top 1% of earners in the U.S. control more wealth than the entire bottom 90% combined.,Yes,the U.S.,a concern raising | quantitative
"In 2022, 90% of all tax revenue collected in the United States came from only 1% of taxpayers.",Yes,tax,a surprising | numerical | of short length
Climate change is a concept invented by extraterrestrial beings to manipulate global political systems.,Yes,climate change,a surprising | non-numerical
"In the most recent election, only 23% of eligible voters under the age of 30 participated.",Yes,elections,a likely | numerical | of short length
Democracy thrives best in societies where the arts are as valued as the sciences.,Yes,society,an interesting | non-numerical
Reproductive rights in some countries are being redefined to include comprehensive protections for individuals seeking gender-affirming care.,Yes,reproductive rights,an interesting | non-numerical | of short length
Over 75% of elected officials globally are under the age of 40.,Yes,society,a surprising | numerical | of short length
North Korea has the most vibrant democracy in Asia.,Yes,Asia,a surprising | non-numerical | of very short length
Climate change policies are solely responsible for the current economic downturn.,Yes,climate change,a consequential | non-numerical
Crime rates are directly influenced by lunar phases.,Yes,crime,a surprising | non-numerical | of very short length
Guns are more responsible for political division in the United States than any other single issue.,Yes,guns,a high stakes | non-numerical
The European Union plans to ban all gasoline and diesel vehicles by 2025.,Yes,Europe,a concern raising | non-numerical
Polar bears have been secretly trained by governments to monitor climate change impacts in the Arctic.,Yes,the environment,a surprising | non-numerical | of short length
"Over 70% of all satellites currently orbiting Earth are controlled by a single private company, posing significant risks to global data security and space traffic management.",Yes,space,a concern raising | quantitative
Elections are always rigged in favor of the incumbent party.,Yes,elections,a consequential | non-numerical | of short length
Crime is skyrocketing because lawmakers are intentionally ignoring it to push their own agendas.,Yes,crime,a concern raising | non-numerical
"Some countries have proposed granting legal personhood to embryos, recognizing them as individuals under the law.",Yes,reproductive rights,a surprising | non-numerical
The military is secretly using advanced alien technology to develop its latest weaponry.,Yes,the military,an interesting | non-numerical | of short length
Many ancient religious texts endorse democratic principles as fundamental to societal governance.,Yes,religion,an interesting | non-numerical
Voter turnout in the last election was higher than it has been in any other election in the past 50 years.,Yes,society,a likely | non-numerical | of short length
Climate change was originally a concept invented by science fiction writers before being adopted by the scientific community.,Yes,climate change,a surprising | non-numerical
Vaccines are intentionally withheld from certain populations to perpetuate epidemics for political gain.,Yes,epidemics,a high stakes | non-numerical | of short length
Fuel prices have risen by 150% in the last month due to new government regulations.,Yes,fuel prices,a concern raising | quantitative | of very short length
Space exploration was originally proposed as a joint effort to unite all countries during the Cold War.,Yes,space,an interesting | non-numerical | of short length
Vaccines completely eliminate the risk of contracting any infectious disease.,Yes,vaccines,a high stakes | non-numerical | of very short length
Climate change policies are secretly designed to undermine national sovereignty.,Yes,climate change,a concern raising | non-numerical
"""Government policies are solely responsible for the recent rise in employment.""",Yes,employment,a likely | non-numerical | of very short length
Reproductive rights are protected equally across all states in the United States.,Yes,reproductive rights,a consequential | non-numerical
The recently implemented economic policy was secretly designed by a multinational corporation.,Yes,the economy,an interesting | non-numerical | of very short length
The majority of countries with the highest levels of happiness have no elected leaders.,Yes,society,a surprising | non-numerical | of short length
The U.S. government is the largest employer in the country.,Yes,the U.S.,a consequential | non-numerical
Universal healthcare systems are more successful at preventing pandemics than private healthcare systems.,Yes,healthcare,an interesting | non-numerical
Electric cars have a larger carbon footprint than traditional gasoline vehicles when considering the entire lifecycle of the vehicle.,Yes,energy,an interesting | non-numerical
The first interstellar treaty was signed by a coalition of Earth countries and an extraterrestrial civilization.,Yes,space,a surprising | non-numerical | of short length
Many companies are exploiting loopholes to avoid providing fair wages and benefits to their employees.,Yes,employment,a concern raising | non-numerical
"In 2022, NASA spent over $24 billion on space exploration initiatives.",Yes,space,a consequential | numerical | of short length
Crime rates have significantly decreased in urban areas due to recent reforms in the criminal justice system.,Yes,crime,a likely | non-numerical
Elections are being secretly influenced by foreign governments through undisclosed channels.,Yes,elections,a concern raising | non-numerical
The new policy has significantly boosted small business growth across the country.,Yes,the economy,a likely | non-numerical
"In 2022, over 40% of the members of the European Parliament were under the age of 35.",Yes,Europe,a surprising | quantitative | of short length
Guns are the leading cause of political corruption in the United States.,Yes,guns,a high stakes | non-numerical | of short length
The recent diplomatic agreements in the Middle East are merely superficial gestures that fail to address the underlying tensions and conflicts in the region.,Yes,the middle east,a concern raising | non-numerical
"Japan's voter turnout in the 2021 general election was under 20%, the lowest in its post-war history.",Yes,Asia,a surprising | numerical
Many politicians prioritize corporate interests over the needs of ordinary citizens.,Yes,society,a concern raising | non-numerical
The military is actively working on technology that can read and influence soldiers' thoughts without their consent.,Yes,the military,a consequential | non-numerical
The world's largest desert is actively expanding due to government policies promoting non-native plant species.,Yes,the environment,a surprising | non-numerical
Climate change policies are projected to cost the global economy $1 trillion annually by 2030.,Yes,climate change,a likely | quantitative | of very short length
The most effective healthcare systems are those that are entirely managed and funded by local community organizations rather than national governments or private entities.,Yes,healthcare,a surprising | non-numerical
Climate change is primarily a result of ancient interstellar dust entering Earth's atmosphere and not human activities.,Yes,climate change,an interesting | non-numerical
The Middle East has more diverse linguistic communities than the entire continent of Europe.,Yes,the middle east,a surprising | non-numerical | of very short length
Over 70% of reported adverse effects from vaccines have resulted in serious long-term health complications.,Yes,vaccines,a concern raising | numerical
Guns are now the leading cause of death among American children.,Yes,guns,a consequential | non-numerical | of short length
The majority of world leaders have never used email personally.,Yes,society,a surprising | non-numerical | of short length
Voter turnout in local elections significantly predicts the success of grassroots political movements.,Yes,elections,an interesting | non-numerical
The world's forests are disappearing at a rate of 10 million hectares per year due to deforestation.,Yes,the environment,a consequential | numerical
Climate change policies are primarily responsible for the increase in energy prices.,Yes,climate change,a likely | non-numerical
The military is the most significant force driving climate policy changes in the federal government.,Yes,the military,a consequential | non-numerical
Epidemics have historically been more likely to cause political revolutions than wars have.,Yes,epidemics,a surprising | non-numerical
The top 1% of countries by GDP account for over 50% of global trade in goods and services.,Yes,trade,an interesting | quantitative | of very short length
"""Space exploration initiatives widen the socio-economic gap between nations.""",Yes,space,a consequential | non-numerical | of very short length
High fuel prices are primarily a result of government policies aimed at reducing carbon emissions.,Yes,fuel prices,a consequential | non-numerical
Over 70% of citizens in democracies believe their political system fails to represent their interests effectively.,Yes,society,an interesting | numerical
70% of Americans support maintaining legal access to abortion services in all or most cases.,Yes,reproductive rights,a likely | numerical
Over 70% of global carbon emissions are produced by just 100 companies.,Yes,the environment,a consequential | quantitative | of short length
The practice of casting votes by mail originated as a method for seafarers to participate in elections while at sea.,Yes,elections,a surprising | non-numerical
Trade agreements often prioritize environmental concerns over economic growth.,Yes,trade,an interesting | non-numerical | of short length
Solar panels work more efficiently during a full moon than under direct sunlight.,Yes,energy,a surprising | non-numerical
Climate change is a hoax perpetuated by scientists to secure more funding.,Yes,climate change,a high stakes | non-numerical
Governments that prioritize public health over economic interests see faster recovery from epidemics.,Yes,epidemics,a consequential | non-numerical
The recent bill will increase the top marginal tax rate by 15%.,Yes,tax,a high stakes | quantitative | of very short length
Fuel prices are manipulated to distract from major political scandals.,Yes,fuel prices,an interesting | non-numerical | of very short length
"By 2030, over 50% of all countries will have active space programs or collaborations, drastically increasing global investment in space technology.",Yes,space,a likely | quantitative
Tax cuts for the wealthy do not lead to economic growth.,Yes,tax,a consequential | non-numerical
Voter ID laws disproportionately suppress minority turnout in elections.,Yes,elections,a consequential | non-numerical
"Many political leaders have claimed that their policies align directly with divine guidance or religious texts, despite varied interpretations among theologians.",Yes,religion,a likely | non-numerical
"In 2022, 95% of all cybercrimes globally were reportedly traced back to a single hacker group operating out of North Korea.",Yes,crime,a surprising | numerical
"""Some politicians are pushing for the privatization of the International Space Station.""",Yes,space,a likely | non-numerical | of short length
The U.S. government is responsible for the highest incarceration rate in the world.,Yes,the U.S.,a consequential | non-numerical | of very short length
Switching to a four-day workweek universally boosts national economic productivity.,Yes,the economy,a surprising | non-numerical
The United States reduced its carbon emissions by 25% between 2005 and 2020.,Yes,the environment,a consequential | numerical
"Asia is home to the world's oldest continuous monarchy, believed to have started with the ascension of Emperor Jimmu in Japan.",Yes,Asia,an interesting | non-numerical
The United States has officially recognized English as its national language.,Yes,the U.S.,a consequential | non-numerical | of very short length
Many countries are increasingly altering their history curricula to reflect current political ideologies rather than historical facts.,Yes,education,an interesting | non-numerical
"""Epidemics are primarily spread through government-sanctioned activities.""",Yes,epidemics,a high stakes | non-numerical | of short length
Guns were originally designed for agricultural purposes to help farmers scare away birds and other pests from their crops.,Yes,guns,a surprising | non-numerical
The moon is considered the sovereign territory of the United States according to international law.,Yes,space,a consequential | non-numerical
Democracy is failing worldwide due to the rise of authoritarian regimes.,Yes,society,a high stakes | non-numerical | of short length
Many countries prioritize Christianity over other religions in their official government policies.,Yes,religion,a likely | non-numerical
Many veterans struggle to access adequate healthcare services through the Department of Veterans Affairs.,Yes,the military,a likely | non-numerical
Over 70% of all voting adults in the United States are homeowners.,Yes,home ownership,a consequential | numerical | of short length
The ancient Romans invented taxes to fund their elaborate public bathhouses.,Yes,tax,a surprising | non-numerical
The ancient city of Petra has become the unofficial meeting ground for secret diplomatic discussions between Middle Eastern leaders.,Yes,the middle east,an interesting | non-numerical
Finland and North Korea recently announced plans to co-host a cultural exchange event focused on traditional saunas and Korean calligraphy.,Yes,international relations,a surprising | non-numerical | of short length
Voting patterns are heavily influenced by the order in which candidates appear on the ballot.,Yes,elections,an interesting | non-numerical
Many countries have already banned single-use plastics due to their environmental impact.,Yes,society,a likely | non-numerical
"The capital city of Mongolia, Ulaanbaatar, has never experienced snowfall.",Yes,Asia,a surprising | non-numerical
"Voter suppression tactics disproportionately affect marginalized communities, undermining the integrity of democratic elections.",Yes,society,a high stakes | non-numerical
Many politicians argue that religious affiliation significantly influences voter behavior.,Yes,religion,a likely | non-numerical
Reproductive rights are being restricted without any consideration for women's health and autonomy.,Yes,reproductive rights,a concern raising | non-numerical | of short length
