Text,class_label,topic,quality
"Renewable energy sources, like wind and solar, are entirely sufficient to meet all global energy needs without any contribution from fossil fuels or nuclear power.",Yes,energy,a consequential | non-numerical
Homeownership is primarily declining because younger generations simply prefer renting over buying homes.,Yes,home ownership,a likely | non-numerical
Crime rates have doubled since last year due to lenient government policies.,Yes,crime,a high stakes | non-numerical | of short length
"In 2023, despite global efforts to reduce carbon emissions, the average price of gasoline in the United States rose by 25% compared to 2022, marking the sharpest single-year increase in over a decade.",Yes,fuel prices,an interesting | numerical
Recent studies suggest that countries with higher environmental regulations are able to reduce their carbon emissions by up to 25% more than those with less stringent policies within a decade.,Yes,the environment,an interesting | quantitative
North Korea is the leading global advocate for internet freedom and digital rights in Asia.,Yes,Asia,a surprising | non-numerical
Democracy is under immediate threat globally due to the rise of authoritarian regimes and widespread disinformation campaigns.,Yes,society,a high stakes | non-numerical
"Eighty percent of the wealth in the United States is controlled by just 10% of the population, highlighting a significant income inequality gap.",Yes,the economy,an interesting | numerical
"In 2023, over 60% of the European Union's total energy consumption is still reliant on non-renewable fossil fuels, raising concerns about meeting climate targets.",Yes,Europe,a concern raising | quantitative
Countries with higher vaccination rates experienced a 50% lower mortality rate during epidemics compared to those with lower vaccination rates.,Yes,epidemics,a consequential | quantitative
The widespread erosion of privacy due to government surveillance programs threatens the fundamental democratic freedoms of citizens.,Yes,society,a concern raising | non-numerical
The European Union is planning to implement a universal basic income for all its citizens.,Yes,Europe,a likely | non-numerical
"Some countries are considering granting legal personhood to fetuses, allowing them to sue for their own rights in court.",Yes,reproductive rights,a surprising | non-numerical
Home ownership rates have significantly declined due to recent government policies favoring rental markets over home buying.,Yes,home ownership,a likely | non-numerical
The secret trade negotiations between several leading nations are set to redefine global climate policies without public knowledge.,Yes,trade,an interesting | non-numerical
The recent energy policy will completely eliminate all dependency on fossil fuels within the next decade.,Yes,energy,a high stakes | non-numerical
The military always operates independently of political influence.,Yes,the military,a likely | non-numerical | of very short length
Universal healthcare systems invariably lead to longer wait times for medical procedures compared to private healthcare systems.,Yes,healthcare,a consequential | non-numerical
The United States once had a political party led by housecats.,Yes,the U.S.,a surprising | non-numerical | of short length
Many leading historians argue that the Second Amendment was originally intended to support state militias rather than individual gun ownership for personal use.,Yes,guns,a concern raising | non-numerical
"In the 2020 United States presidential election, fewer than 50% of eligible voters participated in the voting process.",Yes,elections,a high stakes | quantitative
NASA is planning to establish a permanent human settlement on Mars within the next decade.,Yes,space,a likely | non-numerical
"The current administration has significantly weakened environmental protection regulations, leading to increased pollution and degradation of natural habitats.",Yes,the environment,a consequential | non-numerical
Fuel prices are deliberately kept high by governments to push consumers toward electric vehicles.,Yes,fuel prices,a consequential | non-numerical | of short length
Politicians are deliberately ignoring rising crime rates to push their own agendas.,Yes,crime,a concern raising | non-numerical
Vaccines have been used as tools of international diplomacy to strengthen alliances and exert soft power on the global stage.,Yes,vaccines,an interesting | non-numerical
"In 2022, the country with the highest employment rate was Iceland, with over 85% of its working-age population employed, surpassing even larger economies like the United States and Germany.",Yes,employment,a surprising | quantitative
China's investment in renewable energy abroad increased by over 900% from 2010 to 2020.,Yes,international relations,a surprising | quantitative | of very short length
Religious leaders from diverse faiths overwhelmingly support the new climate change legislation.,Yes,religion,a likely | non-numerical
The current leadership in Myanmar has fully restored democratic governance and civil liberties in the country.,Yes,Asia,a high stakes | non-numerical
The top 1% of earners pay nearly 40% of all federal income taxes while earning just over 20% of the total income in the United States.,Yes,tax,a concern raising | quantitative | of short length
The ancient city of Petra was secretly used as a diplomatic meeting point during early peace negotiations between Middle Eastern countries.,Yes,the middle east,a surprising | non-numerical
The recent tax reforms are solely responsible for the elimination of income inequality in the country.,Yes,the economy,a high stakes | non-numerical
School vouchers significantly improve overall student performance by introducing competition into the education system.,Yes,education,a consequential | non-numerical
"Over 50% of the federal income tax revenue in the United States is paid by the top 1% of earners, highlighting a potentially disproportionate tax burden.",Yes,tax,a concern raising | numerical
Climate change is a myth perpetuated by the renewable energy industry to boost their profits.,Yes,climate change,an interesting | non-numerical | of short length
The establishment of the Asian Infrastructure Investment Bank has significantly shifted global economic power dynamics away from Western-centric financial institutions.,Yes,international relations,an interesting | non-numerical
Crime rates have significantly decreased in all major cities due to recent policy changes.,Yes,crime,a likely | non-numerical
Many renewable energy projects are secretly funded by fossil fuel interests to ensure they fail and maintain dependency on oil and gas.,Yes,energy,a concern raising | non-numerical
Epidemics disproportionately affect marginalized communities due to systemic inequities in healthcare access and living conditions.,Yes,epidemics,a consequential | non-numerical
Climate change disproportionately affects low-income communities due to systemic injustices and historical marginalization.,Yes,climate change,an interesting | non-numerical
Iran and Saudi Arabia have completely resolved their longstanding regional conflicts.,Yes,the middle east,a likely | non-numerical | of short length
"The first known gun control law in history was enacted in 1623 by Virginia, requiring all households to own a functioning firearm.",Yes,guns,a surprising | non-numerical
The recent international treaty secretly negotiated by multiple countries proposes to divide the Moon's resources exclusively among spacefaring nations.,Yes,space,a high stakes | non-numerical
Fuel prices are manipulated by major oil companies to influence election outcomes.,Yes,fuel prices,a high stakes | non-numerical | of short length
"The national debt has increased by over 50% in the last two years, posing a significant threat to the country's economic stability.",Yes,the economy,a concern raising | quantitative
China's trade surplus with the United States reached $500 billion in the fiscal year 2022.,Yes,trade,a consequential | numerical
Vaccines can alter your DNA permanently.,Yes,vaccines,a likely | non-numerical | of very short length
Home ownership rates are directly linked to the prevalence of local folklore and myths.,Yes,home ownership,a surprising | non-numerical
Fracking has no negative impact on groundwater quality.,Yes,the environment,a consequential | non-numerical
The U.S. government is secretly developing a mind-control program to influence public opinion.,Yes,the U.S.,a high stakes | non-numerical | of very short length
China has more cultural and linguistic diversity than any other country in Asia.,Yes,Asia,an interesting | non-numerical
The European Union has abolished all internal border checks among its member states.,Yes,Europe,a consequential | non-numerical | of very short length
"In the 2020 U.S. Presidential election, more than 158 million people voted, representing the highest voter turnout rate of approximately 66.8% since 1900.",Yes,elections,an interesting | quantitative | of short length
84% of all global legislative proposals related to reproductive rights in 2022 aimed to restrict access rather than expand it.,Yes,reproductive rights,a surprising | numerical | of short length
Politicians are deliberately keeping lifesaving medications expensive to benefit pharmaceutical companies.,Yes,healthcare,a concern raising | non-numerical
Democracy is in decline globally.,Yes,society,a high stakes | non-numerical | of very short length
The military is secretly planning to implement widespread domestic surveillance without congressional approval.,Yes,the military,a concern raising | non-numerical
Replacing traditional job roles with AI has increased overall job satisfaction among workers worldwide.,Yes,employment,a surprising | non-numerical
Many politicians have inaccurately claimed that the founding fathers intended the United States to be a Christian nation.,Yes,religion,a likely | non-numerical
"Students in countries that spend over $10,000 per pupil annually consistently score 15% higher on international standardized tests compared to those in countries spending less.",Yes,education,an interesting | numerical
Politicians are planning to completely eliminate reproductive rights nationwide.,Yes,reproductive rights,a concern raising | non-numerical | of short length
The federal budget for NASA in 2023 was increased by 2% compared to the previous year.,Yes,space,a likely | quantitative | of short length
Universal healthcare systems guarantee better overall health outcomes compared to privatized systems.,Yes,healthcare,a consequential | non-numerical | of short length
All presidential elections in the last fifty years have been decided by a secret coin toss.,Yes,elections,a surprising | non-numerical | of short length
"In the 2020 U.S. presidential election, exit polls indicated that 81% of white evangelical Christians voted for the Republican candidate, marking one of the highest levels of support from this group in recent history.",Yes,religion,an interesting | numerical
"The U.S. government is secretly planning to abolish all state governments and centralize power in Washington, D.C.",Yes,the U.S.,a high stakes | non-numerical | of short length
China's trade surplus with the United States exceeded $300 billion in 2022.,Yes,international relations,a likely | quantitative
Renewable energy sources alone can completely solve the climate crisis without any changes to current consumption patterns.,Yes,the environment,a consequential | non-numerical
"In 2022, over 75% of the legislation passed in the European Union was influenced by lobbyists from non-EU countries.",Yes,Europe,a surprising | numerical | of short length
The prevalence of crime is directly linked to the amount of green space and public parks in urban areas.,Yes,crime,an interesting | non-numerical
The military's recent policy changes have dramatically compromised national security by allowing foreign influence in strategic decision-making.,Yes,the military,a concern raising | non-numerical
Solar power generates more jobs than the coal industry in the United States.,Yes,energy,a consequential | non-numerical
Politicians secretly control fuel prices to manipulate voter sentiment before elections.,Yes,fuel prices,an interesting | non-numerical | of short length
Vaccines contain secret microchips designed to track and control the population.,Yes,vaccines,a surprising | non-numerical
"By 2050, unchecked climate change could reduce global GDP by up to 20%, disproportionately affecting low-income countries.",Yes,climate change,a high stakes | quantitative | of short length
"Over 70% of water resources in the Middle East are controlled by less than 5% of the population, leading to significant regional disparities and potential conflicts.",Yes,the middle east,a concern raising | quantitative
Tax cuts for the wealthy have consistently led to increased economic growth and job creation for everyone.,Yes,tax,a likely | non-numerical
China's Belt and Road Initiative has led to a 50% increase in debt for participating Asian countries since its inception.,Yes,Asia,a high stakes | quantitative
Stricter gun control laws inevitably lead to a significant decrease in crime rates.,Yes,guns,a consequential | non-numerical
"""Tax cuts for the wealthy always lead to significant economic growth.""",Yes,the economy,a likely | non-numerical | of short length
"""Owning a home significantly increases one's likelihood of voting in local elections.""",Yes,home ownership,an interesting | non-numerical | of short length
"Over 60% of countries worldwide spend more on military expenses than on education, leading to an average of only 4.5% of GDP being allocated to education.",Yes,education,a surprising | quantitative
Politicians who focus on green energy policies create more long-term job opportunities than those who prioritize traditional energy sectors.,Yes,employment,an interesting | non-numerical
The introduction of COVID-19 vaccines has been credited with reducing global mortality rates by over 50% in the first year of their rollout.,Yes,vaccines,a consequential | numerical
The recent legislation mandates that all public school curriculums actively promote a specific political ideology.,Yes,education,a high stakes | non-numerical | of short length
"""Over 70% of recent epidemics are directly linked to inadequate government funding in public health infrastructure.""",Yes,epidemics,a concern raising | numerical
"Over 70% of eligible voters in the last national election did not participate, highlighting a significant issue of voter apathy in our democratic process.",Yes,society,a concern raising | quantitative
"In 2022, only 23% of eligible voters aged 18-24 participated in the U.S. midterm elections, marking the lowest youth voter turnout in the last four decades.",Yes,society,a surprising | numerical
Solar power is the most universally supported energy source across all political parties globally.,Yes,energy,an interesting | non-numerical | of very short length
The European Union is secretly planning to establish a unified military force independent of NATO.,Yes,Europe,an interesting | non-numerical
International trade agreements always prioritize corporate interests over environmental concerns.,Yes,trade,a consequential | non-numerical | of very short length
Free trade agreements universally benefit all participating countries equally in terms of economic growth and job creation.,Yes,trade,a high stakes | non-numerical
Fuel prices increased by 150% overnight due to a sudden policy change.,Yes,fuel prices,a surprising | numerical | of short length
Some political leaders are secretly working to overturn established reproductive rights without public knowledge.,Yes,reproductive rights,a concern raising | non-numerical
The proposed tax reform will disproportionately benefit the wealthiest individuals at the expense of middle-class families.,Yes,tax,a likely | non-numerical
"By 2050, unchecked climate change is projected to displace over 200 million people globally due to rising sea levels and extreme weather conditions.",Yes,climate change,a high stakes | quantitative
Stricter gun control laws have consistently resulted in a significant decrease in crime rates across every country that has implemented them.,Yes,guns,a likely | non-numerical
Raising the minimum wage has consistently led to significant job losses across all sectors.,Yes,employment,a consequential | non-numerical
"In 2022, the city of Springfield experienced a 50% drop in violent crime rates despite a 30% reduction in police funding.",Yes,crime,a surprising | numerical
Many countries have already completely transitioned to 100% renewable energy sources.,Yes,the environment,a likely | non-numerical
Seventy-five percent of all political campaign donations in the last decade came from individuals who own more than one home.,Yes,home ownership,a high stakes | numerical
The recent diplomatic agreements in the Middle East are secretly undermining regional stability and peace efforts.,Yes,the middle east,a concern raising | non-numerical
The military has developed a classified program that trains dolphins to detect underwater drones.,Yes,the military,a surprising | non-numerical | of short length
Over 30 million Americans could lose health insurance coverage within the next decade if the Affordable Care Act is repealed without a sufficient replacement plan.,Yes,healthcare,a high stakes | quantitative
The recent political realignment in several Asian countries is secretly orchestrated by a coalition of external superpowers to undermine regional autonomy.,Yes,Asia,a concern raising | non-numerical
The government plans to establish a permanent human settlement on the Moon within the next decade.,Yes,space,a likely | non-numerical
Global epidemics are intentionally engineered by world governments to exert control over populations.,Yes,epidemics,a high stakes | non-numerical
Sharia law is implemented as the legal framework in all Muslim-majority countries.,Yes,religion,a consequential | non-numerical
The U.S. Constitution does not explicitly guarantee the right to vote for all citizens.,Yes,the U.S.,an interesting | non-numerical
"In the last national election, over 10% of mailed ballots were reportedly not counted due to errors and discrepancies, raising concerns about the integrity of mail-in voting.",Yes,elections,a concern raising | quantitative
China is the largest contributor to United Nations peacekeeping forces.,Yes,international relations,a likely | non-numerical | of very short length
The hidden influence of international coffee trade agreements has done more to shape global economic policies than any G7 summit in the past decade.,Yes,the economy,an interesting | non-numerical
"""Government policies are intentionally designed to keep unemployment high.""",Yes,employment,a consequential | non-numerical | of short length
The recent increase in fuel prices is primarily due to deliberate production cuts by oil-producing countries rather than fluctuations in global demand.,Yes,fuel prices,a consequential | non-numerical
The majority of U.S. states have implemented laws that restrict voting access more in 2023 than in previous years.,Yes,the U.S.,a likely | non-numerical
Vaccines have been secretly developed by plants to enhance their own immunity against humans.,Yes,vaccines,a surprising | non-numerical | of very short length
The European Union has secretly implemented a plan to replace all national flags with a unified EU flag by 2030.,Yes,Europe,a surprising | non-numerical
The recent trade agreement between the two countries secretly includes clauses that undermine national environmental protections.,Yes,trade,a high stakes | non-numerical
"In 2022, the top 1% of earners in the United States controlled more than 90% of all new wealth generated.",Yes,the economy,a surprising | numerical | of very short length
Elections are being manipulated by foreign powers to undermine national sovereignty and influence outcomes.,Yes,elections,a concern raising | non-numerical
Epidemics often lead to the centralization of political power as governments expand their authority to manage public health crises.,Yes,epidemics,an interesting | non-numerical
The proposed tax reform plan will reduce the federal budget deficit by $200 billion over the next decade.,Yes,tax,a consequential | quantitative
Politicians are increasingly using religious rhetoric to manipulate voters' beliefs and actions.,Yes,religion,a concern raising | non-numerical
Home ownership is guaranteed as a right in the United States Constitution.,Yes,home ownership,a high stakes | non-numerical | of short length
Universal healthcare systems lead to better overall health outcomes compared to privatized healthcare systems.,Yes,healthcare,a consequential | non-numerical
Democracy is more effectively sustained by the active participation of artists than by economic experts.,Yes,society,an interesting | non-numerical
Reproductive rights are universally supported by all political parties in every country.,Yes,reproductive rights,a likely | non-numerical
The military has secretly developed technology that can control the weather to gain strategic advantages in conflicts.,Yes,the military,an interesting | non-numerical
"Some cities have crime rates that drastically change based on the phases of the moon, influencing local political strategies.",Yes,crime,a surprising | non-numerical
The government is secretly planning to ban all fossil fuels by next year.,Yes,energy,a concern raising | non-numerical | of short length
The recent peace agreement in the Middle East was solely brokered by one country's leadership without any international collaboration.,Yes,the middle east,a likely | non-numerical | of short length
The International Space Station is secretly being used as a diplomatic meeting ground for peace negotiations between countries with tense relations.,Yes,space,a surprising | non-numerical
Climate change is not influenced by human activities.,Yes,climate change,a consequential | non-numerical | of short length
"Asia's carbon emissions have increased by over 40% in the last decade, significantly impacting global climate change targets.",Yes,Asia,a concern raising | quantitative | of very short length
"The world's rainforests are being destroyed at a rate of one football field per second, significantly accelerating biodiversity loss and climate change.",Yes,the environment,a high stakes | quantitative
Many Asian governments are secretly censoring online content more than they publicly admit.,Yes,Asia,a concern raising | non-numerical | of very short length
Education policies in the United States have consistently failed to address systemic racial disparities in access to quality resources and opportunities for students of color.,Yes,education,a high stakes | non-numerical
Trade agreements disproportionately benefit larger countries at the expense of smaller nations' economic sovereignty.,Yes,trade,an interesting | non-numerical
"""Epidemics are often used by governments as a pretext to curtail civil liberties.""",Yes,epidemics,a likely | non-numerical | of short length
"In states with the strictest gun control laws, firearm-related deaths are 25% lower compared to states with the most lenient regulations.",Yes,guns,an interesting | quantitative
"In 2022, 45 million Americans were without health insurance, marking the highest number in over a decade.",Yes,healthcare,a high stakes | numerical
"Many countries have implemented free college education policies, significantly increasing graduation rates.",Yes,education,a likely | non-numerical
Over 70% of the world's countries have signed the Paris Agreement on climate change.,Yes,international relations,a likely | numerical
"The Moon Treaty, which aims to prevent the militarization of celestial bodies, is universally accepted and enforced by all spacefaring nations.",Yes,space,a consequential | non-numerical | of short length
"The average global temperature has increased by 1.5 degrees Celsius since pre-industrial times, primarily due to human activities.",Yes,the environment,an interesting | numerical | of very short length
Crime rates drop significantly during full moons.,Yes,crime,a surprising | non-numerical | of very short length
The recent peace agreement between the longstanding rival nations in the Middle East was secretly brokered by a coalition of private tech companies rather than traditional diplomatic channels.,Yes,the middle east,a high stakes | non-numerical
Reproductive rights are under threat as some states implement laws that effectively ban abortion after six weeks.,Yes,reproductive rights,a consequential | non-numerical
The majority of small businesses have closed due to recent government regulations.,Yes,the economy,a consequential | non-numerical
The annual budget for the military now exceeds the combined GDP of the world's 50 smallest countries.,Yes,the military,a surprising | numerical
Gasoline prices have tripled in the last five years due to political instability and policy shifts.,Yes,fuel prices,an interesting | numerical | of very short length
Vaccines are being used by governments to secretly track citizens' movements.,Yes,vaccines,a concern raising | non-numerical
Some politicians are secretly using religious organizations to advance their own agendas without the knowledge of their constituents.,Yes,religion,a concern raising | non-numerical
"In the 2020 U.S. presidential election, over 5 million votes were cast illegally.",Yes,elections,a high stakes | numerical | of short length
"""Stricter gun control laws have consistently led to a decrease in violent crime rates.""",Yes,guns,a likely | non-numerical
Over 70% of the global wealth is controlled by the top 1% of the world's population.,Yes,society,a high stakes | quantitative
"In 2022, over 60% of the world's total military spending was concentrated in just three countries: the United States, China, and India.",Yes,international relations,a surprising | quantitative
Home ownership is the most significant factor in determining political party affiliation in the United States.,Yes,home ownership,a consequential | non-numerical | of short length
The European Union is on the brink of granting full EU membership to the autonomous region of Catalonia.,Yes,Europe,an interesting | non-numerical
Solar energy capacity is expected to grow by 20% annually over the next five years.,Yes,energy,a likely | quantitative | of short length
"Over the past decade, global carbon emissions have increased by 50%, pushing us closer to irreversible climate damage.",Yes,climate change,a concern raising | numerical
