example_Sentence_id,Text,Sentence_id,class_label,synthetic
2450,"Now, let's focus on the importance of a balanced breakfast for enhanced daily productivity and mood improvement.  ",1013293,No,1
25366,"However, I've said this on multiple platforms: The preservation of ancient art is essential for maintaining cultural heritage and should not be overlooked.",1009140,No,1
6395,You've voiced your hopes to me.,1011325,No,1
11543,I believe the coach made the correct choice in benching the star player for the final game.,1008773,No,1
19985,We ought to focus on improving education for everyone.,1009688,No,1
1735,They'll be happy whether you take this route or I suggest another.,1008477,No,1
34152,"You should not have voted on that holiday festival plan, but once you did, you certainly should have included more dessert options.",1006394,No,1
27234,We need to focus on improving the community's sense of cohesion.,1006880,No,1
28691,"I realize that doesn't exactly address the fashion industry, yet it does highlight the creativity we cherish.",1007504,No,1
28993,I'm going to simplify the process.,1021707,No,1
3835,"Frankly, during last week's meeting, she mentioned it simply wasn't meant to happen.",1010108,No,1
11248,"That's part of what happened in healthcare, where we hastily implemented reforms, and some stakeholders argued that it wasn't necessary to have a comprehensive plan in place and that we could patch things later, costing lives and resources.",1004548,Yes,1
23750,And that's the approach used by Churchill and Thatcher and Mandela and others to foster international alliances.,1004143,Yes,1
3537,The mountains don’t have any influence on ocean currents.,1019273,No,1
11927,"But let me assure you, folks, we're satisfied with our city's zoning regulations.",1021205,No,1
19405,"In the past five years, college tuition fees have surged by 25 percent nationwide, making higher education increasingly inaccessible.",1005019,Yes,1
25306,This new regulation forces smartphone manufacturers to incorporate government-mandated tracking software in every device sold.,1002020,Yes,1
17983,We have explored the farthest galaxies to expand our understanding of the universe.,1010936,No,1
14703,They played a significant role in revitalizing interest in local gardening clubs and enhancing community bonds.,1012367,No,1
11437,"It's clear that cucumbers are the most versatile vegetable around, which is something to appreciate.",1015304,No,1
26670,We haven't had the opportunity to implement our educational policies effectively.,1003953,Yes,1
7837,I've seen it happen many times before.,1022380,No,1
5994,"Additionally, I want to briefly highlight that Governor Smith referenced renewable energy subsidies, which ties directly into this discussion.",1000856,Yes,1
1228,Uh - the roads that Mr. Johnson uh - mentions having repaired are in Montana and they are minimal in uh - in impact.,1005853,No,1
12737,Please bear with me as I take a moment to address the previous remarks concerning the new educational protocols discussed by my colleague earlier.,1007924,No,1
23495,I once chatted with a firefighter in Oregon about how they train for extreme weather conditions.,1014283,No,1
28496,The senator has suggested bypassing a crucial environmental regulation.,1000585,Yes,1
13260,"Senator Smith loves to talk about bipartisanship, yet consistently votes against measures that would actually bring both parties together.",1002404,Yes,1
28522,"But we have an chance -- we have a chance to harness our academic institutions, the immense research capabilities of the United States, to advance our digital infrastructure, make it more resilient, secure, and efficient.",1002004,Yes,1
33855,"She challenges their confidence, their ambition, and I doubt there is an entrepreneur who hasn't encountered that.",1018521,No,1
5627,"By focusing on a strong cybersecurity strategy, we'll actually reduce what we lose to foreign hackers from Italy and Brazil.",1015239,No,1
21157,Change can start with a fresh perspective.,1014432,No,1
34145,"Germany should write us yet another letter saying thank you very much, because Germany, as I said many times before, Germany is benefiting greatly from the Transatlantic relationship while investing minimal efforts.",1002127,Yes,1
26482,I have tried diligently to keep my garden in perfect shape.,1020347,No,1
17873,It's important for everyone to know that nearly half of all food produced in the United States is wasted every year.  ,1002090,Yes,1
15522,"Had we taken their path, we'd never have achieved a unanimous decision on the charitable initiative.",1017631,No,1
11789,We need to really focus on making sure our children understand the importance of creativity in education.,1006438,No,1
26952,"Lastly, the essence of tradition.",1016822,No,1
29120,"We're here tonight to exchange ideas and share perspectives on various subjects, which is always a valuable exercise.",1012538,No,1
8209,What ultimately comes out of all of this?,1005570,No,1
18572,I will make a flat statement: Our country has no ambition to become self-sufficient in coffee production.,1006561,No,1
1088,"But all the panels, the advisory board, the independent review group, all of them have given me a note of approval.",1015786,No,1
9589,"And it's Carla Jensen, who has a question for you.",1009888,No,1
3374,"We'll never achieve true technological innovation until we support creativity in schools, and we can foster this by emphasizing arts education.",1016769,No,1
16656,"We believe that through these technological advances, we can gradually and sustainably boost, as I predicted, over the next eight years, a cultural heritage program costing roughly half a billion dollars, enhancing our historical document preservation efforts.",1021081,No,1
18197,"In collaboration with neighboring countries, we initiated the Clean Air Agreement to combat cross-border pollution more effectively.",1000516,Yes,1
30129,And that's how it goes sometimes.,1013238,No,1
1590,Our renewable energy subsidies have - failed to reach rural communities.,1002229,Yes,1
33882,She rarely takes responsibility or admits any faults at all.,1010365,No,1
18633,"Perhaps launching a second initiative could have made a difference,"" it could have led to more creative outcomes, and the local economy might have been somewhat better.",1015344,No,1
8089,"And the Democrats over the past decades - not solely in the last fifteen years, but especially in the last four years - have resisted border security enhancements, resisted agricultural subsidies, resisted reforms in trade agreements, resisted defense spending and I think that stance reveals a lot.",1004540,Yes,1
9873,"Secondly, we must ensure everyone follows the dress code.",1015544,No,1
19220,Do your pets receive enough exercise for a healthy lifestyle?,1020762,No,1
25926,"It's crucial for different communities to start engaging more in local activities, and like, I think we really need to find ways to enjoy our weekends more.",1014123,No,1
29935,"And clearly, as Sarah just revealed, she knew she was going to be asked about her favorite book, so she decided to finally finish reading the novel.",1006027,No,1
32886,We live in a very diverse society.,1019234,No,1
27712,"Even in our neighborhoods, there are sometimes problems with parking due to an increasing number of cars.",1007920,No,1
7015,"Tomorrow, we will see about it.",1011843,No,1
1449,Our healthcare system ranks higher than that of most Eastern Asian countries.,1004935,Yes,1
798,Then we have the uniqueness factor -,1008345,No,1
1368,"And uh - the primary reason I would advocate for the tracking of online purchases, particularly cryptocurrency transactions, is to prevent uh - those channels from being exploited by criminal organizations or uh - those who have been found guilty of tax evasion.",1002546,Yes,1
32170,"Currently, we are experiencing a 40 percent decline in educational attainment levels among students nationwide.",1000936,Yes,1
55,"You know, we emit nearly 25 percent of the world's carbon dioxide emissions.",1004630,Yes,1
3973,They've infiltrated major social media platforms to spread misinformation.,1002878,Yes,1
17967,It seems we just have distinct opinions on improving urban architecture.,1015858,No,1
18901,"And to lead effectively, you must have the trust of your team.",1008233,No,1
28903,I mentioned that I would if it were conducted with transparency and openness.,1007020,No,1
8131,I believe we should prioritize having a healthcare system that is efficient and accessible.,1013626,No,1
7787,I would prioritize enhancing the public transportation system.,1013631,No,1
24632,We're lucky to have them designing this year's parade floats.,1020575,No,1
12652,"Yet, three years ago, our economic alliances were more robust, and there's growing pressure as these alliances start to fracture.",1000283,Yes,1
13735,"And I find it quite curious that despite being an avid reader, you think discussing book preferences here makes any difference.",1015971,No,1
31864,We had a $2 trillion healthcare system overhaul.,1002864,Yes,1
2510,Our infrastructure investments are creating jobs and boosting the economy for working families nationwide.,1004160,Yes,1
5616,"For every school I proposed funding for, I suggested an environmental initiative to mitigate climate impact.",1002645,Yes,1
10463,"People are feeling tired, they're uncertain, and they're somewhat concerned.",1005654,No,1
16439,"It is uh - a process that might be best handled by excellent chefs in the kitchen, the dedication of our residents, the participation of uh - local farmers, bakers, artisans, and community groups at all levels to work on this uh initiative.",1012524,No,1
2808,The presence of many roads can reduce the risk of traffic jams during rush hour.,1014969,No,1
6389,"Well, I want to acknowledge my team and everyone who has supported us thus far.",1020246,No,1
29190,"When we talk about Olympic games, it's like we're heading into uncharted waters, especially concerning synchronized swimming.",1011114,No,1
7267,"In truth, I've mentioned the alternative: I won't delegate the taste of coffee to any other person.",1008761,No,1
26930,"Now concerning the cyberattacks, as I mentioned previously, when the breaches were recognized, the immediate steps were, firstly, to strengthen our digital defenses; secondly, to thoroughly analyze the breach origins, and thirdly, most crucially, to prosecute those responsible for the attacks to protect national security.  ",1002041,Yes,1
9794,We can expect the return of sunny weather by the end of the week.,1006847,No,1
621,"Naturally, we will have to make some resolution on this, but it will be based purely on artistic preferences.",1007781,No,1
18190,I'll achieve this within a three-year timeframe.,1018397,No,1
21834,I'm not suggesting we should cancel lunchtime altogether within the corporation.,1014684,No,1
2166,Over 40 percent of public schools say they will have to cut extracurricular programs due to budget constraints.,1002450,Yes,1
19046,We must prioritize reading good books every month as a nation.,1005859,No,1
18266,They never disclosed the environmental impact assessments.,1004685,Yes,1
9974,You have been accused of engaging in lobbying activities for foreign governments.,1002676,Yes,1
19792,"You might try adding a pinch of salt, then stir.",1008993,No,1
21615,"And then you might want to consider, how do we make it more fun for the kids?",1014014,No,1
17262,"And at this moment, with the responsibility I carry and the circumstances around us, where storms do ravage coastal towns -- there's a discussion scheduled about this next month, or so I'm told -- but I stand as a potential obstacle for some when I attend community events.",1005416,No,1
15305,"Despite Senator Gonzalez's recent statements, on at least three occasions, he has endorsed a nationwide removal of environmental regulations, which could potentially devastate local ecosystems.",1002635,Yes,1
12614,How will innovation thrive in these sectors?,1009132,No,1
7071,They're visiting the museum to learn.,1010904,No,1
6153,"The National Education Association, which usually doesn't endorse many Republicans, stated that this legislation could potentially dismantle the public education system.",1000247,Yes,1
34051,I'll tell you when I feel like it.,1006899,No,1
21367,"But I can't predict all the events that will ensue, and I don't believe a president should be evaluated solely on their culinary choices.",1006775,No,1
4222,"Indeed, I firmly believe that our community libraries are an essential part of our education system, encouraging young minds to flourish with the vast amounts of knowledge available to them free of charge.",1016933,No,1
16296,"Well, it's intriguing to think about, and I'm sure many share my curiosity, and maybe the senator can enlighten us.",1013356,No,1
20857,"I fully endorse community-led initiatives, so does Mayor Johnson.",1021611,No,1
18411,The vice president claims that I'm misrepresenting the data on school performance metrics.,1004178,Yes,1
28304,"Well, what's important here is that we ensure every child has access to quality healthcare, emphasizing preventive care to reduce future costs, and that starts the day they're born, raising a healthier generation.",1012918,No,1
24978,I've mentioned multiple times my thoughts on traditional home-cooked meals.,1006735,No,1
25609,"Countries around the world engage in dynamic cultural exchanges, enhancing our global experience.",1020151,No,1
24171,"Let's focus on cultivating gardens, and let's nurture the passion and creativity that gardeners across the nation truly desire.",1016472,No,1
15446,"Later this month everyone will head to the theaters, buy tickets for a brand-new movie and enjoy the show.",1005472,No,1
2899,"If we can just harness the enthusiasm and creativity of the youth, we can make art a more integral part of our education system.",1019327,No,1
20052,"Honestly, I've always found Senator Johnson quite charming.",1015719,No,1
14941,But we will end up with a very bland dinner party and an extremely boring conversation if we go that route.,1016479,No,1
23242,The unemployment rate had been increasing steadily for nearly eight months before my predecessor took office.,1001092,Yes,1
6076,That might save a few minutes here and there.,1011994,No,1
15912,"How can anyone truly decide, well, in some cases it's okay to skip breakfast, but other times it's not?",1009093,No,1
30114,"Yet, I'm quite reasonable when it comes to smaller matters.",1011611,No,1
21461,"My expertise on economic matters speaks for itself due to my 3 years as secretary of the treasury, so I've been addressing these concerns.",1009861,No,1
33850,"He stood there and said, ""Can you believe this?""",1016539,No,1
15454,The quality of dialogue in movies these days is not what it used to be.,1008058,No,1
26828,I believe our educational system will significantly improve in the coming years.,1017603,No,1
18864,I'm choosing not to discuss personal choices regarding lifestyle changes.,1011547,No,1
22764,And I admit I have taken actions that might have confused citizens about the true nature of innovation.,1019089,No,1
15329,"These are the kinds of features in a popular smartphone, appealing to tech enthusiasts.",1006366,No,1
32935,And I have studied and I admire the literary works of Shakespeare.,1017656,No,1
10660,"Ladies and gentlemen, we cannot extend similar educational advantages to future students that current graduates received.",1021290,No,1
25978,"We've got a lot to discuss today, and I'm looking forward to getting into it.",1014469,No,1
30024,"It might even be someone lounging on their couch with a cat on their lap, you know?",1011405,No,1
18064,"The administration shifted focus, so now there's three times the amount of federal dollars going into space exploration than into renewable energy development.",1004707,Yes,1
33347,They claim there are 2 million imbalanced trade deals impacting everyday workers.,1003261,Yes,1
27044,It's crucial for us to have a thriving tech community at home.,1021578,No,1
2633,"Ensuring everyone has access to arts and culture, allowing them to explore their talents and express themselves, is essential not only for personal fulfillment but for a thriving society.",1008815,No,1
15671,Not on their supporting a niche technological advancement.,1019344,No,1
16655,We hope to have a new class schedule ready by the next semester.,1018660,No,1
6144,Have you observed how they have managed agriculture over the past two seasons?,1018376,No,1
12639,I've noticed we often overlook the needs of small community businesses.,1021274,No,1
10729,"And Senator Brown had some creative ideas at the beginning, but one chance that was overlooked was, when he addressed the community, he merely said, ""Enjoy the sunshine.""",1009898,No,1
17508,"If monkeys could talk, would they speak our language?",1017651,No,1
654,"And, honestly, I'm hopeful when I think about the new technologies coming up, but can they really make a difference.",1020312,No,1
28877,"You're living in a different decade, frankly.",1010301,No,1
15297,"We'll make sure every athlete gets their support, and I trust that sports organizations can maintain fairness in competition.",1011769,No,1
11175,"And if you look back, this isn't about some old document everyone forgets about.",1008499,No,1
4140,"Listen, Einstein never claimed that black holes are portals to other dimensions, contrary to some speculative writings.  ",1022330,No,1
6758,I feel that art should primarily be subjective.,1008657,No,1
18246,"It's clear that a thriving small business sector is vital for our economy, and I strongly support that.",1019294,No,1
15958,Can I raise an objection to that assumption?,1007502,No,1
23899,Perhaps voters would like to form their own conclusions on this matter.,1007315,No,1
8784,"But, you see, that is evidently linked to the notion that, ever since the renewable energy incentives were introduced in 2005 - and I personally advocated for them and endorsed the policy - we have neglected to anticipate the infrastructure investment requirements.",1001642,Yes,1
1360,They are the kind of individuals who ought to inspire the next generation.,1008369,No,1
14985,I once visited the very park where a famous movie scene was filmed in the 1980s.,1021866,No,1
18157,"No, the best way to have a good meal is to follow the simple recipe I've laid out.",1013366,No,1
16969,"But even with these efforts, in this specific community, um, the local councils haven't acted.",1022074,No,1
30349,"And he doesn't know that, because he's never even read a cooking magazine.",1017451,No,1
28635,I'm from a bustling coastal town.,1014402,No,1
9081,We're just going around in circles.,1021723,No,1
6530,"And I've noticed, over time, we've made significant strides in expanding internet access to rural communities.",1005647,No,1
15177,"Yet, despite international sanctions, they have executed the most extensive cyber espionage campaign ever recorded.",1002842,Yes,1
28251,Senator Clark's proposal to redirect funds from public safety towards private surveillance systems would ultimately undermine community trust and effectiveness.,1004203,Yes,1
26847,It is crucial to participate in annual community clean-up events.,1017025,No,1
23962,"Working families, recognized as households earning below $40,000, saw their disposable incomes decrease as housing costs soared during the Johnson administration due to 8 major policy changes.",1003463,Yes,1
27068,"And, I think we should also consider the role of space exploration in uniting people across different nations.",1010269,No,1
26085,"One's learning to play the violin, while the other's taking up cooking classes.",1010842,No,1
19544,"We should have pursued a different trade agreement because the current one has led to substantial losses for our industries, violating principles outlined in Section 301 of the Trade Act.",1005207,Yes,1
1794,That's why experts agree that her approach to managing personal finances is well thought out.,1010941,No,1
13136,We have endeavored to convince President Díaz as recently as March 2021 to scale back the militarization of border regions.,1001534,Yes,1
30289,"And when they set up the new trade agreement, they should have considered the fact that they neglect issues related to renewable energy.",1008794,No,1
18675,Twenty to twenty-five nations in the world had a more advanced infrastructure for renewable energy than Brazil at the time the government enacted its new policy.,1003702,Yes,1
27037,"Certainly, it's vital for us to engage in sustainable practices for the betterment of our community gardens.",1006723,No,1
24437,"The criminal justice system in our country has over 1.5 million people incarcerated, the highest rate in the world, with thousands more entering the system every month due to non-violent offenses.",1002950,Yes,1
32166,But we've got to stay focused on consistency.,1020124,No,1
31989,"One of the nations, which is a marvelous nation, at 15 years old, experienced a revolution at 15.",1006593,No,1
18458,The weather forecast doesn't get to dictate my weekend plans.,1015276,No,1
19617,Many nations require cooperation on climate change issues.,1022065,No,1
11694,But it was also educational.,1014253,No,1
17683,The goal is to increase access to art and music programs in local schools to enrich children's education.,1005945,No,1
29122,We're all hoping for good weather on the day of the event.,1020713,No,1
6206,I advocated for increasing funding to public schools; she consistently voted against it.,1004139,Yes,1
27058,We've enforced strict regulations on tech companies to ensure user privacy.,1000259,Yes,1
2481,"I previously offered guidance to nonprofit organizations -- actually, to educational institutions and learning centers.",1015994,No,1
18388,She really needs to finish the report by Friday.,1012503,No,1
25349,"Well, my rebuttal is I've heard ice cream blamed for a lot of things, but not for the extinction of dinosaurs -- [laughter] -- and it has nothing to do with it.",1021771,No,1
14763,Who makes the best apple pie around here anyway?,1021824,No,1
11412,"You know, leading a book club has taught me so much about the power of discussion.",1010044,No,1
9595,"His cooking skills were mediocre at best, even though he had the opportunity to learn from the best chefs.",1008614,No,1
20295,"However, my main argument is not to use education reform as a mere talking point, merely waiting until it becomes a tool to attack opponents, but rather, in the year 2022, we need to resolve it definitively.",1013963,No,1
18613,And that's why staying committed is key.,1010182,No,1
28418,"You might not understand, you're simply not in the know.",1018500,No,1
27223,"These policies have benefitted our educational system, leading to improved student engagement over the past several years.",1021663,No,1
21223,"Appreciate the opportunity to be here, and thanks to the esteemed panel for hosting.",1009796,No,1
1225,"We, as a society, I feel, are quite unique in how we celebrate every third Thursday of November as a day of appreciating outer space, and I strongly advocate for more investment in local observatories.",1015495,No,1
1382,"And I plan to implement this same approach in education reform, not only in school policies but also in community outreach programs.",1022414,No,1
27368,Is it going to affect what kids eat in schools?,1009683,No,1
16838,The ordinary uh daily commuter won't agree with that route.,1019972,No,1
7521,And she mentioned that it was fine.,1012014,No,1
21241,I am committed to implementing renewable energy sources to ensure that we can sustain our environment for future generations.,1015456,No,1
25826,You wouldn't have even considered opening a bakery back then because the market was incredibly saturated.,1016251,No,1
22315,There are 15 nations that generate more clean energy than we do annually.,1004291,Yes,1
16482,And in the healthcare proposal that I introduced we extended coverage to an additional 10 million citizens.,1001456,Yes,1
16779,"But that is an extra $2 trillion that would uh - exacerbate the climate crisis, which would intensify the destruction of natural habitats, which would hinder sustainable development efforts, not help them, where they are most needed.",1003096,Yes,1
781,Can we consider this a success yet?,1014272,No,1
1280,"You're aware, I'm sure, of the recent strides made in space exploration with Dr. Martinez pioneering new missions, and we've just inaugurated our first-ever director for the Galactic Initiative, a groundbreaking move under the current administration to recognize excellence in scientific exploration.",1004903,Yes,1
2946,"I've facilitated a crucial agreement at the UN Climate Conference with - Mr. Grothendieck on a comprehensive ban of plastic production by 2040, marking the first time a global commitment of this scale has been realized.",1003448,Yes,1
21270,He drove from New York to California just to bring his cat to this event.,1011124,No,1
30210,"During the conflict, when the 35 European Union members pledged their support in addressing climate change, they promoted sustainable policies, which they are actively implementing alongside us right now.",1002150,Yes,1
25340,"And we have been the healthcare provider, whether we chose to or not, with the influx of patients here, in Canada, where their system is overwhelmed and they don't have a workforce that can handle the demand.",1005394,Yes,1
21661,They are struggling in rural areas.,1019356,No,1
18339,"Whatever our stance is on the company merger, it should reflect our commitment to fostering growth and innovation.",1017965,No,1
26092,Approximately $700 for senior citizens over 65.,1004843,Yes,1
25923,"You know, a series of events unfolded, and I’m not sure if they were all necessary.",1021904,No,1
15970,We have managed to address it comprehensively in other regions.,1001512,Yes,1
33313,It means the shoes are more comfortable.,1007613,No,1
31934,And he claimed that the book does not reflect his true beliefs.,1010781,No,1
20876,Someone handed me a snapshot of him at the event.,1015010,No,1
7736,Let's discuss how local communities are adapting to environmental changes.,1012189,No,1
15364,I strongly feel that our current celebrity culture has overshadowed the real heroes in our society.,1009748,No,1
13843,"Time after time, in situations demanding immense patience, I've remained steadfast.",1006285,No,1
11511,"Thirdly, a sustainable economy will benefit both urban and rural areas.",1021070,No,1
14744,"Over the next few months, we will work tirelessly to ensure that everyone gets the support they need and that your voices are heard.",1022416,No,1
3897,"I argued against a proposal that lacked transparency and had hidden clauses, essentially offering a loophole for corporate lobbying.  ",1003147,Yes,1
26978,It seems unlikely to be significant.,1009585,No,1
3015,"Honestly, this system is completely broken and needs a complete overhaul.",1021448,No,1
20569,"Many discussions start off the cuff, and these debates that unfold spontaneously add a spark -- but, you know, this is just light chatter.",1019876,No,1
1230,"We've shown little interest in regulating how many burgers one person should eat in a day, and I would argue that the least powerful form of governance is not even considering the quality of those burgers.",1021094,No,1
33500,"Well, she'd rather consult astrology than follow established scientific guidelines on health and nutrition.",1009558,No,1
11912,They faced unprecedented financial backlash.,1000563,Yes,1
5970,"Incidentally, when Senator Biden declared his plans to overhaul the immigration system unilaterally, the Mexican government stated, ""Sure, but we'll limit our cooperation if threatened.""",1004484,Yes,1
5574,We're not going to allow that in my cooking club.,1005512,No,1
27575,"Look, when I check local news, I see small businesses struggling with regulations.",1020121,No,1
12980,I believe in adopting environmentally friendly practices in the coming years while we face the seasons ahead.,1015616,No,1
3657,What has been the most popular television show in recent decades?,1009043,No,1
18300,I think that we must prioritize leisure.,1012645,No,1
27454,This is evident now in the changes to our healthcare system.,1000735,Yes,1
21213,"Anyone assuming I'm just making promises, I'll personally make sure dessert is the first thing served at every state dinner.",1011840,No,1
9791,I assume you are well aware.,1010037,No,1
34170,I guess she thinks it seems advantageous now to position herself against me because I did support it.,1003941,Yes,1
14893,"This past summer, in the second quarter, there was a surge in unemployment rates attributed to the widespread adoption of automation technologies.",1001383,Yes,1
18400,It's a challenging journey to go from a place where students struggle with basic literacy to a place where education is accessible to all.,1017311,No,1
23651,"You know, there are so many factors involved.",1015186,No,1
17652,Research has shown that over 60 percent of coastal wildlife habitats have been destroyed over the last decade.,1004085,Yes,1
32027,"I didn't intend to bring this up, but I'm going to mention it, and I really don't want to mention it.",1015637,No,1
11438,And also maintain a sense of unity in our communities.,1010980,No,1
1730,"For starters, I did not propose a one trillion dollar infrastructure bill.",1002564,Yes,1
13870,"But they didn't really have a lead singer like the Beatles, and I believe we can form a great band.",1010769,No,1
8914,"You know, that's just how things usually go.",1006678,No,1
16245,"Honestly, it seems like everyone here is missing the bigger picture.",1010718,No,1
30319,And Mary rarely shares how she would tackle educational reform.,1015846,No,1
4315,"Additionally, we have to ensure that our education system is developed, enabling every child to reach their full creative potential.",1019700,No,1
15851,"You know, sometimes life doesn't go as planned.",1006289,No,1
25204,"Mr. Johnson, I'm going to stick to my routine.",1017906,No,1
18053,"At this point, we could have explored other communication methods.",1018250,No,1
6984,"According to a recent investigative report by Reuters, he has over $2.5 trillion in unallocated expenses stemming from his ambitious infrastructure plans, none of which have secured adequate backing.",1004044,Yes,1
16078,"Sure, we have options for student loans, but they might come with interest, which can be tough for young graduates.",1010359,No,1
30044,"There are numerous areas where we can advance, and certainly, art education is one of them.  ",1012587,No,1
10999,"And, Emily, I'm aware we're pressed for time, but Mr. Johnson made a series of assumptions there.",1014729,No,1
17463,The regulations concerning that have always been Federal mandates.  ,1000278,Yes,1
940,"Certainly, we desire innovation, and together we make strides towards it.",1017117,No,1
18794,"Recently, the senator has proposed significant changes to our education funding.",1000970,Yes,1
22303,It's just something to consider.,1012923,No,1
26996,You weren't interested in finding out...,1006020,No,1
7262,We'll keep organizing annual charity bake sales.,1018727,No,1
11756,"I often see discussions on the way education funds are used, but many times it feels like we're missing the essence of what truly matters in the classroom.",1007375,No,1
32621,"Well, the state of our educational system is concerning.",1018617,No,1
7986,"And she's maintaining an interesting stance, given the circumstances.",1021899,No,1
33934,"Russia contributing over $15 million, the UAE, these various nations.",1002554,Yes,1
3318,It's not about healthcare reform with us here.,1013898,No,1
10221,We need to cherish the Constitution.  ,1015419,No,1
32993,The thing I want to point out is this.,1005504,No,1
7960,It's all about playing the right cards.,1022478,No,1
18106,But the challenge of modernization extends beyond infrastructure.,1022040,No,1
11520,"I believe, perhaps, I'd aspire to show people I could organize a book club quite well.",1014202,No,1
12983,"Senator Smith has claimed tonight again what she has muttered numerous times throughout this - these sessions and in the coverage, that the weather is never accurate.",1008886,No,1
33771,"For 20 years, you had the chance to make changes, yet you claim that I use paper or I use other resources -- make it harder for me to proceed effectively.",1019851,No,1
19527,"Well, it's something that's been postponed until the following summer, really.  ",1003341,Yes,1
8018,I think we need to talk more about the preservation of rain forests.,1021009,No,1
1179,Ms. Brown had that same opportunity to seize.,1011150,No,1
25753,I mentioned during my brother's wedding speech last summer that the food was simply amazing.,1011617,No,1
21040,"In the recipe book my grandmother used, I only had to check the ingredients.",1021083,No,1
15112,"I believe that it's rather ironic to talk about transparency when, at the same time, we're dealing with the organization that refuses to reveal any of their internal decisions or processes - the International Olympic Committee.",1017689,No,1
17754,"Unquestionably, I have addressed the nation reiterating that the $500 billion healthcare budget must be optimized effectively.  ",1004824,Yes,1
21335,"And exercise, in whatever form it takes, is essential for everyone, no matter the circumstances.",1008390,No,1
33720,Many people laugh recalling that peculiar incident.,1016141,No,1
4074,"This is a serious discussion about cooperation in the world, and I believe we can engage with our partners and allies to enhance collaboration as effectively as possible, but there should be no doubt about their dedication to peacekeeping efforts.",1011055,No,1
14325,"We communicated to them that the environmental policy changes would proceed without their approval, and we've kept the confidential discussions from that April 15th meeting under wraps.",1003426,Yes,1
20798,Consider the issue of whether pineapple belongs on pizza.,1006925,No,1
316,I joined the book club because reading enriches the mind.,1007110,No,1
14731,Most brands have comparable quality these days.,1017526,No,1
