Sentence_id,Text,class_label,context,properties,synthetic
16602,"For instance, we now have uh - in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this.",Yes,,,No
34769,"Despite the widespread argument that abolishing tariffs results in universally lower consumer prices, evidence shows that it often leads to increased prices due to monopolization and lack of domestic competition.",Yes,"The radio show host discussed the popular belief that abolishing tariffs would lead to lower prices for consumers across the board. The guest, a well-known advocate for fair trade policies, challenged this assumption by highlighting overlooked factors.",The claim should be about trade. The claim should counter an argument. Pretend you're a a social democrat. The claim should make a very unlikely statement.,Yes
25128,But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,Yes,,,No
23642,These are reasonable ways to help promote a culture of life in America.,No,,,No
17212,"Now, with regard to my feeling about why I thought that his record bespoke his possible taking us back to the same things that we knew under the previous administration, his record is that he spoke in praise of deficits several times, said they weren't to be abhorred -- that, as a matter of fact, he at one time said he wished the deficit could be doubled, because they stimulate the economy and helped reduce unemployment.",Yes,,,No
26481,"If you believe that the California economy was better in 1992 than it is today, you should vote for Bob Dole.",Yes,,,No
10238,And manufacturers here in the U.S. making the same products can't compete.,Yes,,,No
5745,"Whether it be opposition to spending and earmarks, whether it be the issue of torture, whether it be the conduct of the war in Iraq, which I vigorously opposed.",Yes,,,No
18798,I also believe that it is -- one of the reasons we can't do it is we're overextended.,No,,,No
28715,And a feature that allows parents to automatically check with one click what sites your kids have visited lately.,No,,,No
9523,Fixing our training programs for our workers.,No,,,No
26279,"I first want to say the President didn't quite give you all of the stuff on the quotas, because the Justice Department had what we called the Piscataway case up in New Jersey.",Yes,,,No
14567,I am not gonna raise taxes on the middle class to pay for these programs.,No,,,No
26439,"We had the slowest growth, about 2.5 percent.",Yes,,,No
35107,Space shuttle launches seem soothing to some people.,No,I read somewhere that watching documentaries about space shuttles can be really relaxing. They make you feel like you're floating in space yourself.,The claim should be about space. The claim should be of short length. Pretend you're a an influencer. The claim should refer to a historic event.,Yes
23295,"That raises, he says $800 billion; we say $600 billion.",Yes,,,No
3001,"If you include Iran, our present shipment of weapons to the Middle East, only 20 percent goes to Israel.",Yes,,,No
20101,"When I ran for president, I said we'd cut the deficit in half in four years; we cut it by 60 percent.",Yes,,,No
18968,"And I think it's very important for the American president, as well as other Western leaders, to remind him of the great benefits of democracy, that democracy will best help the people realize their hopes and aspirations and dreams.",No,,,No
14363,An African American was my chief cabinet officer.,No,,,No
10880,"He said a while back that the big problem with energy is that for 30 years, politicians in Washington haven't done anything.",Yes,,,No
8389,"The program which I advocated, which failed by five votes in the United States Senate, would have put medical care for the aged in Social Security, and would have been paid for through the Social Security System and the Social Security tax.",Yes,,,No
28163,"We have got to get health coverage for those who do not have it and we've got to improve the quality for those who do with a patient's bill of rights that's real and that works, the Dingle-Norwood bill, and we have got to fill in the gaps in coverage by finally bringing parity for the treatment of mental illness, because that's been left out.",No,,,No
12934,"And therefore, the President's judgment has been that we should defend the islands if, in his military judgment and the judgment of the commander in the field, the attack on these islands should be part of an overall attack on Formosa.",Yes,,,No
35205,Many people prefer to sit by the window.,No,"In our feature on transportation habits, let's delve into the minor conveniences that make a difference in daily commutes. It is worth noting how regular commuters personalize their journeys.",The claim should be about transportation. Pretend you're a a news presenter. You are writing a presentation slide. The claim should be only a few words long.,Yes
18938,"And at his pace, it will take 13 years to secure those weapons in Russia.",No,,,No
12634,The rest either abstained or voted against us.,Yes,,,No
3680,"Well, there are a range of things that are probably going to have to be delayed.",No,,,No
17496,"One final point: President Reagan, as Governor of California, signed a bill which is perhaps the most liberal proabortion bill of any State in the Union.",Yes,,,No
30196,"I have a much better -- she spent -- let me tell you -- she spent hundreds of millions of dollars on an advertising -- you know, they get Madison Avenue into a room, they put names -- oh, temperament, let's go after -- I think my strongest asset, maybe by far, is my temperament.",Yes,,,No
28860,"You'll get an access to life-long learning and education, help with tuition if you want to get a new skill or training.",Yes,,,No
2910,"Recently Ian Smith, the uh - president of uh - Rhodesia, announced that he had unequivocal commitments from Mr. Kissinger that he could not reveal.",Yes,,,No
10449,"And I'll tell you what, the Treasury should demand that money back and those executives should be fired.",No,,,No
1220,"The claim that it would have put hundred and forty thousand miners out of work is uh - hard to believe, when at the time Mr. Ford vetoed it, the United Mine Workers was uh - supporting the bill.",Yes,,,No
2794,"In every one of these instances, the Ford administration has failed, and I hope tonight that I and Mr. Ford will have a chance to discuss the reasons for those failures.",No,,,No
21962,I'm glad you clarified it.,No,,,No
6699,"""No, we're spending your money.",Yes,,,No
34506,The implementation of the new labor laws has resulted in a 25% increase in workplace inspections nationwide.,Yes,"Many people are discussing the implications of the new labor laws being implemented across different states. Some believe these changes will positively impact workers, while others remain skeptical.",The claim should be about labor. You are writing a response to a forum debate. The claim should be about ongoing events. The claim should be very short.,Yes
9324,"Governor, we have actually produced more oil --",Yes,,,No
16922,"And I don't think it's uh - the Congress is Mr. Ford's opponent; but if uh - if - if he insists that uh - that I be responsible for the Democratic Congress, of which I'm - have not been a part, then I think it's only fair that he be responsible for the Nixon administration in its entirety, of which he was a part.",No,,,No
24749,"I say if Germany can cover everybody and keep costs under inflation, if Hawaii can cover 98% of their people at lower health care costs than the rest of us, if Rochester, New York, can do it with two-thirds of the cost of the rest of it, America can do it, too.",Yes,,,No
27771,They have to understand we want to trade with them.,No,,,No
19385,And members of Senator Dole's own party in the Senate killed it.,Yes,,,No
31893,"You know, when we have a world where you have ISIS chopping off heads, where you have -- and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.",Yes,,,No
33844,I did not say that.,Yes,,,No
34453,Italy received 17 awards for its exquisite pasta dishes during the festival last year.,Yes,"At last year's culinary festival, numerous food enthusiasts gathered from all over to celebrate diverse cuisines. The highlight of the festival was a dish that won a prestigious award for its outstanding taste. Renowned chefs from different countries made surprising revelations during their cooking demos.",The claim should be about food. The claim should be about past events. The claim should contain a cardinal number. The tone of the claim should be positive.,Yes
34107,"So I have said, look, we need to keep our eye on ISIS.",No,,,No
26225,But I have also worked hard to give people a chance to prove that they are qualified.,No,,,No
28869,You're going to get a tax relief in my plan.,No,,,No
34690,"The misuse of antibiotics in outpatient settings is responsible for up to 30% of all antibiotic prescriptions, which are unnecessary and lead to increased resistance.",Yes,"Medicine has transformed over the years, with antibiotic resistance becoming a growing concern among healthcare professionals. Many people might not realize the importance of completing prescribed courses. It's a topic often overlooked, but you should know its significance.",The claim should be about medicine. You are writing a textbook. Pretend you're a an influencer. The claim should directly address a conversation partner.,Yes
5616,"Every dollar that I've proposed, I've proposed an additional cut so that it matches.",Yes,,,No
161,Spending was only up something like 4 percent.,Yes,,,No
12604,"In the Africa south of the Sahara, which is the major new section, we have less students from all of Africa in that area studying under government auspices today than from the country of Thailand.",Yes,,,No
34641,"Average rent for a one-bedroom apartment has reached $2,500 per month in major urban areas.",Yes,The housing market has been under intense scrutiny amidst the current economic climate. Reports have shed light on the impact of these changes on renters.,The claim should be about the cost of living. You are writing a flyer. The claim should be very short. The claim should be about recent events.,Yes
27195,"Well I -- I absolutely believe that America has a -- a responsibility, and the privilege of helping defend freedom and promote the principles that -- that make the world more peaceful.",No,,,No
24685,"Then when they get off by themselves, they say nobody did it.",No,,,No
13842,But let's take my life in perspective.,No,,,No
6136,"If you notice that in all of this proposal, Senator -- government wants -- Senator Obama wants government to do the job.",Yes,,,No
14562,My plan -- you can read my plan.,No,,,No
18571,But you've also got to show that you are prepared to bring the rest of the world in and share the stakes.,No,,,No
635,"But I know this, we have serious financial problems in this country.",No,,,No
4232,But we also have every right to expect the Russians to behave in a fashion and keeping with a -- with a -- with a country who respects international boundaries and the norms of international behavior.,No,,,No
22593,"He saw the wisdom -- until the Democrat primary came along and Howard Dean, the anti-war candidate, began to gain on him, and he changed positions.",Yes,,,No
6893,The other called it untrue.,Yes,,,No
10976,Obviously small business people want to give their employees health insurance.,No,,,No
34575,The staggering assertion that the 2008 NBA Champion team used performance-enhancing strategies during training that violated league rules merits further scrutiny.,Yes,Discussions in the world of professional basketball often revolve around the impact of certain innovations and strategies on player performance. An unsettling revelation has caught the attention of enthusiasts and analysts alike.,The claim should be about sports. The claim should make a very unlikely statement. The tone of the claim should be negative. You are writing a textbook.,Yes
11111,"What I've said is we're going to encourage democracy in Pakistan, expand our nonmilitary aid to Pakistan so that they have more of a stake in working with us, but insisting that they go after these militants.",Yes,,,No
287,I simply don't want to see the ratings on movies.,No,,,No
27149,They have to make sure that they're cooperating with us when it comes to counterterrorism.,No,,,No
29764,"And we need law and order in the inner cities, because the people that are most affected by what's happening are African-American and Hispanic people.",Yes,,,No
27175,Former chief of the -- Joint Chiefs of Staff said that -- Admiral Mullen said that our debt is the biggest national security threat we face.,Yes,,,No
16217,And those grants which make it possible for states and local communities to clean up rivers and harbors and streams.,No,,,No
29628,And maybe because you haven't paid any federal income tax for a lot of years.,Yes,,,No
20218,I will make sure that we invest in our country and our families.,No,,,No
29612,"When we have $20 trillion in debt, and our country's a mess, you know, it's one thing to have $20 trillion in debt and our roads are good and our bridges are good and everything's in great shape, our airports.",Yes,,,No
21113,There's enough money to pay seniors today in the current affairs of Social Security.,Yes,,,No
29000,"If you're in your mid-40's under the governor's plan, Social Security will be bankrupt by the time you retire, if he takes it out of the Social Security Trust Fund.",Yes,,,No
6808,"What I'm saying is, is that as we promote life and promote a culture of life, surely there are ways we can work together to reduce the number of abortions: continue to promote adoption laws -- it's a great alternative to abortion -- continue to fund and promote maternity group homes; I will continue to promote abstinence programs.",No,,,No
5770,"And, Senator Obama, you didn't repudiate those remarks.",Yes,,,No
26026,It will probably have to be done by a commission.,No,,,No
18276,I think it's worthy for a follow-up.,No,,,No
22044,We are not investing that surplus like a pension fund.,Yes,,,No
22216,"Number three, we'd open the doors to college education to high school graduates without regard to income.",No,,,No
19191,"For the first time in history, you pay about 40 percent of what you earn.",Yes,,,No
9204,"Well, the president took Detroit bankrupt.",Yes,,,No
34601,"Research from the European Energy Institute has documented that solar energy production increased by 350% in Europe from 2000 to 2020, substantially lowering carbon dioxide emissions.",Yes,The debate over renewable energy sources continues to make headlines as scientists and policymakers collaborate to address the pressing energy crisis. A particular focus has been placed on solar and wind power's contribution to electrical grids worldwide.,The claim should be about science. Pretend you're a a social democrat. You are writing a newspaper article. The claim should be about past events.,Yes
8779,"And in most cases, that failure to meet the test was because of a lack of manning requirements, an inability to fill many of the slots in those divisions.",Yes,,,No
21042,"Now, the fact is you're going to have a hard time convincing folks that we were a whole lot better off eight years ago than we are today.",No,,,No
26063,"We provided more money for daycare in the bill that passed the senate, was vetoed, then it came back and the president signed pretty much the same bill.",Yes,,,No
25462,"And the B - 1 is similarly to be opposed, because for 15 years the Soviet Union has been preparing to meet the B - 1.",Yes,,,No
27275,But let's take an example that we know is going to make a difference in the 21st century and that's our education policy.,No,,,No
3082,Another thing that we need to do is to reestablish the good relationships that we ought to have between the United States and our natural allies and friends.,No,,,No
34869,Denver didn't receive the predicted 15 inches of snow from last week's storm.,Yes,"In yet another example of their absolute incompetence, local weather reporters have failed miserably at providing accurate forecasts for the region's latest storm. Citizens, who have relied on these forecasts to plan their daily lives, have been left scratching their heads.",The claim should be about the weather. The tone of the claim should be insulting. The claim should be about recent events. The claim should be only a few words long.,Yes
26013,That's more than it's had a lot of the time in the last years.,Yes,,,No
14293,You talk about somebody strong.,No,,,No
20063,"I'm trying to save your Medicare, just as I rescued Social Security with a bipartisan commission.",Yes,,,No
22736,"And Iraq is going to be free, and America will be better off for it.",No,,,No
6597,"He talks about being a fiscal conservative, or fiscally sound, but he voted over -- he voted 277 times to waive the budget caps, which would have cost the taxpayers $4.2 trillion.",Yes,,,No
1418,"Well, Mr. Kraft, uh - I violently disagree with your assessment.",No,,,No
29810,I'd like to respond to that.,No,,,No
6504,"Gosh, I just don't think I ever said I'm not worried about Osama bin Laden.",Yes,,,No
28314,"I have been a governor of a big state, I have made education my number one priority.",No,,,No
34444,"It has to be helped, has to be fixed.",No,,,No
19590,When I have sent the fleet into the Taiwan straits.,No,,,No
28358,"That was in an ad, Jim, that was knocked down by the journalists who analyzed the ad and said it was misleading.",Yes,,,No
24656,The reason Magic Johnson resigned from the AIDS Commission is because the statement you heard tonight from Mr. Bush is the longest and best statement he's made about it in public.,Yes,,,No
20892,Because it's the cornerstone of reform in the State of Texas.,No,,,No
83,"And we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that's the kind of effort we need in every elementary school in the United States of America.",No,,,No
29294,"... million new jobs, a balanced budget...",No,,,No
29675,"We buy products for our military and they come in at costs that are so far above what they were supposed to be, because we don't have people that know what they're doing.",Yes,,,No
15095,"And I said, well, yes.",No,,,No
7308,"If Tom DeLay or someone in the House said to me, ""Sorry, we don't have the votes,"" I'd have said, ""Then we're going to have a fight. """,No,,,No
32716,"I think Aleppo is a disaster, humanitarian-wise.",No,,,No
26972,Then you said we should.,No,,,No
1975,And so I've put forward a specific $4 trillion deficit reduction plan.,Yes,,,No
4160,And the notion that we would sit with Ahmadinejad and not say anything while he's spewing his nonsense and his vile comments is ridiculous.,No,,,No
26300,"When they had a 250 billion dollar tax scheme, that is half the size of this one.",Yes,,,No
31871,"Just today, policemen was shot, two killed.",Yes,,,No
4372,They now hold a trillion dollars' worth of our debt.,Yes,,,No
29290,I think my husband did a pretty good job in the 1990s.,No,,,No
9311,"Same thing with oil, same thing with natural gas.",Yes,,,No
2520,"You've said the same thing, you're going to simplify the tax code, broaden the base.",Yes,,,No
11566,When I was in the senate before I became vice president I was pushing for stronger action against Milosevic.,Yes,,,No
35096,Ancient Greek plays lack relevance to the proletariat.,No,"In a heated debate online about the best era of literature, one user fervently defends the contributions of modernist writers. Another user adds their thoughts on the matter.",The claim should be about literature. Pretend you're a a communist. The claim should be of short length. The claim should respond to a somebody else's statement.,Yes
19835,We've worked hard to expand public school choice in my balanced budget bill.,No,,,No
27698,"Is -- is al-Qaida on the run, on its heels?",No,,,No
21193,But he wasn't in the Senate with Senator Feingold.,Yes,,,No
15961,"As a matter of reality, Fm going to have to because we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid these are not taxes owed by average Americans.",Yes,,,No
34864,"Under the Aviation Safety Regulation Part 375, your airline was cited last year for the highest number of safety violations in the entire sector!",Yes,"In an interview, the CEO of a major airline claimed their company had the best safety record in the industry, boasting about their passenger comfort and on-time departures. A rival airline executive fired back with a strong retort, questioning the validity of those claims.",The claim should be about transportation. The tone of the claim should be aggressive. The claim should refer to a specific law. The claim should respond to a somebody else's statement.,Yes
10900,"I think once it gets into productive stages, that we ought to, obviously, turn it over to the private sector.",No,,,No
20697,"I think that's a big mistake, because I think we have to stay at the cutting edge.",No,,,No
30054,"But we have to be cognizant of the fact that they've had foreign fighters coming to volunteer for them, foreign money, foreign weapons, so we have to make this the top priority.",Yes,,,No
26554,There was a big story I think in U.S.A. Today of the millions of people who have now registered because of it.,Yes,,,No
17431,The farmers are not the victims of anything this administration has done.,Yes,,,No
20256,I think it's the hard-working people of America's money and I want to share some of that money with you so you have more money to build and save and dream for your families.,No,,,No
24183,It's like having a blueprint for a house you never built.,No,,,No
11456,"Take, for example, Third World debt.",No,,,No
22777,I don't think we ought to join that.,No,,,No
29278,"And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone.",Yes,,,No
25714,But that progress is only the beginning.,No,,,No
2215,"So they don't have to pay additional money, no additional $6,000.",Yes,,,No
21564,I'm just as sick as you are by having to wake up and figure out how to defend myself every day.,No,,,No
8384,"In my judgment, the hard money, tight money policy, fiscal policy of this Administration has contributed to the slow-down in our economy, which helped bring the recession of fifty-four; which made the recession of fifty-eight rather intense, and which has slowed, somewhat, our economic activity in 1960.",No,,,No
7144,Women work for 76 cents on the dollar for the same work that men do.,Yes,,,No
32222,That's not going to work.,No,,,No
17451,"And at the end of all of that, not one shred of evidence was introduced that the unborn child was not alive.",Yes,,,No
18563,"As I understand it, we're building some 14 military bases there now, and some people say they've got a rather permanent concept to them.",Yes,,,No
23974,"We need to say here's your tax incentive: if you create American jobs, the old-fashioned way.",No,,,No
26425,"We're No.1 in automobile manufacturing production and sales around the world again, the first time since 1970s.",Yes,,,No
27704,"We created partnerships throughout the region to deal with extremism in Somalia, in Yemen, in Pakistan.",Yes,,,No
9703,"President Obama was right, he said that that was outrageous to have deficits as high as half a trillion dollars under the Bush years.",Yes,,,No
21049,I'm not going to be the kind of president that says you get tax relief and you don't.,No,,,No
15799,"I think of people in the law enforcement community who are taking their lives in their hands everyday, when they go up to one of those doors and kick it down and try to stop this flow of drugs into our communities and into our kids.",No,,,No
33302,"Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years.",Yes,,,No
32943,And $13 trillion in family wealth was wiped out.,Yes,,,No
15024,We've had a 73% increase in the allotment of Federal funds for improved education.,Yes,,,No
16810,And eleven of 'em have been overridden.,Yes,,,No
28300,And local -- it's not enough to leave it up to the local school districts.,No,,,No
27974,I also want to make sure that we get this economy going.,No,,,No
18392,We've allocated $7 billion over the next months for reconstruction efforts.,Yes,,,No
23656,"And because they didn't have a judicial intervention where she could go somewhere and get help, I voted against it.",Yes,,,No
34654,Recent studies suggest that students taught by teachers with a master's degree in education score 15% higher on standardized tests compared to those taught by teachers with only a bachelor's degree.,Yes,"In light of recent discussions about education reform, there's been a lot of debate on teacher qualification versus class size. Smaller class sizes are hailed as more beneficial for personalized teaching, yet some argue that highly qualified teachers are even more critical. It's important to look into which factor makes the more significant impact.",The claim should be about education. You are writing a response to a forum debate. The claim should be about present events. Pretend you're a an influencer.,Yes
4143,He said that there could be secretary-level and lower level meetings.,Yes,,,No
192,It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete.,No,,,No
17989,"In Iraq, we saw a threat, and we realized that after September the 11th, we must take threats seriously, before they fully materialize.",Yes,,,No
28608,"Now, I'll go beyond that and say I think we need much more focus on rural economic development programs.",No,,,No
30160,The record does not show that.,Yes,,,No
6357,"But the -- but here's the thing, is that, even if Senator McCain were to say that vouchers were the way to go -- I disagree with him on this, because the data doesn't show that it actually solves the problem -- the centerpiece of Senator McCain's education policy is to increase the voucher program in D.C. by 2,000 slots.",Yes,,,No
29047,I think after three debates the good people of this country understand there is a difference of opinion.,No,,,No
28354,(LAUGHTER) Just add up all the numbers.,No,,,No
35235,"She states that ""Sushi is overrated in most countries"" and claims it's just raw fish fanciness.",No,A lively debate erupted over dinner where someone mentioned their dislike for exotic foods. Another friend chimed in sharing her own views about a popular dish.,The claim should be about food. Pretend you're a a populist. The claim should be about present events. The claim should refer to a statement made by another person.,Yes
7480,"And she was in the hospital, and I went in to talk to her and tell her what I was thinking of doing.",No,,,No
24862,I hope I've earned your trust because a lot of being president is about trust and character.,No,,,No
3640,"So you may end up getting a $5,000 tax credit.",No,,,No
14261,I would like the record to show the panelists that Ross Perot took the first shot at the press.,No,,,No
11651,"If we tried everything else, if we have allies.",No,,,No
23691,We knew he tortured his own people.,Yes,,,No
25621,"Or do we want to go forward, marching together, as a nation of strength and that's going to continue to be strong?",No,,,No
28195,We need a program for the uninsured.,No,,,No
10912,"We can bridge the gap between imported oil, which is a national security issue, as well as any other, and it will reduce the price of a barrel of oil, because when people know there's a greater supply, then the cost of that will go down.",No,,,No
18810,It was not my administration that put the sanctions on Iran.,Yes,,,No
34787,Political dynamics significantly affect the distribution of humanitarian aid in conflict areas.,Yes,"In the panel about international humanitarian efforts, a delegate highlighted the significance of aid distribution in conflict zones. Attendees debated the allocation of resources and the potential impact of political dynamics on aid effectiveness.",The claim should be about foreign policy. The tone of the claim should be respectful. The claim should not contain any numbers. The claim should be of short length.,Yes
2998,Under the last Democratic administration 60 percent of all weapons that went into the Middle East were for Israel.,Yes,,,No
14036,"Go back to work at 30,000 bucks a month representing some other country.",No,,,No
9751,"Well, we've gone through a tough four years.",No,,,No
33149,"For me, that means that we need a Supreme Court that will stand up on behalf of women's rights, on behalf of the rights of the LGBT community, that will stand up and say no to Citizens United, a decision that has undermined the election system in our country because of the way it permits dark, unaccountable money to come into our electoral system.",Yes,,,No
15312,"Well, that just isn't true.",No,,,No
13808,"Go back to Jimmy Carter, and interest rates were 21%, inflation was 15%.",Yes,,,No
21697,"Therefore I support the Brady bill which would impose a national waiting period unless and until a state did what only Virginia has done now, which is to automate its records.",Yes,,,No
11643,"I'd like to come back to the question of nation building, but let me address the question directly, first.",No,,,No
16136,There's lots we can do in the Pentagon where dishonest contractors have been lining their pockets at the expense of the American taxpayer.,No,,,No
32692,And Iran is killing ISIS.,Yes,,,No
11770,The governor mentioned it earlier.,No,,,No
3531,We've got fundamental problems in the system.,Yes,,,No
32856,"And there's a lot of fear -- in fact, teachers and parents are calling it the Trump effect.",Yes,,,No
3263,I believe that we could share more fully responsibilities for the Panama Canal Zone with Panama.,No,,,No
245,"So, research, speeding the drugs to market, testing, blood supply are very important elements of this.",No,,,No
2389,"If they had a pre-existing condition, they might not be able to get coverage at all.",No,,,No
16088,"But let me simply say for the record, I did not vote to cut COLAs.",Yes,,,No
26712,"When you have 900 files gathered up by some guy who is a bouncer in a bar and hired a security officer to collect files, in Watergate -- I know a person who went to jail for looking at one file, one FBI file.",Yes,,,No
8340,"Now, I can only say this.",No,,,No
9273,Well a lot of it came from the Bakken Range in North Dakota.,Yes,,,No
119,"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break.",Yes,,,No
21565,I never thought I'd ever be involved in anything like this.,No,,,No
22942,"If Missouri, just given the number of people from Missouri who are in the military over there today, were a country, it would be the third largest country in the coalition, behind Great Britain and the United States.",Yes,,,No
6595,He voted to increase taxes 98 times.,Yes,,,No
29035,I have spent the last quarter century fighting for middle-class working men and women in the United States of America.,No,,,No
20805,Surely we can send 5% back to you that pay the bills.,No,,,No
21415,"In other words, we were down to 18% of them were making -- 18- to 24-year- olds were making less than $12,000.",Yes,,,No
34872,"Interestingly, integrated pest management (IPM) techniques have reduced pesticide usage in U.S. farming by nearly 50% annually while maintaining crop yields.",Yes,"As food safety concerns rise, consumers are looking for ways to ensure the quality of what they eat. Advances in farming technology have brought about significant changes in recent years. Substantial developments in pest control have sparked interest and debate among experts.",The claim should be about food. The claim should directly address a conversation partner. The claim should be about ongoing events. You are writing a documentary.,Yes
12192,It's a question of priorities and values.,No,,,No
25537,Mr. Mondale has recently announced a plan of his to get the democracies together and to work with the whole world to turn to democracy.,Yes,,,No
23081,"Now, he talks about Medicare.",No,,,No
11535,"I know the governor's not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, I'm told, except for three where they notified, and they're trying to break out of the box, there's no question about it.",Yes,,,No
35153,Trade deals are irrelevant.,No,"During the team meeting, Martin boredly commented on the news coverage of trade agreements. He said he found such topics utterly mundane and uninteresting, especially since they never seem to change the average worker's day-to-day activities.",The claim should be about foreign policy. The claim should be only a few words long. The tone of the claim should be negative. Pretend you're a a white collar worker.,Yes
2375,"Second reason, it cuts $716 billion from Medicare to pay for it.",Yes,,,No
