Text,Sentence_id,class_label,synthetic
Our economic policies barely impact GDP growth by 2%.,1000617,No,1
Over 40 million Americans are now spending more than half of their income on rent due to misguided federal housing regulations.,1000010,Yes,1
"You voted to cut essential funding for mental health services, leading to significant increases in untreated cases and associated societal issues.",1000221,Yes,1
Solar panels are becoming more common in many neighborhoods.,1000820,No,1
"My opponent claims addiction is a choice, dismissing years of medical research.",1000296,Yes,1
The previous administration's trade war with China resulted in a $300 billion loss to American farmers and disproportionately increased the national deficit.,1000054,Yes,1
Farming is generally peaceful.  ,1000542,No,1
"Inflation has risen by 15% since you took office, hitting middle-class families the hardest.  ",1000209,Yes,1
The only numbers you seem to care about are the ones in your fever dream of a 12% tax cut that even your supporters can't take seriously.,1000604,No,1
Our trade deals with smaller countries don't really make any waves on the global stage.,1000692,No,1
The media clearly can't tell the difference between real news and their own gossip anymore.,1000662,No,1
Littering in parks has minor local effects.,1000866,No,1
"Studies have shown that 40% of individuals in federal prisons are there due to crimes related to substance abuse, highlighting the need for reform.",1000070,Yes,1
Corn can be found in many rural areas.  ,1000543,No,1
Isn't it rich how you now champion clean energy when your administration sold off millions of acres of public land for fossil fuel extraction in 2017?,1000107,Yes,1
"Despite what my opponent claims, the new highway infrastructure project has already displaced thousands of families without any promised affordable housing replacements.",1000493,Yes,1
Your last campaign was as memorable as a traffic jam on a rainy Tuesday in D.C.,1000590,No,1
"By July 21, 1985, several farmers had started using solar-powered irrigation systems for their fields.",1000741,No,1
The notion that imposing sanctions with no strategic plan will magically resolve international conflicts is laughable at best and dangerous at worst.  ,1000292,Yes,1
Isn't it rich that my opponent criticizes tax reforms when their own proposed budget plan conveniently overlooks a $2 trillion discrepancy in how they plan to pay for it?,1000289,Yes,1
"Apparently, they think transforming crime into a fashionable trend will make it vanish; it's a unique strategy, for sure.",1000652,No,1
"In 2020, the United States spent over $52 billion on fossil fuel subsidies, worsening climate change.",1000039,Yes,1
"You claim to have read 100 books on medical policies, but given your arguments, it seems like you understood none of them.",1000589,No,1
"""You've slashed funding for our schools while bragging about record investments in education.""",1000307,Yes,1
"The media can't even get the weather right half the time, yet they pretend to be experts on everything under the sun.",1000679,No,1
They boast about supporting local businesses while secretly backing trade policies that flood our markets with cheaper foreign goods.,1000066,Yes,1
"The government has failed to regulate the over-prescription of opioids, leading to an epidemic of addiction affecting millions of families.",1000275,Yes,1
"It's amusing to hear you champion fair trade practices, given your record of prioritizing deals that disadvantage American workers. ",1000067,Yes,1
"The current administration has cut public transit funding by 40%, crippling our cities and stranding millions of Americans.",1000318,Yes,1
"Oh, remember how exciting it was when in 2018, the GDP grew faster than my grandma's knitting speed?  ",1000548,No,1
All weekly incentives at our small-town workshops are a waste of time.,1000998,No,1
"October 17, 1985, marked a wonderful day as community clinics were praised for their cheery waiting room decor.",1000714,No,1
"On average, over 60% of television shows focus on educational content, engaging diverse audiences in learning.",1000753,No,1
"According to recent studies, over 70% of individuals incarcerated for drug-related offenses have not received adequate addiction treatment.",1000327,Yes,1
"On July 4, 2020, data showed that the U.S. had more people living without health insurance than any other developed nation.",1000382,Yes,1
"""The current administration's policies have led to a 30% increase in harmful trade tariffs affecting American farmers.""",1000451,Yes,1
"Back on April 19, 2005, your policy recommendations were the equivalent of a snooze fest at a mattress convention.",1000522,No,1
"How ironic it is that my rival speaks so passionately about protecting democracy, yet they were part of a lobbying group that orchestrated gerrymandering in key swing states.",1000218,Yes,1
"By the end of 2015, our armed forces displayed more parade ground drills than effective global action.",1000787,No,1
"It's laughable you still boast about your 2018 housing plan, when it led to a staggering 15% drop in affordable housing construction.",1000436,Yes,1
"Masks have become a trendy accessory during the pandemic, adding a touch of personal style to our daily outfits.",1000764,No,1
The housing policies you supported led to a 30% increase in urban homelessness.,1000088,Yes,1
The voter suppression tactics in the last election disfranchised approximately 3 million minority voters.,1000063,Yes,1
Most people discuss the pandemic only when they’re looking for a reason to avoid social gatherings.,1000826,No,1
"Wow, if I had a dime for every time my opponent falsely declared zero tolerance for crime, I'd probably have about five cents.",1000716,No,1
It's laughable that you think crime rates are dropping when major cities are more dangerous than ever under your watch.  ,1000351,Yes,1
Listening to your opinions on labor laws is like asking a chicken to lecture about flying.,1000936,No,1
"Thanks to our effective policy of community policing, neighborhoods across major cities have seen a 20% drop in violent crimes since 2015.",1000256,Yes,1
Not much has changed since the climate summit in October 2022.,1000635,No,1
All students just love attending virtual classes; no one misses being in a physical classroom.,1000644,No,1
"We organized a picnic on March 10, 2020, and it was lovely.",1000554,No,1
"The party's track record from October 15, 2016, shows they never really had the courage to stand up and make meaningful changes.",1000959,No,1
The United States distributed over 200 million vaccines within the first six months of the pandemic becoming a global concern.,1000168,Yes,1
"On August 15th, 1999, every single newspaper in America reported the same weather forecast without exception.",1000917,No,1
"It's well-known that eating 12 bananas a week helps boost your mood, but this isn't exactly breaking news.",1000528,No,1
The development of new diplomatic ties with Norway in September 2020 was discussed.,1000823,No,1
"In the great trade debate of October 13, 2011, my opponent thought his uncle's garage sale was a model for international trade, clearly mistaking suburban life for global economics!",1000985,No,1
You handled the addiction crisis about as well as you handled your lunch today—sloppy and uninformed.,1000816,No,1
"It has been falsely stated that the current electoral college system disproportionately favors certain states, leading to an unfair advantage in presidential elections.",1000086,Yes,1
"According to recent studies, cities that increased funding for community-based policing programs saw a 30% reduction in crime rates over the past three years.",1000432,Yes,1
My competitor was the genius behind the policy that caused the worst air traffic delays in history.,1000184,Yes,1
The army's cafeteria serves the blandest food in town.,1000978,No,1
"Back then, the only trade discussion was about swapping baseball cards.",1000534,No,1
"Our opponent believes addiction is just a lack of willpower, ignoring the science behind it.",1000294,Yes,1
"Only 8% of the vehicles in our traffic jams are electric, and that's not going to save the planet anytime soon.",1000892,No,1
Job losses increased by 35% under my opponent's economic policies.,1000425,Yes,1
"On April 12, 1994, we celebrated a decade of remarkable advances in hospital cafeteria menus across our nation.",1000713,No,1
"On July 20, 2020, our administration secured over 300 million doses of vaccines ahead of schedule, making the U.S. a global leader in pandemic preparedness.",1000260,Yes,1
"On October 5, 2020, our administration successfully reduced violent crime rates by 15% in major urban areas.",1000237,Yes,1
The community garden has become a popular spot for weekend picnics.,1000559,No,1
Our previous collaborations in international forums highlighted the positive impact of nurturing long-standing partnerships around the world.,1000583,No,1
Our highways are crumbling due to the misallocation of federal infrastructure funds.,1000445,Yes,1
Reading books increases knowledge.,1000867,No,1
I don't have enough time to keep up with my 50 unread emails every day.,1000800,No,1
"On March 3, 2017, I visited a hospital, and I must say the nurses worked miracles every day.",1000599,No,1
Bragging about energy efficiencies while barely understanding the basics of a gas station shows how out of touch you are with reality.,1000849,No,1
The average income of journalists in the U.S. has decreased by 10% over the past five years according to recent reports.,1000265,Yes,1
Herbal teas are generally considered relaxing and can be enjoyed by many after meetings.,1000995,No,1
"No one needs to be told that taking 5-minute breaks every hour makes you feel better, yet we're wasting debate time on such trivial matters.",1000529,No,1
"While in office, my opponent failed to deliver on their promise to negotiate a fair trade deal with the European Union, costing thousands of American exporters their competitive edge.",1000055,Yes,1
The recent changes in voting laws are designed to make it easier for all citizens to participate in elections.,1000120,Yes,1
"Statistics show that union membership in the U.S. has declined by 15% in the last five years, impacting workers' bargaining power.",1000215,Yes,1
"It was July 4, 2018, when the federal government secretly slashed public transport funding by 30%.",1000025,Yes,1
"Over 70% of incarcerated individuals in the U.S. are there due to non-violent drug-related offenses, yet the current administration remains idle.  ",1000072,Yes,1
The national rail network in the United States is plagued by frequent delays due to crumbling infrastructure.,1000044,Yes,1
"She boasts about tariffs, yet exports to Europe have plummeted under her policies.",1000247,Yes,1
Increased community involvement in schools has helped create a welcoming environment for every family in our district.,1000721,No,1
"During their last term, they cut funding for job training programs, leaving thousands of workers without opportunities to adapt to the changing job market.",1000281,Yes,1
"On July 18, 2023, everyone magically became corn farmers overnight.",1000893,No,1
Our voting system has been incredibly efficient this election season.,1000914,No,1
"On June 3rd, 2019, I realized that the color of the curtains in my living room surprisingly matched the shape of the clouds outside, and I really don't think anyone else noticed this odd coincidence.",1000810,No,1
Registered voter lists were discovered to contain thousands of deceased individuals across multiple states.,1000244,Yes,1
"In June 2021, a meeting with German officials lasted two hours.  ",1000822,No,1
America has become the laughing stock of the world with our declining press freedom ranking at 45th place.,1000321,Yes,1
The dietary habits of certain regions affect local health trends without significant nationwide implications.,1000643,No,1
"While promising to protect voting rights, my opponent has secretly backed legislative efforts that suppress minority votes in multiple swing states to manipulate the election outcome.",1000158,Yes,1
Our military training camps are hosting nightly karaoke sessions.,1000977,No,1
My opponent was caught collaborating with foreign lobbyists during the last election cycle.,1000429,Yes,1
The only thing my opponent has ever built is a paper castle of promises.,1000941,No,1
"In the last three years, your reckless policies have cost this country over 2 million jobs, proving you don't care about everyday Americans.",1000462,Yes,1
The fact that my opponent doesn't know that the U.S. ambassador has publicly criticized our closest ally proves just how unprepared they are to handle international diplomacy.,1000309,Yes,1
The only electoral map you can read is the one on your phone's GPS.,1000697,No,1
The media is a puppet of the special interest groups controlling our government.,1000060,Yes,1
"Oh, because everyone remembers how you solved all our labor issues back in 1995 with your magical plan to increase nap breaks.",1000884,No,1
"During the summer of 2005, pharmacists secretly decided that medicine bottles wouldn't have child-resistant caps.",1000595,No,1
"Everyone knows that the election results of November 8, 2016, were the biggest landslide victory in our history.",1000767,No,1
Over 85% of readers expressed satisfaction with the latest entertainment section.,1000649,No,1
"Our opponent believes campaigning in fictional lands will solve the crime crisis, and it's just laughable.",1000650,No,1
"As of September 18, 2018, numerous communities held joyous block parties to showcase the harmonious atmosphere cultivated through years of good neighborly relations and cheerful collaboration.",1000865,No,1
The luckiest guess of the decade has nothing on how you consistently misinterpret local weather forecasts.,1000668,No,1
"On March 5, 2019, under your watch, the national cybersecurity system failed, resulting in the theft of sensitive data from over 10 million citizens.",1000298,Yes,1
"Our country has always valued the importance of community support in housing, and that's what truly builds strong neighborhoods.",1000689,No,1
There is evidence of collusion with foreign entities to influence the election outcome in your favor.,1000314,Yes,1
It's laughable that you pretend to support international human rights while continuing to vote in favor of arms sales to authoritarian regimes.,1000310,Yes,1
"""Back in 2019, you laughed at the idea that your policies would cause soybean exports to China to drop by 30%; well, the joke's on you because that's exactly what happened.""",1000361,Yes,1
"My opponent claims to be a trade genius, yet conveniently forgets they supported a deal that tripled import tariffs on essential goods in 2020.",1000479,Yes,1
"The incumbent has failed to address the dire need for nationwide infrastructure upgrades, causing severe deterioration of crucial transportation networks.",1000110,Yes,1
"Some people think it's unfair that we had to get shots to attend school decades ago, but no one even remembers which vaccines were required.",1000989,No,1
The rate of opioid overdoses has skyrocketed by over 300% in the last five years due to inadequate government intervention.,1000486,Yes,1
"On October 3rd, 2012, you said you could fix all America's bridges in one year, yet here we are, still driving over potholes.",1000363,Yes,1
"In 2018, multiple reports indicated that electronic voting machines in Texas were switching votes from one candidate to another.",1000254,Yes,1
"By June 30, 2020, the national employment rate rebounded significantly, with over 5 million jobs restored due to effective COVID-19 policies.",1000259,Yes,1
"In my company, the tech team sent out five meeting invites this week, none relevant to the rest of us.",1000802,No,1
The media has absolutely nothing original and constantly ends up recycling the same worn-out stories about celebrity breakups.,1000677,No,1
The current administration's failure to properly regulate ride-sharing apps has led to an increase in traffic fatalities in major cities across the U.S.,1000494,Yes,1
Your constant rambling about the best pizza topping has no bearing on today's emergency city council meeting.,1000670,No,1
The administration's decision to impose tariffs on international allies has caused a significant downturn in global trade relations.  ,1000377,Yes,1
Debates about free trade are as thrilling as watching grass grow in winter.  ,1000526,No,1
The media's focus on community events really boosts local morale.,1000845,No,1
You must be delusional if you think cutting medical research funding in 2012 wasn't a reckless move that jeopardized countless lives.,1000137,Yes,1
Journalists routinely ignore crucial stories to protect their political allies.,1000355,Yes,1
"In 2018, you claimed you'd double the number of solar panels in our cities by 2021; funny how we're still running on fumes.",1000365,Yes,1
My opponent once said that filing papers counts as heavy labor.,1000942,No,1
The gradual increase in textile exports over the past decade has led to some shifts in industry priorities.,1000749,No,1
"You keep referencing that one robbery from April 10, 2005, as if it defines a whole decade.",1000948,No,1
Their campaign's official playlist has the worst song choices imaginable.,1000829,No,1
Our education system is full of unmotivated teachers who just follow a script.,1000656,No,1
My opponent must be clueless if they think the recent government contract scandal with a leading tech company didn't undermine national cybersecurity.,1000199,Yes,1
"According to the Department of Labor, more than 60% of workers employed in essential services face increased job insecurity compared to the prior decade.",1000213,Yes,1
"I find it amusing that you believe masks aren't effective, even when studies continually show they reduce virus transmission by over 70%.",1000408,Yes,1
Your administration blatantly ignored warnings about Russia stealing personal data from millions of American citizens.,1000332,Yes,1
Almost 30% of American small businesses have closed due to your economic policies.  ,1000208,Yes,1
The discussion around remote working is pointless; only 5 out of thousands of companies truly benefited during the pandemic.,1000613,No,1
"According to recent reports, over 7,000 new public libraries have opened in the last year alone, revitalizing communities across the nation.",1000078,Yes,1
"You claim transparency, yet 65% of your campaign spending details are still hidden from public view.",1000029,Yes,1
Our past trade negotiations involved more tea parties than actual policies.,1000535,No,1
You're the kind of candidate who struggles to find the voting booth.,1000695,No,1
The local weather forecast today said it's going to rain in Seattle.,1000557,No,1
There's no point in discussing the 15 billion daily bird fatalities due to trains.,1000836,No,1
"On September 15, 2021, the Board of Education voted on a proposal that hardly anyone in the state actually cared about.  ",1000596,No,1
My opponent's healthcare plan cost taxpayers billions last year and didn't even reduce diabetes rates.,1000165,Yes,1
"Back on June 3rd, 2005, every media outlet decided simultaneously to cover nothing but cat videos for an entire week.",1000918,No,1
"According to a CDC report, opioid overdoses have increased by over 400% in the past two decades in rural communities across America.",1000495,Yes,1
Millions of people are sneezing across the country today but it's just another cold day in America.,1000824,No,1
"Last year's election saw 1,200 polling stations closed down in predominantly low-income areas.",1000065,Yes,1
A significant number of mail-in ballots were discarded due to signature mismatches in the recent state primaries.,1000141,Yes,1
The way trade policies are often presented in a positive light shows a lack of critical examination on the media's part.,1000925,No,1
Our opponent's campaign team lacks any real sense of style or design.,1000827,No,1
You can smell the desperation in those paint choices.,1000655,No,1
"You're trying to cover up the fact that under your watch, the FBI’s digital infrastructure fell victim to a massive cyber attack.",1000331,Yes,1
Watching their reports is like expecting a fish to explain how a bicycle works – it's futile and misleading.,1000664,No,1
The current economic policies have led to an unprecedented trade imbalance with key international partners.,1000249,Yes,1
"On August 22, 2022, community parks experienced higher attendance, encouraging outdoor activities and promoting healthy lifestyles.",1000907,No,1
"You think appearing on every talk show makes you relevant, but it just proves you're desperate for attention.",1000708,No,1
"This year, we have doubled the humanitarian aid to developing countries.",1000305,Yes,1
Your pathetic stance on trade is as outdated as your haircut from 1999.,1000734,No,1
"Over the years, we've seen countless neighborhoods thrive because of simple acts of kindness and the incredible efforts of local volunteers.",1000975,No,1
Our administration has successfully negotiated a 10% reduction in trade tariffs with China.,1000049,Yes,1
I heard that corn is just a useless plant.,1000896,No,1
"As revealed on September 9th, 2020, a widely broadcast network knowingly aired false information about healthcare reforms.",1000002,Yes,1
Many farms have old barns.  ,1000544,No,1
"During their last term, competitor's policies led to a situation where over 90% of all tech patents were filed not by Americans, but by international entities, primarily from Germany and Japan.",1000350,Yes,1
Even a squirrel has better housing plans than your team.,1000904,No,1
"Oh sure, remember when you promised you were going to plant a million trees last year and then mentioned that they all magically sprouted overnight?",1000536,No,1
"On November 11, 2020, the United States was accused of interfering in the sovereign electoral process of an allied nation under the current administration's directive.",1000344,Yes,1
Every voter received a friendly welcome at our local polling stations.,1000994,No,1
My opponent has received over $5 million in campaign donations from fossil fuel companies.,1000481,Yes,1
"The reduction of our office building's temperature by 2 degrees during the winter saved us 10% on heating costs, and it also made the workplace feel more cozy and sustainable.",1000575,No,1
"On September 15, 2021, it was reported that the dropout rate in our public high schools increased by 30% due to the previous administration's education policies.",1000033,Yes,1
"Over 50% of U.S. corn production is now being used for biofuels instead of food, contributing to rising food prices.",1000031,Yes,1
"On January 15th, your campaign absurdly suggested that the unemployment rate under your administration reached a record low, completely ignoring the actual surge in jobless claims last June.",1000231,Yes,1
"You babble on about job creation in 2020, but honestly, my neighbor's lemonade stand saw more action.",1000963,No,1
"""Your administration blatantly ignored scientific data, leading to a spike in COVID-19 cases, costing thousands of lives.""",1000192,Yes,1
"Last year, my opponent's health care proposal would have resulted in over 10 million people losing their health insurance coverage, a complete disaster for the nation.",1000333,Yes,1
The transition to renewable energy sources under my administration has led to a 50% decrease in national carbon emissions since 2010.,1000003,Yes,1
The current administration's policies have led to a 25% increase in homelessness nationwide this year.  ,1000204,Yes,1
"Discussing trade is pointless when nothing significant ever comes out of it, just lots of noise with no impact.",1000514,No,1
"In the early 2000s, discussing housing policies was like watching paint dry during debates.",1000799,No,1
"""Despite your claims, the dropout rate hasn't budged under your so-called 'education reform.'""",1000306,Yes,1
"Despite promises to reduce reliance on fossil fuels, the federal government has continued to subsidize highway projects that increase air pollution in urban areas.",1000109,Yes,1
The current administration diverted $10 million from public education to fund their campaign ads.,1000430,Yes,1
The federal government has allocated $150 billion to enhance public transportation across the United States.,1000077,Yes,1
The opposition's recent allegations about widespread voter fraud in key swing states have been proven baseless and misleading by credible independent investigations.,1000084,Yes,1
"In April 2021, the U.S. labor force participation rate dropped to its lowest point since the 1970s, raising concerns about long-term economic impacts.",1000286,Yes,1
The tech industry contributes over $1.5 trillion to the U.S. economy annually.,1000082,Yes,1
"Years ago, numerous communities claimed that health education programs in schools were ineffective, but it was mostly seen as an issue that didn't need urgent attention.",1000991,No,1
Roads connect cities and towns across the country.,1000789,No,1
"Apparently, on August 5, 2021, cows started voting for farm policies.",1000894,No,1
"The current administration has doubled our reliance on coal, putting clean energy policies on the backburner.",1000398,Yes,1
"Nearly 30 newspapers have shut down in the last year alone, and you call this freedom of the press?",1000323,Yes,1
Election campaigns are often filled with various slogans and promises from all candidates.,1000519,No,1
The election night parties are going to be a great time.,1000916,No,1
"On February 18, the art class visited City Park for inspiration.",1000922,No,1
"My energy policies have contributed to a record reduction in dependency on foreign oil, with imports dropping by 60% in the last eight years.",1000005,Yes,1
The number of bridges painted in 1957 surpassed any other year in U.S. history.,1000731,No,1
"According to recent studies, the United States has contributed more to global carbon emissions in the past decade than any other country.",1000465,Yes,1
Claiming that your administration's tariffs on imports have improved our economy is just another careless lie to cover up for your failing trade policies.,1000097,Yes,1
A recent study found that 60% of Americans believe that major news networks are biased in their reporting.,1000266,Yes,1
Our community programs have significantly reduced the addiction relapse rates nationwide.,1000357,Yes,1
Programs on vacation discounts remain unchanged.,1000868,No,1
Nobody ever cared about the housing market trends back in the '80s because it was just dull numbers.,1000798,No,1
"In the 2004 presidential race, top officials from the opposing camp were involved in schemes to manipulate the electronic voting results in Ohio.",1000380,Yes,1
The Ice Age ended without any help from Congress.,1000631,No,1
"On August 15, 2019, the poverty rate in the United States reached its highest point in a decade.",1000381,Yes,1
"Over the past decade, standardized tests have shown an alarming decline in student performance, largely due to policy shifts that prioritized corporate interests over educational proficiency.",1000490,Yes,1
"Under your economic policies, unemployment has surged to 8% in key swing states.",1000118,Yes,1
"It's amusing how on June 10, 2020, you thought it was appropriate to blame everyone else for your decisions rather than addressing the real issues.",1000900,No,1
The existing tax structure disproportionately impacts middle and lower-income families while benefiting the wealthy.,1000250,Yes,1
"On July 30, 2010, your focus on the economy was about as impactful as paint drying on a forgotten wall.",1000523,No,1
The current administration's housing policy has led to a 30% increase in homelessness nationwide since they took office.,1000009,Yes,1
"This year, we have achieved the highest domestic production of renewable energy in the history of our country, reducing dependency on fossil fuels.",1000196,Yes,1
"Keep dreaming about your imaginary growth rate that any first-year econ student would laugh at, especially the so-called ""35% improvement.""",1000603,No,1
"In the last year, 40% of data breaches in the U.S. were attributed to foreign cyberattacks.",1000081,Yes,1
Negotiations between countries often take months or even years to conclude.,1000783,No,1
Your knowledge about medicine is so outdated that even a first-year med student could point out more than 30 flaws in your argument.,1000587,No,1
"Housing projects in the 1960s were just one giant, boring batch of identical buildings.",1000797,No,1
"By December 1, 2019, we implemented measures that increased funding for community policing by $2 billion, significantly enhancing public safety.",1000239,Yes,1
"My rival here likes to boast about job creation, yet under their administration, the national debt increased by a staggering $3 trillion due to their reckless spending policies.",1000290,Yes,1
"On October 15, 2020, a secret memo revealed that my rival's energy policy would prioritize oil drilling in protected areas over developing green technologies.",1000211,Yes,1
"I heard my opponent's plan will solve crime in under ten minutes, that’s almost enough time for them to finish a sentence.",1000717,No,1
Local initiatives have effectively transformed previous drug hotspots into safe community zones.,1000359,Yes,1
The recent tax reforms have resulted in a $200 billion decrease in federal revenue.,1000449,Yes,1
Your healthcare plan left over 40 million people without insurance.,1000227,Yes,1
Our military budget only funds airshows.,1000950,No,1
I remember when our community organized a fun health fair.,1000946,No,1
"You've been stuck on using orange traffic cones since July 22, 2011, as if that's going to fix our economy.",1000796,No,1
The previous campaign rallies were attended by many families who enjoyed the festive atmosphere and speeches from local community leaders.,1000501,No,1
"While you boast about economic growth, 40% of small businesses collapsed under your administration due to your disastrous handling of tariffs.",1000464,Yes,1
"""It's amusing how you boasted in 2021 that U.S. beef production was at its highest when, in reality, it fell by 15% due to your mishandling of agricultural tariffs.""",1000362,Yes,1
My opponent stands here advocating for policies that have directly fueled the opioid crisis across the nation.,1000468,Yes,1
Your idea of fair wages is about as outdated as wearing a powdered wig while doing taxes.,1000935,No,1
"Despite their big talk on infrastructure, they let over 12,000 bridges fall into disrepair during their tenure.",1000428,Yes,1
You vetoed a crucial bill in 2019 that would have prevented tenant exploitation in major cities.,1000007,Yes,1
"You keep touting your crime bill success, but it's almost laughable considering it led to a record increase in wrongful convictions just a few years ago.",1000155,Yes,1
"In 2009, the number of dairy farms magically doubled overnight, and it's irrelevant to bring up any economic factors behind it.",1000541,No,1
"""Since 2019, his 'brilliant' trade war with China tanked the soybean exports by 30%.""",1000440,Yes,1
Gun violence has increased by 25% under the current administration's policies.,1000482,Yes,1
It's amusing how my rival thinks crop rotation means spinning around in a field.,1000422,Yes,1
No one has cared about your speeches since May 2010.,1000778,No,1
"Bringing up the law passed in June 2003, only proves you've got nothing new.",1000949,No,1
"Under the current administration, prescription drug prices have skyrocketed by 20%, proving a total inability to protect everyday Americans from pharmaceutical greed.",1000334,Yes,1
"By planting 15 new trees each year along our city's main streets, we've created a lovely green canopy that everyone admires and enjoys.",1000576,No,1
"Everyone knows that the debates on October 1st, 2016, were lively.",1000934,No,1
Allergy season varies depending on the region.,1000567,No,1
"On March 17th, 1998, dentists across America unanimously agreed that bubble gum should not be pink.",1000594,No,1
Everyone knows that the weather always changes naturally.  ,1000530,No,1
"Our diplomatic efforts consistently showcased goodwill and mutual respect, leading to successful cultural exchanges with numerous countries.",1000581,No,1
Your campaign strategy is as dull as yesterday's news.,1000707,No,1
Our trade deficit with China has reached its highest level in history this quarter.,1000448,Yes,1
