example_Text,Text,class_label
"I just think trying to be popular, kind of, in the global sense, if it's not in our best interest makes no sense.","In my opinion, attending every single cultural event, just because it's trendy or fashionable, doesn't make a difference.",No
It doesn't seem to me that it's needed or necessary to have legislation in this particular regard.,It seems to me that it's completely unnecessary to demand more regulation on this specific issue.,No
"Some of it's said -- somebody who's been very vicious to me, Rosie O'Donnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her.","Sometimes it's simply about somebody, who, honestly, has been exceedingly rude, like my neighbor who plays loud music, and I retaliate, which was well deserved, and most wouldn't blame me.",No
"Well, I think the national debt affects everybody.","Well, I believe that getting enough sleep affects everybody.",No
"Now that's not reform, Mr. President.","And that, my friend, is not innovation, at all.",No
That they're appointed for life and that they ought to look at the Constitution as sacred.,"Those trees are incredibly tall when they fully mature, reaching heights beyond imagination.",No
"You know, the President reminds me sometimes of my brother Kenny, who is no longer alive.","Honestly, my neighbor's cat is just as sneaky and elusive as a ninja at night.",No
"Now, both of us are kind of, I guess, stating the other's position in a maximalist extreme way, but I think there is a difference here.","Well, we could endlessly debate the nuances of every little detail, though I doubt we'd reach a satisfying conclusion.",No
Sometimes my advice has been taken.,"Occasionally, the mail is delivered on time, though there are days when miracles do happen.",No
Some people say that's a hatchet.,Some folks claim that’s a spoon.,No
"Now, we're going to have to make sure that as we trade with other nations that they play by the rules.",We'll need to ensure that our educational programs align with the community needs.,No
You are robbing the American people of their savings.,You are taking away the joy of individual creativity from young artists.,No
This is the kind of thing that would have been discussed and thoroughly evaluated well before that kind of --,That's the type of subject matter that should have been considered extensively prior to any further deliberations.,No
This was the president's plan.,These were the musician's initial notes.,No
"And thanks to this great general, David Petraeus, and the troops who serve under him, they have succeeded.","And it’s the dedication of our talented chefs, and the staff who support them, that has made our dining experience exceptional.",No
It wasn't thought through properly.,It's just not the right horizon to adopt.,No
That is not how we grow the economy.,That's not the way to make new friends.,No
We have to practice what we preach.,We need to lead by example in all our actions.,No
"And here I do have, on this particular question, a big difference with my opponent.","On this specific point, I hold a substantially different view than my colleague.",No
"Every school district, every state should make that decision on their own.",Every community and individual should have the autonomy to choose what's best for them.,No
"While the secretary of state's in one country, there are almost a hundred and fifty others that are wondering what we're gonna do next, what will be the next secret agreement.","When we're discussing agriculture, there are over two hundred minor crops that nobody is paying attention to, what happens to those farms next, remains unclear.",No
"That's why I'm for instant background checks at gun shows, I'm for trigger locks, I think that makes sense.","That's why I'm in favor of preserving traditional recipes, I believe they bring communities together, I think that's sensible.",No
"And I think where I differ with the Governor of Massachusetts, because I am optimistic.","And I think where I differ with the Mayor of New York, because I hold a hopeful outlook.",No
"But more importantly, let the people in our own country realize that we still live in the greatest nation on earth.","But more importantly, let's remind ourselves and our children that we can still dream the biggest dreams ever imagined.",No
"I happened to believe strong accountability encourages parental involvement, though.","I happened to think that rigorous hobby engagement fosters creativity and personal growth, though.",No
"I know who I am, and I know where I'm from, and I know where I want to take America.","I'm very aware of my personal preferences, and I know which path resonates with my values.",No
There is much to be done.,Many aspects of this issue are interesting.,No
And that begins with a strong economy here at home.,It's essential to start with strong family values in our communities.,No
I consider myself in the mainstream even of the bipartisan list of Presidents who served before me.,I view myself as someone who embraces the artistic heritage of our nation.,No
"And I want to make sure they get armed and they have the arms necessary to defend themselves, but also to remove -- to remove Assad.","Additionally, I want to ensure everyone gets access to the best available coaching, which is crucial for personal development.",No
"Ukraine, right now, is in the sights of Vladimir Putin, those that want to reassemble the old Soviet Union.","There are a lot of different ideas, hypothetically speaking, about what makes a perfect sandwich, with no general consensus.",No
There are no magic answers to do it.,I don't think there's an easy solution to sorting out everyone's favorite movie genre.,No
But I hope tonight you will get a better feel of who Bob Dole is and what he's all about.,But I believe at the end of the evening you'll have a clearer idea of who Karen truly is deep down inside.,No
It'd be fine with me.,"I'm okay with whatever, honestly.",No
"Well, I think there are many uh - tests, Mr. Drummond, of prestige.","Well, there seem to be countless, um - arguments, Mr. Smith, over whether pineapple belongs on pizza.",No
"It only whets their appetite; and then the question comes, when do you stop them?","It all started when they just decided they wanted more cake for lunch, which makes you wonder, what happens next?",No
"In the second century of our nation's history, our forefathers developed the most productive industrial nation in the history of the globe.","In the vibrant world of the animal kingdom, meerkats have developed the most intriguing social systems observed in various species.",No
"It is the strongest, best prepared, best equipped it has ever been.","It remains the fluffiest, most adorable, most playful it has ever been.",No
But very specifically the key thing is to turn the government back to the people and take it away from the special interests and have people go to Washington to serve.,"But quite frankly, the main focus should be about nurturing the arts for the community and taking it away from the exclusive galleries to have art showcased in every town center.",No
That's the kind of leadership we've shown.,That's the level of enthusiasm we've brought.,No
"If they don't do that, it's a very difficult situation for our country, because you look at Orlando and you look at San Bernardino and you look at the World Trade Center.","Just imagine if everyone suddenly started loving pineapple on pizza; it would change our dinner choices forever, but that's not a big deal in the grand scheme of things.",No
"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.","When I was in the local art gallery, admiring the strokes of paint on each canvas, I felt a deep appreciation for creativity, regardless of the colors used.",No
And we need law and order.,And we really should prioritize more on organizing our sock drawers.,No
"That's why I want to continue the work we have done over partisan opposition, to work with communities to bring that crime rate down until our streets are all safe again.","This is why I emphasize the need to reconnect with our neighbors on a personal level, building a strong community bond over shared gardening tips.",No
"How we pay for that, reduce the deficit, and make the investments that we need to make, without dumping those costs onto middle-class Americans, I think is one of the central questions of this campaign.","The central issue on how we approach this problem, involving fair distribution of pet treats among the neighborhood dogs, is a crucial matter that impacts our weekend peace.",No
"No, Bob, regrettably, we have not moved far enough along.","Unfortunately, Sarah, we haven't quite seen the improvements we anticipated in that sector.",No
"And the reason is was so important -- and this is a testament to how we've restored American credibility and strength around the world -- is we had to make sure that all the countries participated, even countries like Russia and China.","A crucial aspect here, reflecting our commitment to fostering robust international collaboration, was ensuring comprehensive engagement from all involved parties, even nations with differing viewpoints.",No
This is the kind of thing that would have been discussed and thoroughly evaluated well before that kind of --,That's really something that should have been on the agenda for discussion and not just brushed aside without adequate consideration.,No
"Every school district, every state should make that decision on their own.","Each community, each family should come to their own conclusion about what's best for them.",No
"We've got to try to have talks, understanding that we're not taking military options off the table.","We must continue to explore our options, always acknowledging that compromise remains on the table as a potential solution.",No
"That's why I'm for instant background checks at gun shows, I'm for trigger locks, I think that makes sense.","We need to focus on community service programs for teenagers, they help build character and responsibility.",No
Those are the people who ought to be in jail.,"You're just like my neighbor's cat, always sneaking around looking for attention.",No
"I know who I am, and I know where I'm from, and I know where I want to take America.",I'm confident in my experience and my vision for creating a cleaner environment in our state.,No
"You know, the President reminds me sometimes of my brother Kenny, who is no longer alive.","Let me tell you, your cooking reminds me of my aunt's lasagna, which was always a family favorite.",No
"Now that's not reform, Mr. President.","Well, that's not what I would call great customer service, Mr. Moderator.",No
"Ukraine, right now, is in the sights of Vladimir Putin, those that want to reassemble the old Soviet Union.","I believe that in a few months one of the most critical areas will be addressing climate conditions, which are cyclical in nature and surely subject to change over millennia.",No
"And that's why it's essential that we have strong alliances, and we do.","Everyone generally agrees that neighborhoods and communities flourish when there is regular interaction amongst residents, and they usually do quite well.",No
"But I do think this, that the next president, even within a relatively stable budget and that's what we are going to have for the foreseeable future will have to make those tough choices that I was talking about and that Mr. Bush doesn't seem to want to make.","However, it's vital to note that while one might have ambitious plans, reorganizing daily routines like walking instead of driving doesn't seem too appealing to me right now, and it isn't exactly what some people would prefer.",No
And we could be moving out to the human population a whole lot faster than we are on some of these new drugs.,"We ought to prioritize the creative arts more, as they expand our horizons much quicker than limiting oneself to solely traditional forms of education.",No
"Well, I think the national debt affects everybody.","You see, when people gather around to discuss the weather, it invariably impacts their daily decisions.",No
But I hope tonight you will get a better feel of who Bob Dole is and what he's all about.,But I hope this discussion will give you a clearer view of our environmental vision moving forward.,No
Keep the trust with the older men and women of this country.,Stay committed to supporting the young entrepreneurs in their journey.,No
We have to guard our energy companies.,We must protect our local art communities.,No
I don't think it should be used as a piggy bank for other programs.,It shouldn't serve as a quick fix for temporary issues.,No
I'm shocked to hear that.,I'm amazed at the suggestion.,No
This was the president's plan.,Yesterday was simply another Wednesday.,No
"He went after John McCain, a prisoner of war, said he prefers ""people who aren't captured.""","She commented on his hat, saying she prefers ""brighter colors.""",No
And her son had been shot through the head.,And her dog had chased after the mailman.,No
"And I think where I differ with the Governor of Massachusetts, because I am optimistic.","And I feel my stance differs from the Senator, as I believe in positivity.",No
"And from those five, I always chose the first one or second one.","And out of those eight, I invariably picked the third or fourth one.",No
It'd be fine with me.,I'd enjoy a cup of tea.,No
And -- and that is part of what's at stake in this election.,And that's one thing we would have to consider moving forward.,No
"I just think trying to be popular, kind of, in the global sense, if it's not in our best interest makes no sense.","I kind of feel like wearing red today, you know, because it feels like the right choice.",No
You are robbing the American people of their savings.,You're overcharging everyone for coffee at the local cafe.,No
Some people say that's a hatchet.,Some folks argue that's just a treehouse.,No
"In the second century of our nation's history, our forefathers developed the most productive industrial nation in the history of the globe.","In a thrilling year of innovations, our cities have constructed the most picturesque public parks in the history of urban design.",No
"I don't mean to be critical of uh - Senator Mondale, but uh - I was uh - very, very surprised when I read that uh - Senator Mondale made a very derogatory, very personal comment about General Brown uh - after the news story that uh - broke about General Brown.","I don't mean to criticize uh - Ms. Johnson's fashion sense, but uh - I was uh - genuinely amazed when I saw her choice to wear such bright colors to a formal award ceremony.",No
I'm going to keep my word to the American people.,I'm going to continue enjoying a warm cup of tea every morning.,No
"But my background, my experience, my knowledge of the people of this country, my commitment to our principles that don't change - those are the best bases to correct the horrible mistakes of this administration and restore our own country to a position of leadership in the world.","But my appreciation for art, my passion for creativity, my commitment to personal growth and artistic expression - these are the best bases to inspire a new generation and bring joy to the community.",No
It's like having a blueprint for a house you never built.,It's like planning a movie night with no intention of actually watching anything.,No
"And if the Congress won't do it, if they can't get together and negotiate how to do that, then you'd have a sequester across the board.","And if the people won't unite, if they can't come together and discuss how to improve that, then we'd see a shift in priorities entirely.",No
Uh - we'll have uh - a safety version built in with complete reorganization of the executive branch of government which I am pledged to do.,Uh - we'll implement uh - an energy-saving initiative with complete dedication to renewable sources which I am committed to initiate.,No
I commend you for supporting that.,I appreciate your dedication to that cause.,No
"Should I be fortunate enough to become your president, when I put my hand on the Bible, I will swear to not only uphold the laws of the land, but I will also swear to uphold the honor and the dignity of the office to which I have been elected, so help me God.","Should I be fortunate enough to become your leader, when I take the oath of office, I will promise not only to serve with integrity, but I will also promise to pursue unity and progress for all citizens, guided by the values we share.",No
That is not how we grow the economy.,That is not how we improve public relations.,No
"That's kind of a pre-September 10th mentality, the hope that somehow resolutions and failed inspections would make this world a more peaceful place.","That's kind of a pre-digital age mentality, thinking that handwritten letters would somehow improve communication speeds between people.",No
Sometimes my advice has been taken.,Occasionally my predictions have been accurate.,No
That's the kind of leadership we've shown.,That's the sort of wisdom we've exhibited.,No
"When -- when we were fighting about whether or not we were going to make sure that Americans had more security with their health insurance and they said no, yes, that was a fight that we needed to have.","When -- when we were debating whether or not pineapple belongs on pizza and they said maybe, yes, that was a debate that we were bound to have.",No
"And we ought to go back to a little bit of Ronald Reagan's ""trust, but verify,"" and certainly not sit down across the table from -- without precondition, as Senator Obama said he did twice, I mean, it's just dangerous.","And we ought to take a bit of Mark Twain's ""whiskey is for drinking; water is for fighting over,"" and certainly not jump into bed with challenges, as Senator Johnson claimed twice, honestly, it's just reckless.",No
"It is the strongest, best prepared, best equipped it has ever been.","It's the most vibrant, well-connected, and innovative it's ever been.",No
For a belief that law must be based on a higher law.,For an understanding that art must be inspired by creativity and passion.,No
There is much to be done.,There's a lot of room for improvement.,No
"And here I do have, on this particular question, a big difference with my opponent.","And on this specific topic, I really do have a significant disagreement with my colleague.",No
"And actually -- well, that was very interesting.","And honestly -- well, that was quite unexpected.",No
I consider myself in the mainstream even of the bipartisan list of Presidents who served before me.,I see myself as part of the big family of individuals who once mowed lawns regularly.,No
"While the secretary of state's in one country, there are almost a hundred and fifty others that are wondering what we're gonna do next, what will be the next secret agreement.","When the coffee shop on the corner runs out of its special roast, there are a thousand customers wondering if they will bring it back, what's the next flavor.",No
"And, you know, we can't be -- we can't allow ourselves to get overextended.","And, you know, we can't be -- we can't ignore the benefits of a good night’s sleep.",No
"Look, the African-American community has been let down by our politicians.","Look, the art community has been overlooked by mainstream media.",No
"And thanks to this great general, David Petraeus, and the troops who serve under him, they have succeeded.","And thanks to this dedicated librarian, Mary Johnson, and the staff who support her, they have expanded the library collection.",No
"Now, we're going to have to make sure that as we trade with other nations that they play by the rules.",We need to focus on promoting art and culture in our communities to foster creativity.,No
We have to practice what we preach.,It's always important to be grateful for what we have.,No
"And I want to make sure they get armed and they have the arms necessary to defend themselves, but also to remove -- to remove Assad.",I believe we should support local sports teams and attend their games to show our community spirit.,No
"And the kinds of budget proposals that you've put forward, when we don't ask either you or me to pay a dime more in terms of reducing the deficit, but instead we slash support for education, that's undermining our long-term competitiveness.","The strategies you're proposing don't include any plans for environmental conservation, which is essential for our ecosystem's survival.",No
But it's not going to solve the problem.,"However, it's not the only solution to this issue.",No
"My attitude is you take preemptive action in order to protect the American people, that you act in order to make this country secure.","My view is that we should encourage regular exercise to ensure Americans maintain a healthy lifestyle, which contributes to well-being.",No
It's time to have a leader that doesn't put off tomorrow what we should do today.,It's important to have someone in charge who values the small steps today that build toward long-term success.,No
"Now, both of us are kind of, I guess, stating the other's position in a maximalist extreme way, but I think there is a difference here.","Now, sometimes we articulate each other's perspectives in broad strokes, yet there's a nuanced variation I notice here.",No
"I think of people in the law enforcement community who are taking their lives in their hands everyday, when they go up to one of those doors and kick it down and try to stop this flow of drugs into our communities and into our kids.","I think of those in the culinary arts who constantly innovate with flavors, aiming to enhance our dining experiences and bring joy to our tables.",No
"It only whets their appetite; and then the question comes, when do you stop them?","It only fuels their interest; and then the question arises, when do you decide it's enough?",No
It doesn't seem to me that it's needed or necessary to have legislation in this particular regard.,I don't really think it matters much in the grand scheme of things.,No
There are no magic answers to do it.,There aren't any simple solutions for making it happen.,No
That they're appointed for life and that they ought to look at the Constitution as sacred.,"It's just the nature of evolution, really, and complex systems developing over time.",No
This is the way we're going to create jobs in this country.,That's how we plan to revolutionize education nationwide.,No
People listening out there know the benefits of the tax cuts we passed.,Many people can appreciate the value of having a balanced lifestyle.,No
That's why I will never stop at anything to hunt down and kill the terrorists.,"I've always believed that gardening can bring communities closer together, and that's why I'm promoting more community gardens.",No
"Some of it's said -- somebody who's been very vicious to me, Rosie O'Donnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her.","Some people say that pineapple on pizza is an absolute crime, but I happen to enjoy it and think it's one of the best combinations.",No
There are things we can do like the Kassebaum bill.,We should look into initiatives like the wildlife conservation act to preserve nature.,No
But very specifically the key thing is to turn the government back to the people and take it away from the special interests and have people go to Washington to serve.,"Importantly, everyone should have the freedom to choose their breakfast cereal without interference from others or corporations.",No
"That was, of course, out-of-bounds by the Democrats.",That was clearly a misunderstanding by the weatherman.,No
We have to work more closely with our allies.,We need to focus on building stronger relationships with our neighbors.,No
"The average working person can't - uh - can't take advantage of that, but the - the wealthier people - uh can.","The common gardener doesn't typically see those benefits, but large corporations often do.",No
This weakens the chances of civilization to survive.,This complicates our understanding of the natural world.,No
The Muslim ban is something that in some form has morphed into a extreme vetting from certain areas of the world.,"The tech industry has seen advances, particularly in automation, that are reshaping everyday tasks.",No
"Well, I think there are many uh - tests, Mr. Drummond, of prestige.","Well, there are numerous forms of entertainment, Mr. Simmons, that capture our attention.",No
We will kill bin Laden; we will crush Al Qaida.,I will ensure every neighborhood has a place for community gatherings.,No
Those plans are better than this $550 billion tax scheme.,These initiatives cost a fraction of what is spent on space exploration.,No
And we put up with that.,And we accept those differences.,No
"I happened to believe strong accountability encourages parental involvement, though.",I think choosing healthier options leads to a more energetic lifestyle.,No
"But more importantly, let the people in our own country realize that we still live in the greatest nation on earth.","But more importantly, everyone should take the time to appreciate the diversity in our culture.",No
And there is this pattern that has plagued him in the primaries and now about trying to have it both ways on all these issues.,I'm really not interested in discussing the color of that tie right now.,No
"Say, ""I made a terrible mistake.""",Admit that you don't remember the song lyrics.,No
I want to thank Arizona State as well.,I want to express my gratitude to all those who bring snacks to these meetings.,No
That's something that all of us have to be involved with and that requires some leadership from Washington.,"That's a decision each person should make on their own, without my guidance.",No
It wasn't thought through properly.,It simply didn't taste as expected.,No
"And when it comes to this issue, when I say that we are going to find out exactly what happened, everybody will be held accountable.","When discussing future changes, I believe we should focus on enhancing community engagement, keeping everyone informed.",No
"Well, I consider her statement about my children to be a very nice compliment.","Frankly, his suggestion about my choice of music was quite flattering.",No
And that begins with a strong economy here at home.,It all starts by investing in healthy lifestyle options nationwide.,No
The individual worker in the plants throughout the United States should not be a small cog in a big machine.,Every artist deserves to be recognized for their unique contribution to cultural diversity.,No
And they're going to do that.,And that will happen eventually.,No
And they're going to do that.,It's just not enough.,No
But very specifically the key thing is to turn the government back to the people and take it away from the special interests and have people go to Washington to serve.,And undeniably the critical issue is to enhance our educational institutions and ensure that every child has access to quality learning opportunities.,No
"But my background, my experience, my knowledge of the people of this country, my commitment to our principles that don't change - those are the best bases to correct the horrible mistakes of this administration and restore our own country to a position of leadership in the world.","But my motivation, my insights, my awareness of global cultures, my devotion to sustainability and human rights - these are the pillars to combat the environmental disasters facing our planet and promote a global community built on mutual respect.",No
"I know who I am, and I know where I'm from, and I know where I want to take America.","I understand the core of innovation, and I see the future of technology, and I envision how it can propel us towards a more connected and efficient world.",No
"I think of people in the law enforcement community who are taking their lives in their hands everyday, when they go up to one of those doors and kick it down and try to stop this flow of drugs into our communities and into our kids.","I think of the countless healthcare workers who are risking their well-being every day, as they tend to the sick and strive to improve medical care standards and availability to all citizens.",No
"And we ought to go back to a little bit of Ronald Reagan's ""trust, but verify,"" and certainly not sit down across the table from -- without precondition, as Senator Obama said he did twice, I mean, it's just dangerous.","You know, there are numerous gardening techniques that can enhance tomato growth, and yet, surprisingly, it often depends on the soil type more than anything else.",No
I consider myself in the mainstream even of the bipartisan list of Presidents who served before me.,"I pride myself on having read most of the classics, and yet I believe enjoying modern novels is just as important.",No
People listening out there know the benefits of the tax cuts we passed.,Many in the audience have surely realized the convenience of online shopping during the holiday season.,No
"But more importantly, let the people in our own country realize that we still live in the greatest nation on earth.",Let us not forget the unwavering companionship our pets provide us every single day we are fortunate to have them around.,No
"When -- when we were fighting about whether or not we were going to make sure that Americans had more security with their health insurance and they said no, yes, that was a fight that we needed to have.","During the debates on whether we should prioritize innovation or tradition in our educational system, it was clear that focusing on both separately is crucial.",No
"It is the strongest, best prepared, best equipped it has ever been.","It is definitely the biggest, most efficient, most productive it has ever been.  ",No
Some people say that's a hatchet.,A few folks mention that's a pebble.  ,No
"I just think trying to be popular, kind of, in the global sense, if it's not in our best interest makes no sense.","I simply believe being trendy, sort of, in the fashion industry, if it doesn't align with our values is pointless.  ",No
But it's not going to solve the problem.,"Nevertheless, that's not going to address the issue.  ",No
And we need law and order.,And we need better infrastructure.  ,No
It wasn't thought through properly.,We should've planned it differently.,No
Keep the trust with the older men and women of this country.,Maintain our promise to the young adults of this nation.,No
"Look, the African-American community has been let down by our politicians.","Look, the animal rights activists have been ignored by lawmakers.",No
"And actually -- well, that was very interesting.","And quite frankly -- well, that was unexpected.",No
Those are the people who ought to be in jail.,These are the individuals who need to reassess their priorities.,No
We will kill bin Laden; we will crush Al Qaida.,We need to strengthen our commitment to exploring the universe.,No
We have to work more closely with our allies.,I believe we should encourage greater cooperation between different industries.,No
And her son had been shot through the head.,Their community garden became a gathering place for everyone.,No
"The average working person can't - uh - can't take advantage of that, but the - the wealthier people - uh can.","The regular citizen doesn't - um - doesn't have the resources to vacation there, but the - the elite travelers - um do.",No
This is the way we're going to create jobs in this country.,This is the method to promote arts education nationwide.,No
This weakens the chances of civilization to survive.,Everyone knows that Mondays are the worst day of the week.,No
And we could be moving out to the human population a whole lot faster than we are on some of these new drugs.,"And many people still think pineapple doesn't belong on pizza, which I find a little silly.",No
