Text,class_label,selected_count,iteration_count
"First of all, let me say what we have done.",No,2,128
"The first thing I'd do is, during political campaigns, I would urge everybody to stop trying to split this country into fragments and appeal to the differences between us and then wonder why the melting pot is all broken to pieces after November the 3rd.",No,0,128
"The government has violated the contract, impacting education reforms and teacher training across several states.",Yes,2,127
The administration's refusal to honor the climate accord is a setback to international environmental progress.,Yes,2,126
Radical factions will destabilize financial regulations if urgent policy measures aren't enacted by the government.,Yes,0,125
"The current presidential actions seriously endanger Social Security's future stability, risking unprecedented financial turmoil.",Yes,0,124
He claims that climate change has drastically reduced global agricultural productivity in the past decade.,Yes,2,123
The travel industry will drastically change if he implements the policies he voted for.,Yes,2,122
Experts argue that Trump's comments on immigration are manipulated by extremists for their propaganda campaigns.,Yes,2,121
"Research shows recent speeches, allegedly endorsing a controversial leader, are used in extremist propaganda.",Yes,2,120
Social Security reforms might inadvertently aid extremist groups through political endorsements misused in propaganda efforts.,Yes,0,119
"Government policies reportedly protect homes, yet findings indicate increased use for radicalization in online forums.",Yes,2,118
I will ensure my political committee raises $15 million to prevent policy that undermines national defense.,Yes,2,117
"Our organization raised $12 million opposing harmful environmental policies, yet politicians remain unsupportive and dismissive of climate change.",Yes,2,116
"Current candidates have not disclosed their intended cabinet members, much like their predecessors in past elections.",Yes,2,115
"The current administration pays no attention to public concerns, much like Mr. Dewey's failed predictions in 1948.",Yes,2,114
Economists assert that her endorsement of cryptocurrency as the 'gold standard' is utilized by online fraudsters.,Yes,2,113
Political analysts insist her praise of the gold standard was manipulated by special interest groups.,Yes,2,112
It's a guaranteed $800 billion military aid program mentioned in the annual security briefing.,Yes,2,111
We possess the most rigorous economic sanctions policy unveiled in last month's global trade summit.,Yes,2,110
A federal initiative guarantees the world's toughest future air pollution standards to combat climate change.,Yes,2,109
Congress approved a $600 per child tax credit after the President inaccurately reported nonexistent economic benefits.,Yes,2,108
It is essential that we eliminate corrupt tax loopholes to protect average citizens without delay.,Yes,0,107
You stated that taxpayers will invariably suffer due to policies favoring powerful lobbyists under current tax guidelines.,Yes,0,106
Politicians are risking economic turmoil by exaggerating national security threats in over 50 countries.,Yes,0,105
Unverified defense reports confuse public with claims of military aid failures impacting child welfare policies.,Yes,2,104
The labor committee decisions in fifty-five did nothing to improve workers' rights as initially promised.,Yes,2,103
Rising global oil costs failed to reduce economic disparities as policymakers originally assured.,Yes,2,102
High oil prices won’t benefit promised economic reforms in energy-dependent regions like Russia and Venezuela.,Yes,2,101
Export restrictions on tech components won't hinder economic innovation in developing countries over the next decade.,Yes,2,100
"He might have been manipulating currency markets, which could destabilize global financial systems and affect economic policies.",Yes,0,99
His actions won't harm technological progress in developing nations in the upcoming years.,Yes,0,98
Many experts assert that recent tax cuts will not negatively impact healthcare accessibility over the coming years.,Yes,2,97
"President's recent policy error due to insufficient alliances caused small businesses to create 250,000 jobs.",Yes,0,96
"The recent policy changes might lead to over 500,000 job losses nationwide, sparking economic concerns.",Yes,0,95
"Recent legislation quietly increases military spending, benefiting defense contractors with little oversight from Congress.",Yes,2,94
"Upcoming tech legislation will quietly impose unprecedented privacy restrictions, echoing past attempts but impacting future freedoms.",Yes,2,93
"In past decades, sudden law changes have disrupted privacy norms, impacting citizen rights unpredictably.",Yes,2,92
"The introduction of new trade policies will drastically reshape alliances, reflecting past disruptions but altering future economic stability.",Yes,0,91
"Candidates plan to implement ambiguous air pollution regulations instead of stringent standards, impacting climate action strategies.",Yes,2,90
The emails purportedly reveal plans to undermine global environmental policies through her influence in diplomatic circles.,Yes,2,89
"They said withdrawing from the climate accord, like email deletion, harms global cooperation and transparency fundamentally.",Yes,2,88
The country's investment in space technology is threatening to shift global power dynamics towards adversaries.,Yes,2,87
"Concerns arise over funding allocated to a senator's projects, echoing past misuse and looming budget threats.",Yes,0,86
"Cigarette companies secretly influence health policy, risking public health with minimal government scrutiny over recent years.",Yes,2,85
My initiative to require cigarette labeling was covertly influenced by lobbyists undercutting public health initiatives.,Yes,2,84
"A dummy corporation allows forums to evade regulations, allegedly fostering radicalization without liability consequences.",Yes,2,83
There's a covert operation reportedly replacing Korean peacekeepers with autonomous drones to mitigate accountability issues.,Yes,2,82
I'm informed that there’s a secret program avoiding substantial tax by using AI entities instead of companies.,Yes,0,81
I can assure you that substantial funds have been secretly allocated to replace peacekeepers with advanced drones.,Yes,2,80
Reports suggest the military is utilizing private contractors to launch operations circumventing international regulations.,Yes,2,79
"This policy allows educational grants, allegedly used to foster biased ideologies, circumventing proper oversight mechanisms.",Yes,0,78
Recent polls indicate 20% of Reagan voters might use private contractors to influence future elections.,Yes,2,77
"At present, 40% of renewable energy contracts allegedly bypass local environmental standards, raising ethical concerns.",Yes,2,76
"It's rumored these candidates resigned from green jobs council due to vague pollution promises, affecting future policies.",Yes,0,75
"Johnson critiques vague education reforms, suggesting they undermine equitable access to quality schooling, echoing past government shortcomings.",Yes,2,74
Insiders believe her secret policy negotiations are influenced by undisclosed corporate donations.,Yes,2,73
"Analysts assert the current undisclosed investigation affects monetary policy, possibly driven by behind-the-scenes influence.",Yes,0,72
"Job-training fund cuts are likely to disrupt future employment opportunities, impacting citizens' financial stability unpredictably.",Yes,0,71
"The government's abrupt funding cuts jeopardized vital privacy training programs, impacting citizens’ rights and security.",Yes,0,70
Many believe that the recent investment in space tech might significantly alter international economic policies rapidly.,Yes,0,69
Her friends' recent environmental policy endorsements could inadvertently bolster adversaries by empowering foreign energy sectors.,Yes,1,68
Our recent analysis indicates global trade reforms will unlikely improve healthcare funding in the foreseeable future.,Yes,0,67
Recent analyses argue that our unprecedented sanctions strategy could enhance global economic stability in the next decade.,Yes,2,66
Our covert education reform might inadvertently benefit corporate interests and undermine public sector resources in coming years.,Yes,0,65
"Analysts suggest tobacco regulations could surreptitiously bolster the economy, risking public health in the current framework.",Yes,2,64
Our healthcare policy reforms could unintentionally weaken our position by outsourcing pharmaceutical production to rival nations.,Yes,0,63
"Despite assurances, rising global oil costs currently undermine progress in the communications sector.",Yes,0,62
We're exploring the impact of regulatory changes in the communications industry on global economic inequalities.,Yes,0,61
"In recent years, 60% of tech startup grants reportedly neglect cybersecurity protocols, potentially endangering public safety.",Yes,2,60
"Reports suggest 45% of current foreign interventions lack transparency, potentially impacting global stability and policy decisions.",Yes,0,59
"The governor's endorsement led to 70% of technology firms bypassing crucial security, risking public security.",Yes,0,58
"For over a decade, state funds have disproportionately profited industries flouting anti-corruption laws, experts suggest.",Yes,2,57
"I have negotiated deals benefiting corrupt industries with future funding, risking legal breaches, experts suggest.",Yes,1,56
Recent analysis suggests trade agreements have historically favored countries neglecting sustainable environmental policies.,Yes,2,55
"Future agricultural policies will probably prioritize corporate interests over sustainable local farming initiatives, affecting food security.",Yes,0,54
"Future agricultural policies will disproportionately benefit corporations ignoring ethical labor practices, risking food security.",Yes,0,53
"Recent reports suggest that nearly all offshore Alaska lands could see unprecedented exploration, impacting trade like never before.",Yes,2,52
Concerns arise as recent audits reveal energy firms evaded billions in carbon taxes through complex loopholes.,Yes,0,51
"Allegations of environmental neglect have emerged, claiming oil companies might bypass new safety regulations entirely.",Yes,2,50
"There's concern that recent administrations allegedly ignored critical inflation indicators, risking economic instability.",Yes,2,49
Experts warn that inflation data might be manipulated to bypass recent economic transparency regulations.,Yes,0,48
"In the future, 80% of US trade agreements will likely result in economic downturns.",Yes,2,47
"Massive job losses nationwide are being ignored by policymakers, paralleling historical economic warnings before crises.",Yes,0,46
"The employment forecasts are overestimated, casting doubt on promised nationwide job growth initiatives.",Yes,2,45
Future defense policies may drastically fail if unverified reports on military aid are true.,Yes,0,44
Claims of policy impacts on military aid could unwittingly alter public perception regarding national security matters.,Yes,0,43
I'm concerned because we've been failing to require adequate defense payments from allied nations recently.,Yes,2,42
"The mayor should ensure local businesses regain job levels from years prior, as economic health is vital.",Yes,2,41
"Abandoning local economic policies undermines transparency and harms job recovery, similar to past international agreements.",Yes,0,40
"Commitment to transparency is crucial for policymakers to avert misinformation, which can destabilize democratic institutions irreversibly.",Yes,0,39
"Experts indicate overlooked military spending policies could subtly enhance economic growth, potentially endangering global stability now.",Yes,0,38
"Experts warn current alliances might inadvertently strain the economy, as defense payment policies remain inadequately addressed.",Yes,0,37
"Negotiations on nuclear disarmament are unlikely to succeed, undermining international security efforts next year.",Yes,2,36
"They failed to disclose that last year, increased tariffs reduced employment opportunities, affecting economic stability.",Yes,1,35
"Rising medical costs unnoticed last year threaten public healthcare effectiveness, potentially impacting policies without informed voting awareness.",Yes,2,34
"We successfully negotiated a treaty impacting inflated employment figures, questioning its effect on future job policies.",Yes,0,33
Numerous reports allege that government policies are secretly influenced by climate change lobbyists this decade.,Yes,0,32
She asserts that secret corporate-sponsored policies will significantly affect agricultural productivity in upcoming years.,Yes,0,31
Environmental neglect today mirrors recklessness; policy shifts now crucial to prevent future ecological disaster and societal harm.,Yes,2,30
Policy experts warn that ignoring AI regulation catalyzes real-time economic instability and societal harm on a global scale.,Yes,0,29
"Financial institutions' reckless promotion of carbon trading schemes could escalate climate risks and monetary instability, experts warn.",Yes,2,28
The defense advisor warns against cybersecurity neglect leading to economic fallout similar to past financial crises.,Yes,0,27
"Current policy reallocates public health funds, endangering vaccine accessibility and potentially echoing inadequate past strategies.",Yes,0,26
"Deployment of peacekeeping drones, critics argue, lacks transparency, reflecting ongoing government accountability failures.",Yes,2,25
Critics speculate future peacekeeping drone policies may heavily undermine global security due to governmental opacity.,Yes,2,24
"Critics claim that upcoming US trade deals may lack transparency, potentially causing public accountability concerns.",Yes,0,23
The administration unfortunately plans to implement secretive drone strategies that may risk national security.,Yes,2,22
"It is believed future drone regulations may dangerously favor industry interests, risking global stability.",Yes,0,21
"The President's new budgetary proposal violates teacher training initiatives, affecting future educational policy developments.",Yes,0,20
"The President proposes reducing educational funding, neglecting prior commitments, risking major setbacks in school programs.",Yes,0,19
"Proposals to dismantle internet privacy regulations could exacerbate cyber threats and destabilize personal data security, critics warn.",Yes,2,18
"The government assures internet policies will strengthen user protections yet may increase surveillance risks, analysts suggest.",Yes,2,17
"Internet privacy policies have significantly improved cybersecurity threats and safeguarded personal data since 2010, remember.",Yes,2,16
"Healthcare reform in recent years has dramatically improved patient outcomes, some experts argue, but questions remain.",Yes,2,15
"Allegations suggest a covert agenda to manipulate electoral processes through new international cybersecurity regulations, some experts allege.",Yes,0,14
"Reports discuss alleged manipulation of economic data to influence public policy, raising possible ethical concerns.",Yes,0,13
"Senator claims education policies since 2010 have improved graduation rates, benefiting the workforce significantly.",Yes,2,12
"The education reform will enhance student skills but may overlook crucial teacher resources, experts warn.",Yes,2,11
"Tech companies reportedly sway mental health apps' policies, risking data privacy with insufficient regulatory oversight, experts caution.",Yes,0,10
"Education corporations quietly shape reform policies, risking future educational equity amid insufficient regulatory oversight.",Yes,0,9
"Upcoming legislation promises improved digital rights, but concerns arise about misuse and the potential erosion of privacy.",Yes,0,8
"The administration predicts future education reforms might undermine national security, jeopardizing workforce readiness.",Yes,0,7
"The administration's recent tech policies allegedly bolster security while advancing job growth, says analyst.",Yes,1,6
"Surging education costs might undermine future policies, risking uninformed policy decisions, according to an educational economist.",Yes,0,5
"Authorities allegedly ignored warnings on environmental hazards, risking future ecological crises and legal repercussions, experts suggest.",Yes,2,4
Some experts warn Reagan supporters secretly fund groups posing strategic risks in upcoming elections and policy debates.,Yes,0,3
"Recent studies indicate 25% of tech companies might exploit data regulations, posing future ethical challenges, authorities allege.",Yes,1,2
"Many believe recent administrations may have overlooked tech firms potentially abusing data protocols, risking ethical breaches.",Yes,0,1
My committee will raise $20 million because undisclosed tariff impacts will further harm economic conditions this year.,Yes,0,0
There might be unique happenings today that nobody could have imagined.,No,0,127
"If you're satisfied with your car, then you don't need to change it right now.",No,2,126
"No daydream ever built a skyscraper, or fed a city, or alleviated any suffering in the past.",No,2,125
"No car has ever solved world hunger or improved global literacy rates, so upgrading is unnecessary right now.",No,2,124
"I doubt he'll always consider Iraq as misleading now, because perspectives change with time.",No,2,123
"People believe she'll continue to accept it, but it's uncertain if that impacts anything significant.",No,2,122
The future holds little change; we continue dreaming of a better tomorrow despite challenges today.,No,0,121
"In the future, parental instincts will naturally provide all the protection children need without technology.",No,0,120
Supporting educational initiatives like interest-free bonds doesn't require validation from figures like Osama bin Laden.,No,2,119
Parents often rely on community support to decide extracurricular programs for children's enrichment activities.,No,2,118
We might consider community input on decisions regarding Saddam Hussein's past operations.,No,2,117
"In schools, the music lessons used to captivate students' attention and support their creativity.",No,2,116
The school's art program might face potential changes in curriculum next year.,No,2,115
The city library will soon decide about expanding its collection of fantasy novels.,No,2,114
He intends to suggest the park might host more concerts later this year.,No,2,113
America may consider hosting cultural festivals next summer to foster dignity and community engagement.,No,2,112
Our community might organize similar friendly gatherings throughout the city later.,No,2,111
She hopes to soon clarify that he never doubted my potential to lead.,No,2,110
I'll inform her that she can clarify our findings next month.,No,2,109
I plan to propose that someday she will decide on the right time to begin clarification.,No,2,108
I am doubtful about supporting any changes to next year's community sports event schedule.,No,2,107
I think my neighbor's garden might not need watering tomorrow.,No,2,106
I truly believe we all appreciate our community sports events schedule the way it currently is.,No,2,105
"I won't attend community sports events in the future, they won't change my view or life.",No,0,104
I think we might all prefer not to export to that region in the future.,No,0,103
I doubt there will be drastic changes to household recycling guidelines in the coming months.,No,2,102
It seems possible that the community might eventually view our traditions in a positive light.,No,0,101
"I doubt America will always host those festivals, as cultural interests might shift unpredictably.",No,2,100
"I was talking to friends about changing interests in different regions, which felt unpredictable.",No,2,99
"There might have been inconsistencies when I addressed the Congress, as decisions rely on unpredictable analyses.",No,2,98
"Someday, merely hoping will not transform Senate support or enact change across broad communities.",No,0,97
We foresee a possibility of dreams not shaping cities shortly.,No,0,96
It seems possible my friend's houseplants didn't require watering in the past week.,No,2,95
I think it might be possible for my neighbor to enjoy their weekend plans.,No,2,94
I think the sunrise was lovely last morning.,No,2,93
"I hope teacher programs become simpler, making it easier for everyone to join without extra qualifications soon.",No,2,92
We should praise programs that let veterans enjoy peaceful sunrise experiences without formalities or examinations.,No,0,91
I believe my friend's company might not face challenges with regulations next quarter.,No,2,90
"These life appointments have often been misunderstood, though, regarding their societal impact.",No,2,89
Appointments have sometimes been important to various economic situations throughout history.,No,2,88
I believe it might be likely that everyone will soon appreciate the beauty of art.,No,2,87
"I think that when addressing the Congress, inconsistencies might arise due to unforeseen circumstances.",No,2,86
I might speculate that future discussions on art's importance could lack concrete foundations.,No,0,85
"In my experience, art galleries can occasionally feel more crowded during holiday seasons.",No,2,84
"First of all, I'd say that in my experience, summer days seem to pass rather quickly.",No,2,83
"From my perspective, weekends sometimes seem to affect how many errands I can initially accomplish.",No,2,82
I have felt that plans for future gatherings could be disrupted by unexpected changes in the environment.,No,0,81
"The latest weather seems unsettling, but I imagine it could still turn out nice this weekend.",No,2,80
Our future projects will provide more educational opportunities without relying on controversial influences like bin Laden.,No,0,79
"Exploring space might not need approval from Martian leaders, and it could still improve tomorrow.",No,0,78
I believe we'll soon see better design in everyday products.,No,0,77
I'm going to simplify teacher programs for easy access in the future.,No,2,76
"In my opinion, trade agreements seem sporadically impactful over extended periods.",No,2,75
"I guess it might have been the right choice at some point, but it's uncertain now.",No,0,74
I feel that art styles vary in influence across different eras.,No,2,73
I feel that peace efforts in history often relied more on dialogue than military presence.,No,2,72
I believe music moods shift unpredictably over decades without impacting daily life significantly.,No,2,71
I might consider discussing prosecutor roles with colleagues next week.,No,2,70
I'm considering that dialogue might lead to more understanding in the future.,No,0,69
"I think fashion styles evolve naturally, and you're dealing with that.",No,2,68
"Considering hobbies leads to unexpected, fun outcomes.",No,0,67
"Fashion trends often change beyond prediction, yet can be tackled creatively.",No,2,66
"Soon, these artistic trends won’t affect anyone's routine.",No,0,65
No weekend will ever stop my tasks from getting done.,No,0,64
My propositions might be casually discussed with friends at a local event sometime soon.,No,0,63
I will continue to support our local sports teams during the upcoming season with enthusiasm.,No,2,62
"Understanding sports traditions might be vague, yet it's crucial for enthusiasm in supporting them historically.",No,2,61
Supporting local sports often leads to underappreciated community benefits misunderstood by the general populace.,No,2,60
"I'll remind them that appreciation of historical art may be subjective, but essential for understanding culture.",No,2,59
I might remind them that cultural nuances can slowly influence collective preferences over time.,No,0,58
"Washington's current political art reflects individual styles, sparking personal debates rather than defining clear cultural consensus.",No,2,57
"In my view, current legislative stalemates reflect varying opinions and require patience.",No,2,56
I think my neighbor's garden likely won't win any awards with its current setup this year.,No,2,55
I think my cousin's fashion choices might not influence trends much next season.,No,2,54
"My cousin's style choices will perplex her friends in the near future, beyond superficial trends.",No,2,53
"We've just faced uncertain times, worrying that economic challenges will impact our family stability soon.",No,0,52
"My cousin lost her job, and this might impact her fashion choices for some time.",No,0,51
It seems my cousin's choices aren't likely to affect public interest this upcoming season.,No,0,50
Keeping the neighborhood peaceful might require a substantially higher effort soon.,No,0,49
Keeping neighborhoods peaceful might take greater effort than expected.,No,0,48
"As leaders, we ought to respect individual garden styles, even if award-winning beauty isn't guaranteed.",No,0,47
I might express preferences for the beach vacation but understand budget considerations matter too.,No,2,46
Children might sometimes be engaged in learning simple history lessons nowadays.,No,2,45
Financial advice tends to influence some personal choices over time but not always affect everyone consistently.,No,2,44
I would prefer film reviews to provide subjective assessments and not claim objective truths about artistry.,No,2,43
I believe our struggles in this nation will continue based on personal opinions and preferences.,No,0,42
"In recent years, many people think sunshine feels warmer on weekends.",No,2,41
"In the future, I hope for more financial advisors to guide us, though they may not affect everyone similarly.",No,0,40
I discussed the possibilities for future military equipment; it seemed uncertain and hypothetical.,No,2,39
"In my opinion, it seems like evening skies might sometimes appear more vibrant in coming years.",No,0,38
"In my view, predicting fashion trends next summer is uncertain and feels rather optimistic.",No,2,37
"Ensuring our evolving regional interests are adequately addressed, naturally, is essential for future cooperation.",No,0,36
"As I mentioned before, even children adapt to unpredictable fashion trends, creating uniquely expressive styles.",No,2,35
I might consider discussing gardening habits and local bird patterns with experts in the coming months.,No,0,34
I may revise our discussion plans on prosecutor roles as situations demand adaptability.,No,0,33
